"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Hannover 96","4-4-2",0,NA,"Karim Haggui · 77&rsquor;","0","1","Dortmund","4-2-3-1",4,NA,"Shinji Kagawa · 11&rsquor; Lucas Barrios · 72&rsquor; Robert Lewandowski · 81&rsquor; Jakub Błaszczykowski · 90&rsquor;","2","0","https://fbref.com/en/matches/fb2ec3c3/Hannover-96-Dortmund-November-7-2010-Bundesliga","Hannover 96","Home","Mohammed Abdellaoue",NA,"NOR","FW","25-015",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Hannover 96","4-4-2",0,NA,"Karim Haggui · 77&rsquor;","0","1","Dortmund","4-2-3-1",4,NA,"Shinji Kagawa · 11&rsquor; Lucas Barrios · 72&rsquor; Robert Lewandowski · 81&rsquor; Jakub Błaszczykowski · 90&rsquor;","2","0","https://fbref.com/en/matches/fb2ec3c3/Hannover-96-Dortmund-November-7-2010-Bundesliga","Hannover 96","Home","Mikael Forssell",NA,"FIN","FW","29-237",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Hannover 96","4-4-2",0,NA,"Karim Haggui · 77&rsquor;","0","1","Dortmund","4-2-3-1",4,NA,"Shinji Kagawa · 11&rsquor; Lucas Barrios · 72&rsquor; Robert Lewandowski · 81&rsquor; Jakub Błaszczykowski · 90&rsquor;","2","0","https://fbref.com/en/matches/fb2ec3c3/Hannover-96-Dortmund-November-7-2010-Bundesliga","Hannover 96","Home","Didier Ya Konan",NA,"CIV","FW,MF","26-169",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Hannover 96","4-4-2",0,NA,"Karim Haggui · 77&rsquor;","0","1","Dortmund","4-2-3-1",4,NA,"Shinji Kagawa · 11&rsquor; Lucas Barrios · 72&rsquor; Robert Lewandowski · 81&rsquor; Jakub Błaszczykowski · 90&rsquor;","2","0","https://fbref.com/en/matches/fb2ec3c3/Hannover-96-Dortmund-November-7-2010-Bundesliga","Hannover 96","Home","Konstantin Rausch",NA,"RUS","DF,MF","20-237",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Hannover 96","4-4-2",0,NA,"Karim Haggui · 77&rsquor;","0","1","Dortmund","4-2-3-1",4,NA,"Shinji Kagawa · 11&rsquor; Lucas Barrios · 72&rsquor; Robert Lewandowski · 81&rsquor; Jakub Błaszczykowski · 90&rsquor;","2","0","https://fbref.com/en/matches/fb2ec3c3/Hannover-96-Dortmund-November-7-2010-Bundesliga","Hannover 96","Home","Sérgio Pinto",NA,"POR","FW,MF","30-022",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Hannover 96","4-4-2",0,NA,"Karim Haggui · 77&rsquor;","0","1","Dortmund","4-2-3-1",4,NA,"Shinji Kagawa · 11&rsquor; Lucas Barrios · 72&rsquor; Robert Lewandowski · 81&rsquor; Jakub Błaszczykowski · 90&rsquor;","2","0","https://fbref.com/en/matches/fb2ec3c3/Hannover-96-Dortmund-November-7-2010-Bundesliga","Hannover 96","Home","Lars Stindl",NA,"GER","FW,MF","22-073",79,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Hannover 96","4-4-2",0,NA,"Karim Haggui · 77&rsquor;","0","1","Dortmund","4-2-3-1",4,NA,"Shinji Kagawa · 11&rsquor; Lucas Barrios · 72&rsquor; Robert Lewandowski · 81&rsquor; Jakub Błaszczykowski · 90&rsquor;","2","0","https://fbref.com/en/matches/fb2ec3c3/Hannover-96-Dortmund-November-7-2010-Bundesliga","Hannover 96","Home","Christopher Avevor",NA,"GER","DF,MF","18-269",11,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Hannover 96","4-4-2",0,NA,"Karim Haggui · 77&rsquor;","0","1","Dortmund","4-2-3-1",4,NA,"Shinji Kagawa · 11&rsquor; Lucas Barrios · 72&rsquor; Robert Lewandowski · 81&rsquor; Jakub Błaszczykowski · 90&rsquor;","2","0","https://fbref.com/en/matches/fb2ec3c3/Hannover-96-Dortmund-November-7-2010-Bundesliga","Hannover 96","Home","Moritz Stoppelkamp",NA,"GER","FW,MF","23-331",56,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Hannover 96","4-4-2",0,NA,"Karim Haggui · 77&rsquor;","0","1","Dortmund","4-2-3-1",4,NA,"Shinji Kagawa · 11&rsquor; Lucas Barrios · 72&rsquor; Robert Lewandowski · 81&rsquor; Jakub Błaszczykowski · 90&rsquor;","2","0","https://fbref.com/en/matches/fb2ec3c3/Hannover-96-Dortmund-November-7-2010-Bundesliga","Hannover 96","Home","DaMarcus Beasley",NA,"USA","DF,FW","28-167",34,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Hannover 96","4-4-2",0,NA,"Karim Haggui · 77&rsquor;","0","1","Dortmund","4-2-3-1",4,NA,"Shinji Kagawa · 11&rsquor; Lucas Barrios · 72&rsquor; Robert Lewandowski · 81&rsquor; Jakub Błaszczykowski · 90&rsquor;","2","0","https://fbref.com/en/matches/fb2ec3c3/Hannover-96-Dortmund-November-7-2010-Bundesliga","Hannover 96","Home","Constant Djakpa",NA,"CIV","DF","24-021",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
