"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Hannover 96","4-1-2-1-2",1,NA,"Didier Ya Konan · 48&rsquor;","3","0","Dortmund","4-1-2-1-2",1,NA,"Nuri Şahin · 45&rsquor;","0","0","https://fbref.com/en/matches/c37916e5/Hannover-96-Dortmund-September-19-2009-Bundesliga","Hannover 96","Home","Didier Ya Konan",NA,"CIV","FW,MF","25-120",90,1,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Hannover 96","4-1-2-1-2",1,NA,"Didier Ya Konan · 48&rsquor;","3","0","Dortmund","4-1-2-1-2",1,NA,"Nuri Şahin · 45&rsquor;","0","0","https://fbref.com/en/matches/c37916e5/Hannover-96-Dortmund-September-19-2009-Bundesliga","Hannover 96","Home","Jiří Štajner",NA,"CZE","FW,MF","33-115",77,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Hannover 96","4-1-2-1-2",1,NA,"Didier Ya Konan · 48&rsquor;","3","0","Dortmund","4-1-2-1-2",1,NA,"Nuri Şahin · 45&rsquor;","0","0","https://fbref.com/en/matches/c37916e5/Hannover-96-Dortmund-September-19-2009-Bundesliga","Hannover 96","Home","Jacek Krzynówek",NA,"POL","FW,MF","33-127",13,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Hannover 96","4-1-2-1-2",1,NA,"Didier Ya Konan · 48&rsquor;","3","0","Dortmund","4-1-2-1-2",1,NA,"Nuri Şahin · 45&rsquor;","0","0","https://fbref.com/en/matches/c37916e5/Hannover-96-Dortmund-September-19-2009-Bundesliga","Hannover 96","Home","Arnold Bruggink",NA,"NED","FW,MF","32-057",49,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Hannover 96","4-1-2-1-2",1,NA,"Didier Ya Konan · 48&rsquor;","3","0","Dortmund","4-1-2-1-2",1,NA,"Nuri Şahin · 45&rsquor;","0","0","https://fbref.com/en/matches/c37916e5/Hannover-96-Dortmund-September-19-2009-Bundesliga","Hannover 96","Home","Jan Rosenthal",NA,"GER","FW,MF","23-165",41,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Hannover 96","4-1-2-1-2",1,NA,"Didier Ya Konan · 48&rsquor;","3","0","Dortmund","4-1-2-1-2",1,NA,"Nuri Şahin · 45&rsquor;","0","0","https://fbref.com/en/matches/c37916e5/Hannover-96-Dortmund-September-19-2009-Bundesliga","Hannover 96","Home","Constant Djakpa",NA,"CIV","DF","22-337",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Hannover 96","4-1-2-1-2",1,NA,"Didier Ya Konan · 48&rsquor;","3","0","Dortmund","4-1-2-1-2",1,NA,"Nuri Şahin · 45&rsquor;","0","0","https://fbref.com/en/matches/c37916e5/Hannover-96-Dortmund-September-19-2009-Bundesliga","Hannover 96","Home","Sofian Chahed",NA,"TUN","DF,MF","26-154",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Hannover 96","4-1-2-1-2",1,NA,"Didier Ya Konan · 48&rsquor;","3","0","Dortmund","4-1-2-1-2",1,NA,"Nuri Şahin · 45&rsquor;","0","0","https://fbref.com/en/matches/c37916e5/Hannover-96-Dortmund-September-19-2009-Bundesliga","Hannover 96","Home","Hanno Balitsch",NA,"GER","MF","28-260",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Hannover 96","4-1-2-1-2",1,NA,"Didier Ya Konan · 48&rsquor;","3","0","Dortmund","4-1-2-1-2",1,NA,"Nuri Şahin · 45&rsquor;","0","0","https://fbref.com/en/matches/c37916e5/Hannover-96-Dortmund-September-19-2009-Bundesliga","Hannover 96","Home","Konstantin Rausch",NA,"RUS","DF,MF","19-188",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Hannover 96","4-1-2-1-2",1,NA,"Didier Ya Konan · 48&rsquor;","3","0","Dortmund","4-1-2-1-2",1,NA,"Nuri Şahin · 45&rsquor;","0","0","https://fbref.com/en/matches/c37916e5/Hannover-96-Dortmund-September-19-2009-Bundesliga","Hannover 96","Home","Valdet Rama",NA,"ALB","FW,MF","21-303",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Hannover 96","4-1-2-1-2",1,NA,"Didier Ya Konan · 48&rsquor;","3","0","Dortmund","4-1-2-1-2",1,NA,"Nuri Şahin · 45&rsquor;","0","0","https://fbref.com/en/matches/c37916e5/Hannover-96-Dortmund-September-19-2009-Bundesliga","Hannover 96","Home","Christian Schulz",NA,"GER","DF,MF","26-171",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Hannover 96","4-1-2-1-2",1,NA,"Didier Ya Konan · 48&rsquor;","3","0","Dortmund","4-1-2-1-2",1,NA,"Nuri Şahin · 45&rsquor;","0","0","https://fbref.com/en/matches/c37916e5/Hannover-96-Dortmund-September-19-2009-Bundesliga","Hannover 96","Home","Karim Haggui",NA,"TUN","DF","25-242",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Hannover 96","4-1-2-1-2",1,NA,"Didier Ya Konan · 48&rsquor;","3","0","Dortmund","4-1-2-1-2",1,NA,"Nuri Şahin · 45&rsquor;","0","0","https://fbref.com/en/matches/c37916e5/Hannover-96-Dortmund-September-19-2009-Bundesliga","Hannover 96","Home","Steve Cherundolo",NA,"USA","DF","30-212",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Hannover 96","4-1-2-1-2",1,NA,"Didier Ya Konan · 48&rsquor;","3","0","Dortmund","4-1-2-1-2",1,NA,"Nuri Şahin · 45&rsquor;","0","0","https://fbref.com/en/matches/c37916e5/Hannover-96-Dortmund-September-19-2009-Bundesliga","Hannover 96","Home","Florian Fromlowitz",NA,"GER","GK","23-079",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Hannover 96","4-1-2-1-2",1,NA,"Didier Ya Konan · 48&rsquor;","3","0","Dortmund","4-1-2-1-2",1,NA,"Nuri Şahin · 45&rsquor;","0","0","https://fbref.com/en/matches/c37916e5/Hannover-96-Dortmund-September-19-2009-Bundesliga","Dortmund","Away","Mohamed Zidan",NA,"EGY","FW","27-282",64,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Hannover 96","4-1-2-1-2",1,NA,"Didier Ya Konan · 48&rsquor;","3","0","Dortmund","4-1-2-1-2",1,NA,"Nuri Şahin · 45&rsquor;","0","0","https://fbref.com/en/matches/c37916e5/Hannover-96-Dortmund-September-19-2009-Bundesliga","Dortmund","Away","Jakub Błaszczykowski",NA,"POL","MF","23-279",26,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Hannover 96","4-1-2-1-2",1,NA,"Didier Ya Konan · 48&rsquor;","3","0","Dortmund","4-1-2-1-2",1,NA,"Nuri Şahin · 45&rsquor;","0","0","https://fbref.com/en/matches/c37916e5/Hannover-96-Dortmund-September-19-2009-Bundesliga","Dortmund","Away","Nelson Valdez",NA,"PAR","FW","25-295",78,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Hannover 96","4-1-2-1-2",1,NA,"Didier Ya Konan · 48&rsquor;","3","0","Dortmund","4-1-2-1-2",1,NA,"Nuri Şahin · 45&rsquor;","0","0","https://fbref.com/en/matches/c37916e5/Hannover-96-Dortmund-September-19-2009-Bundesliga","Dortmund","Away","Lucas Barrios",NA,"PAR","FW","24-310",12,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Hannover 96","4-1-2-1-2",1,NA,"Didier Ya Konan · 48&rsquor;","3","0","Dortmund","4-1-2-1-2",1,NA,"Nuri Şahin · 45&rsquor;","0","0","https://fbref.com/en/matches/c37916e5/Hannover-96-Dortmund-September-19-2009-Bundesliga","Dortmund","Away","Tamás Hajnal",NA,"HUN","MF","28-188",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Hannover 96","4-1-2-1-2",1,NA,"Didier Ya Konan · 48&rsquor;","3","0","Dortmund","4-1-2-1-2",1,NA,"Nuri Şahin · 45&rsquor;","0","0","https://fbref.com/en/matches/c37916e5/Hannover-96-Dortmund-September-19-2009-Bundesliga","Dortmund","Away","Nuri Şahin",NA,"TUR","MF","21-014",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Hannover 96","4-1-2-1-2",1,NA,"Didier Ya Konan · 48&rsquor;","3","0","Dortmund","4-1-2-1-2",1,NA,"Nuri Şahin · 45&rsquor;","0","0","https://fbref.com/en/matches/c37916e5/Hannover-96-Dortmund-September-19-2009-Bundesliga","Dortmund","Away","Tinga",NA,"BRA","MF","31-249",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Hannover 96","4-1-2-1-2",1,NA,"Didier Ya Konan · 48&rsquor;","3","0","Dortmund","4-1-2-1-2",1,NA,"Nuri Şahin · 45&rsquor;","0","0","https://fbref.com/en/matches/c37916e5/Hannover-96-Dortmund-September-19-2009-Bundesliga","Dortmund","Away","Sven Bender",NA,"GER","DF,MF","20-145",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Hannover 96","4-1-2-1-2",1,NA,"Didier Ya Konan · 48&rsquor;","3","0","Dortmund","4-1-2-1-2",1,NA,"Nuri Şahin · 45&rsquor;","0","0","https://fbref.com/en/matches/c37916e5/Hannover-96-Dortmund-September-19-2009-Bundesliga","Dortmund","Away","Dedê",NA,"BRA","DF","31-154",33,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Hannover 96","4-1-2-1-2",1,NA,"Didier Ya Konan · 48&rsquor;","3","0","Dortmund","4-1-2-1-2",1,NA,"Nuri Şahin · 45&rsquor;","0","0","https://fbref.com/en/matches/c37916e5/Hannover-96-Dortmund-September-19-2009-Bundesliga","Dortmund","Away","Marcel Schmelzer",NA,"GER","DF","21-240",57,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
