"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hannover 96","4-1-2-1-2",2,NA,"Didier Ya Konan · 28&rsquor; Jiří Štajner (P) · 88&rsquor;","3","0","Hamburger SV","4-4-2",2,NA,"Marcell Jansen · 15&rsquor; Eljero Elia · 44&rsquor;","5","0","https://fbref.com/en/matches/f4354b3b/Hannover-96-Hamburger-SV-November-8-2009-Bundesliga","Hannover 96","Home","Didier Ya Konan",NA,"CIV","FW,MF","25-170",35,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hannover 96","4-1-2-1-2",2,NA,"Didier Ya Konan · 28&rsquor; Jiří Štajner (P) · 88&rsquor;","3","0","Hamburger SV","4-4-2",2,NA,"Marcell Jansen · 15&rsquor; Eljero Elia · 44&rsquor;","5","0","https://fbref.com/en/matches/f4354b3b/Hannover-96-Hamburger-SV-November-8-2009-Bundesliga","Hannover 96","Home","Sofian Chahed",NA,"TUN","DF,MF","26-204",41,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hannover 96","4-1-2-1-2",2,NA,"Didier Ya Konan · 28&rsquor; Jiří Štajner (P) · 88&rsquor;","3","0","Hamburger SV","4-4-2",2,NA,"Marcell Jansen · 15&rsquor; Eljero Elia · 44&rsquor;","5","0","https://fbref.com/en/matches/f4354b3b/Hannover-96-Hamburger-SV-November-8-2009-Bundesliga","Hannover 96","Home","Henrik Ernst",NA,"GER","MF","23-067",14,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hannover 96","4-1-2-1-2",2,NA,"Didier Ya Konan · 28&rsquor; Jiří Štajner (P) · 88&rsquor;","3","0","Hamburger SV","4-4-2",2,NA,"Marcell Jansen · 15&rsquor; Eljero Elia · 44&rsquor;","5","0","https://fbref.com/en/matches/f4354b3b/Hannover-96-Hamburger-SV-November-8-2009-Bundesliga","Hannover 96","Home","Jiří Štajner",NA,"CZE","FW,MF","33-165",90,1,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hannover 96","4-1-2-1-2",2,NA,"Didier Ya Konan · 28&rsquor; Jiří Štajner (P) · 88&rsquor;","3","0","Hamburger SV","4-4-2",2,NA,"Marcell Jansen · 15&rsquor; Eljero Elia · 44&rsquor;","5","0","https://fbref.com/en/matches/f4354b3b/Hannover-96-Hamburger-SV-November-8-2009-Bundesliga","Hannover 96","Home","Jan Rosenthal",NA,"GER","FW,MF","23-215",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hannover 96","4-1-2-1-2",2,NA,"Didier Ya Konan · 28&rsquor; Jiří Štajner (P) · 88&rsquor;","3","0","Hamburger SV","4-4-2",2,NA,"Marcell Jansen · 15&rsquor; Eljero Elia · 44&rsquor;","5","0","https://fbref.com/en/matches/f4354b3b/Hannover-96-Hamburger-SV-November-8-2009-Bundesliga","Hannover 96","Home","Constant Djakpa",NA,"CIV","DF","23-022",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hannover 96","4-1-2-1-2",2,NA,"Didier Ya Konan · 28&rsquor; Jiří Štajner (P) · 88&rsquor;","3","0","Hamburger SV","4-4-2",2,NA,"Marcell Jansen · 15&rsquor; Eljero Elia · 44&rsquor;","5","0","https://fbref.com/en/matches/f4354b3b/Hannover-96-Hamburger-SV-November-8-2009-Bundesliga","Hannover 96","Home","Sérgio Pinto",NA,"POR","FW,MF","29-023",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hannover 96","4-1-2-1-2",2,NA,"Didier Ya Konan · 28&rsquor; Jiří Štajner (P) · 88&rsquor;","3","0","Hamburger SV","4-4-2",2,NA,"Marcell Jansen · 15&rsquor; Eljero Elia · 44&rsquor;","5","0","https://fbref.com/en/matches/f4354b3b/Hannover-96-Hamburger-SV-November-8-2009-Bundesliga","Hannover 96","Home","Hanno Balitsch",NA,"GER","MF","28-310",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hannover 96","4-1-2-1-2",2,NA,"Didier Ya Konan · 28&rsquor; Jiří Štajner (P) · 88&rsquor;","3","0","Hamburger SV","4-4-2",2,NA,"Marcell Jansen · 15&rsquor; Eljero Elia · 44&rsquor;","5","0","https://fbref.com/en/matches/f4354b3b/Hannover-96-Hamburger-SV-November-8-2009-Bundesliga","Hannover 96","Home","Konstantin Rausch",NA,"RUS","DF,MF","19-238",67,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hannover 96","4-1-2-1-2",2,NA,"Didier Ya Konan · 28&rsquor; Jiří Štajner (P) · 88&rsquor;","3","0","Hamburger SV","4-4-2",2,NA,"Marcell Jansen · 15&rsquor; Eljero Elia · 44&rsquor;","5","0","https://fbref.com/en/matches/f4354b3b/Hannover-96-Hamburger-SV-November-8-2009-Bundesliga","Hannover 96","Home","Valdet Rama",NA,"ALB","FW,MF","21-353",23,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hannover 96","4-1-2-1-2",2,NA,"Didier Ya Konan · 28&rsquor; Jiří Štajner (P) · 88&rsquor;","3","0","Hamburger SV","4-4-2",2,NA,"Marcell Jansen · 15&rsquor; Eljero Elia · 44&rsquor;","5","0","https://fbref.com/en/matches/f4354b3b/Hannover-96-Hamburger-SV-November-8-2009-Bundesliga","Hannover 96","Home","Christian Schulz",NA,"GER","DF,MF","26-221",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hannover 96","4-1-2-1-2",2,NA,"Didier Ya Konan · 28&rsquor; Jiří Štajner (P) · 88&rsquor;","3","0","Hamburger SV","4-4-2",2,NA,"Marcell Jansen · 15&rsquor; Eljero Elia · 44&rsquor;","5","0","https://fbref.com/en/matches/f4354b3b/Hannover-96-Hamburger-SV-November-8-2009-Bundesliga","Hannover 96","Home","Karim Haggui",NA,"TUN","DF","25-292",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
