"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Hannover 96","4-4-2",2,NA,"Didier Ya Konan · 38&rsquor; Mohammed Abdellaoue · 53&rsquor;","0","0","Hoffenheim","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/06ee6c47/Hannover-96-Hoffenheim-March-19-2011-Bundesliga","Hannover 96","Home","Mohammed Abdellaoue",NA,"NOR","FW","25-147",87,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Hannover 96","4-4-2",2,NA,"Didier Ya Konan · 38&rsquor; Mohammed Abdellaoue · 53&rsquor;","0","0","Hoffenheim","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/06ee6c47/Hannover-96-Hoffenheim-March-19-2011-Bundesliga","Hannover 96","Home","Moritz Stoppelkamp",NA,"GER","FW,MF","24-098",3,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Hannover 96","4-4-2",2,NA,"Didier Ya Konan · 38&rsquor; Mohammed Abdellaoue · 53&rsquor;","0","0","Hoffenheim","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/06ee6c47/Hannover-96-Hoffenheim-March-19-2011-Bundesliga","Hannover 96","Home","Didier Ya Konan",NA,"CIV","FW,MF","26-301",79,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Hannover 96","4-4-2",2,NA,"Didier Ya Konan · 38&rsquor; Mohammed Abdellaoue · 53&rsquor;","0","0","Hoffenheim","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/06ee6c47/Hannover-96-Hoffenheim-March-19-2011-Bundesliga","Hannover 96","Home","Jan Schlaudraff",NA,"GER","FW,MF","27-244",11,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Hannover 96","4-4-2",2,NA,"Didier Ya Konan · 38&rsquor; Mohammed Abdellaoue · 53&rsquor;","0","0","Hoffenheim","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/06ee6c47/Hannover-96-Hoffenheim-March-19-2011-Bundesliga","Hannover 96","Home","Konstantin Rausch",NA,"RUS","DF,MF","21-004",83,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Hannover 96","4-4-2",2,NA,"Didier Ya Konan · 38&rsquor; Mohammed Abdellaoue · 53&rsquor;","0","0","Hoffenheim","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/06ee6c47/Hannover-96-Hoffenheim-March-19-2011-Bundesliga","Hannover 96","Home","Carlitos",NA,"POR","FW,MF","28-194",7,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Hannover 96","4-4-2",2,NA,"Didier Ya Konan · 38&rsquor; Mohammed Abdellaoue · 53&rsquor;","0","0","Hoffenheim","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/06ee6c47/Hannover-96-Hoffenheim-March-19-2011-Bundesliga","Hannover 96","Home","Sérgio Pinto",NA,"POR","FW,MF","30-154",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Hannover 96","4-4-2",2,NA,"Didier Ya Konan · 38&rsquor; Mohammed Abdellaoue · 53&rsquor;","0","0","Hoffenheim","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/06ee6c47/Hannover-96-Hoffenheim-March-19-2011-Bundesliga","Hannover 96","Home","Manuel Schmiedebach",NA,"GER","MF","22-104",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Hannover 96","4-4-2",2,NA,"Didier Ya Konan · 38&rsquor; Mohammed Abdellaoue · 53&rsquor;","0","0","Hoffenheim","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/06ee6c47/Hannover-96-Hoffenheim-March-19-2011-Bundesliga","Hannover 96","Home","Lars Stindl",NA,"GER","FW,MF","22-205",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Hannover 96","4-4-2",2,NA,"Didier Ya Konan · 38&rsquor; Mohammed Abdellaoue · 53&rsquor;","0","0","Hoffenheim","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/06ee6c47/Hannover-96-Hoffenheim-March-19-2011-Bundesliga","Hannover 96","Home","Christian Schulz",NA,"GER","DF,MF","27-352",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
