"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Hannover 96","4-2-3-1",1,NA,"Jiří Štajner · 65&rsquor;","0","0","Nürnberg","4-2-3-1",3,NA,"Albert Bunjaku · 30&rsquor; Albert Bunjaku · 64&rsquor; Albert Bunjaku · 69&rsquor;","1","0","https://fbref.com/en/matches/082ce091/Hannover-96-Nurnberg-January-30-2010-Bundesliga","Hannover 96","Home","Mike Hanke",NA,"GER","FW","26-086",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Hannover 96","4-2-3-1",1,NA,"Jiří Štajner · 65&rsquor;","0","0","Nürnberg","4-2-3-1",3,NA,"Albert Bunjaku · 30&rsquor; Albert Bunjaku · 64&rsquor; Albert Bunjaku · 69&rsquor;","1","0","https://fbref.com/en/matches/082ce091/Hannover-96-Nurnberg-January-30-2010-Bundesliga","Hannover 96","Home","Valdet Rama",NA,"ALB","FW,MF","22-071",65,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Hannover 96","4-2-3-1",1,NA,"Jiří Štajner · 65&rsquor;","0","0","Nürnberg","4-2-3-1",3,NA,"Albert Bunjaku · 30&rsquor; Albert Bunjaku · 64&rsquor; Albert Bunjaku · 69&rsquor;","1","0","https://fbref.com/en/matches/082ce091/Hannover-96-Nurnberg-January-30-2010-Bundesliga","Hannover 96","Home","Constant Djakpa",NA,"CIV","DF","23-105",25,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Hannover 96","4-2-3-1",1,NA,"Jiří Štajner · 65&rsquor;","0","0","Nürnberg","4-2-3-1",3,NA,"Albert Bunjaku · 30&rsquor; Albert Bunjaku · 64&rsquor; Albert Bunjaku · 69&rsquor;","1","0","https://fbref.com/en/matches/082ce091/Hannover-96-Nurnberg-January-30-2010-Bundesliga","Hannover 96","Home","Jiří Štajner",NA,"CZE","FW,MF","33-248",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Hannover 96","4-2-3-1",1,NA,"Jiří Štajner · 65&rsquor;","0","0","Nürnberg","4-2-3-1",3,NA,"Albert Bunjaku · 30&rsquor; Albert Bunjaku · 64&rsquor; Albert Bunjaku · 69&rsquor;","1","0","https://fbref.com/en/matches/082ce091/Hannover-96-Nurnberg-January-30-2010-Bundesliga","Hannover 96","Home","Jan Rosenthal",NA,"GER","FW,MF","23-298",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Hannover 96","4-2-3-1",1,NA,"Jiří Štajner · 65&rsquor;","0","0","Nürnberg","4-2-3-1",3,NA,"Albert Bunjaku · 30&rsquor; Albert Bunjaku · 64&rsquor; Albert Bunjaku · 69&rsquor;","1","0","https://fbref.com/en/matches/082ce091/Hannover-96-Nurnberg-January-30-2010-Bundesliga","Hannover 96","Home","Arnold Bruggink",NA,"NED","FW,MF","32-190",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Hannover 96","4-2-3-1",1,NA,"Jiří Štajner · 65&rsquor;","0","0","Nürnberg","4-2-3-1",3,NA,"Albert Bunjaku · 30&rsquor; Albert Bunjaku · 64&rsquor; Albert Bunjaku · 69&rsquor;","1","0","https://fbref.com/en/matches/082ce091/Hannover-96-Nurnberg-January-30-2010-Bundesliga","Hannover 96","Home","Hanno Balitsch",NA,"GER","MF","29-028",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Hannover 96","4-2-3-1",1,NA,"Jiří Štajner · 65&rsquor;","0","0","Nürnberg","4-2-3-1",3,NA,"Albert Bunjaku · 30&rsquor; Albert Bunjaku · 64&rsquor; Albert Bunjaku · 69&rsquor;","1","0","https://fbref.com/en/matches/082ce091/Hannover-96-Nurnberg-January-30-2010-Bundesliga","Hannover 96","Home","Konstantin Rausch",NA,"RUS","DF,MF","19-321",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Hannover 96","4-2-3-1",1,NA,"Jiří Štajner · 65&rsquor;","0","0","Nürnberg","4-2-3-1",3,NA,"Albert Bunjaku · 30&rsquor; Albert Bunjaku · 64&rsquor; Albert Bunjaku · 69&rsquor;","1","0","https://fbref.com/en/matches/082ce091/Hannover-96-Nurnberg-January-30-2010-Bundesliga","Hannover 96","Home","Christian Schulz",NA,"GER","DF,MF","26-304",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Hannover 96","4-2-3-1",1,NA,"Jiří Štajner · 65&rsquor;","0","0","Nürnberg","4-2-3-1",3,NA,"Albert Bunjaku · 30&rsquor; Albert Bunjaku · 64&rsquor; Albert Bunjaku · 69&rsquor;","1","0","https://fbref.com/en/matches/082ce091/Hannover-96-Nurnberg-January-30-2010-Bundesliga","Hannover 96","Home","Karim Haggui",NA,"TUN","DF","26-010",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Hannover 96","4-2-3-1",1,NA,"Jiří Štajner · 65&rsquor;","0","0","Nürnberg","4-2-3-1",3,NA,"Albert Bunjaku · 30&rsquor; Albert Bunjaku · 64&rsquor; Albert Bunjaku · 69&rsquor;","1","0","https://fbref.com/en/matches/082ce091/Hannover-96-Nurnberg-January-30-2010-Bundesliga","Hannover 96","Home","Sérgio Pinto",NA,"POR","FW,MF","29-106",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Hannover 96","4-2-3-1",1,NA,"Jiří Štajner · 65&rsquor;","0","0","Nürnberg","4-2-3-1",3,NA,"Albert Bunjaku · 30&rsquor; Albert Bunjaku · 64&rsquor; Albert Bunjaku · 69&rsquor;","1","0","https://fbref.com/en/matches/082ce091/Hannover-96-Nurnberg-January-30-2010-Bundesliga","Hannover 96","Home","Florian Fromlowitz",NA,"GER","GK","23-212",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Hannover 96","4-2-3-1",1,NA,"Jiří Štajner · 65&rsquor;","0","0","Nürnberg","4-2-3-1",3,NA,"Albert Bunjaku · 30&rsquor; Albert Bunjaku · 64&rsquor; Albert Bunjaku · 69&rsquor;","1","0","https://fbref.com/en/matches/082ce091/Hannover-96-Nurnberg-January-30-2010-Bundesliga","Nürnberg","Away","Angelos Charisteas",NA,"GRE","FW","29-355",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Hannover 96","4-2-3-1",1,NA,"Jiří Štajner · 65&rsquor;","0","0","Nürnberg","4-2-3-1",3,NA,"Albert Bunjaku · 30&rsquor; Albert Bunjaku · 64&rsquor; Albert Bunjaku · 69&rsquor;","1","0","https://fbref.com/en/matches/082ce091/Hannover-96-Nurnberg-January-30-2010-Bundesliga","Nürnberg","Away","Albert Bunjaku",NA,"KVX","FW","26-062",89,3,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Hannover 96","4-2-3-1",1,NA,"Jiří Štajner · 65&rsquor;","0","0","Nürnberg","4-2-3-1",3,NA,"Albert Bunjaku · 30&rsquor; Albert Bunjaku · 64&rsquor; Albert Bunjaku · 69&rsquor;","1","0","https://fbref.com/en/matches/082ce091/Hannover-96-Nurnberg-January-30-2010-Bundesliga","Nürnberg","Away","Håvard Nordtveit",NA,"NOR","DF,MF","19-223",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Hannover 96","4-2-3-1",1,NA,"Jiří Štajner · 65&rsquor;","0","0","Nürnberg","4-2-3-1",3,NA,"Albert Bunjaku · 30&rsquor; Albert Bunjaku · 64&rsquor; Albert Bunjaku · 69&rsquor;","1","0","https://fbref.com/en/matches/082ce091/Hannover-96-Nurnberg-January-30-2010-Bundesliga","Nürnberg","Away","Christian Eigler",NA,"GER","FW","26-029",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Hannover 96","4-2-3-1",1,NA,"Jiří Štajner · 65&rsquor;","0","0","Nürnberg","4-2-3-1",3,NA,"Albert Bunjaku · 30&rsquor; Albert Bunjaku · 64&rsquor; Albert Bunjaku · 69&rsquor;","1","0","https://fbref.com/en/matches/082ce091/Hannover-96-Nurnberg-January-30-2010-Bundesliga","Nürnberg","Away","Marek Mintál",NA,"SVK","FW,MF","32-150",72,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Hannover 96","4-2-3-1",1,NA,"Jiří Štajner · 65&rsquor;","0","0","Nürnberg","4-2-3-1",3,NA,"Albert Bunjaku · 30&rsquor; Albert Bunjaku · 64&rsquor; Albert Bunjaku · 69&rsquor;","1","0","https://fbref.com/en/matches/082ce091/Hannover-96-Nurnberg-January-30-2010-Bundesliga","Nürnberg","Away","İlkay Gündoğan",NA,"GER","MF","19-098",18,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Hannover 96","4-2-3-1",1,NA,"Jiří Štajner · 65&rsquor;","0","0","Nürnberg","4-2-3-1",3,NA,"Albert Bunjaku · 30&rsquor; Albert Bunjaku · 64&rsquor; Albert Bunjaku · 69&rsquor;","1","0","https://fbref.com/en/matches/082ce091/Hannover-96-Nurnberg-January-30-2010-Bundesliga","Nürnberg","Away","Andreas Ottl",NA,"GER","MF","24-335",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Hannover 96","4-2-3-1",1,NA,"Jiří Štajner · 65&rsquor;","0","0","Nürnberg","4-2-3-1",3,NA,"Albert Bunjaku · 30&rsquor; Albert Bunjaku · 64&rsquor; Albert Bunjaku · 69&rsquor;","1","0","https://fbref.com/en/matches/082ce091/Hannover-96-Nurnberg-January-30-2010-Bundesliga","Nürnberg","Away","Mickaël Tavares",NA,"SEN","MF","27-097",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
