"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hannover 96","4-2-3-1",1,NA,"Christian Schulz · 59&rsquor;","3","0","Werder Bremen","4-2-3-1",5,NA,"Peter Niemeyer · 11&rsquor; Naldo · 18&rsquor; Leon Andreasen (OG) · 27&rsquor; Aaron Hunt · 44&rsquor; Claudio Pizarro · 68&rsquor;","0","0","https://fbref.com/en/matches/f3560f84/Hannover-96-Werder-Bremen-February-13-2010-Bundesliga","Hannover 96","Home","Arouna Koné",NA,"CIV","FW","26-094",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hannover 96","4-2-3-1",1,NA,"Christian Schulz · 59&rsquor;","3","0","Werder Bremen","4-2-3-1",5,NA,"Peter Niemeyer · 11&rsquor; Naldo · 18&rsquor; Leon Andreasen (OG) · 27&rsquor; Aaron Hunt · 44&rsquor; Claudio Pizarro · 68&rsquor;","0","0","https://fbref.com/en/matches/f3560f84/Hannover-96-Werder-Bremen-February-13-2010-Bundesliga","Hannover 96","Home","Jan Schlaudraff",NA,"GER","FW,MF","26-210",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hannover 96","4-2-3-1",1,NA,"Christian Schulz · 59&rsquor;","3","0","Werder Bremen","4-2-3-1",5,NA,"Peter Niemeyer · 11&rsquor; Naldo · 18&rsquor; Leon Andreasen (OG) · 27&rsquor; Aaron Hunt · 44&rsquor; Claudio Pizarro · 68&rsquor;","0","0","https://fbref.com/en/matches/f3560f84/Hannover-96-Werder-Bremen-February-13-2010-Bundesliga","Hannover 96","Home","Jiří Štajner",NA,"CZE","FW,MF","33-262",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hannover 96","4-2-3-1",1,NA,"Christian Schulz · 59&rsquor;","3","0","Werder Bremen","4-2-3-1",5,NA,"Peter Niemeyer · 11&rsquor; Naldo · 18&rsquor; Leon Andreasen (OG) · 27&rsquor; Aaron Hunt · 44&rsquor; Claudio Pizarro · 68&rsquor;","0","0","https://fbref.com/en/matches/f3560f84/Hannover-96-Werder-Bremen-February-13-2010-Bundesliga","Hannover 96","Home","Altin Lala",NA,"ALB","MF","34-087",45,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hannover 96","4-2-3-1",1,NA,"Christian Schulz · 59&rsquor;","3","0","Werder Bremen","4-2-3-1",5,NA,"Peter Niemeyer · 11&rsquor; Naldo · 18&rsquor; Leon Andreasen (OG) · 27&rsquor; Aaron Hunt · 44&rsquor; Claudio Pizarro · 68&rsquor;","0","0","https://fbref.com/en/matches/f3560f84/Hannover-96-Werder-Bremen-February-13-2010-Bundesliga","Hannover 96","Home","Élson",NA,"BRA","MF","28-089",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hannover 96","4-2-3-1",1,NA,"Christian Schulz · 59&rsquor;","3","0","Werder Bremen","4-2-3-1",5,NA,"Peter Niemeyer · 11&rsquor; Naldo · 18&rsquor; Leon Andreasen (OG) · 27&rsquor; Aaron Hunt · 44&rsquor; Claudio Pizarro · 68&rsquor;","0","0","https://fbref.com/en/matches/f3560f84/Hannover-96-Werder-Bremen-February-13-2010-Bundesliga","Hannover 96","Home","Christian Schulz",NA,"GER","DF,MF","26-318",78,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hannover 96","4-2-3-1",1,NA,"Christian Schulz · 59&rsquor;","3","0","Werder Bremen","4-2-3-1",5,NA,"Peter Niemeyer · 11&rsquor; Naldo · 18&rsquor; Leon Andreasen (OG) · 27&rsquor; Aaron Hunt · 44&rsquor; Claudio Pizarro · 68&rsquor;","0","0","https://fbref.com/en/matches/f3560f84/Hannover-96-Werder-Bremen-February-13-2010-Bundesliga","Hannover 96","Home","Constant Djakpa",NA,"CIV","DF","23-119",12,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hannover 96","4-2-3-1",1,NA,"Christian Schulz · 59&rsquor;","3","0","Werder Bremen","4-2-3-1",5,NA,"Peter Niemeyer · 11&rsquor; Naldo · 18&rsquor; Leon Andreasen (OG) · 27&rsquor; Aaron Hunt · 44&rsquor; Claudio Pizarro · 68&rsquor;","0","0","https://fbref.com/en/matches/f3560f84/Hannover-96-Werder-Bremen-February-13-2010-Bundesliga","Hannover 96","Home","Leon Andreasen",NA,"DEN","DF,MF","26-296",50,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hannover 96","4-2-3-1",1,NA,"Christian Schulz · 59&rsquor;","3","0","Werder Bremen","4-2-3-1",5,NA,"Peter Niemeyer · 11&rsquor; Naldo · 18&rsquor; Leon Andreasen (OG) · 27&rsquor; Aaron Hunt · 44&rsquor; Claudio Pizarro · 68&rsquor;","0","0","https://fbref.com/en/matches/f3560f84/Hannover-96-Werder-Bremen-February-13-2010-Bundesliga","Hannover 96","Home","Sérgio Pinto",NA,"POR","FW,MF","29-120",40,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hannover 96","4-2-3-1",1,NA,"Christian Schulz · 59&rsquor;","3","0","Werder Bremen","4-2-3-1",5,NA,"Peter Niemeyer · 11&rsquor; Naldo · 18&rsquor; Leon Andreasen (OG) · 27&rsquor; Aaron Hunt · 44&rsquor; Claudio Pizarro · 68&rsquor;","0","0","https://fbref.com/en/matches/f3560f84/Hannover-96-Werder-Bremen-February-13-2010-Bundesliga","Hannover 96","Home","Konstantin Rausch",NA,"RUS","DF,MF","19-335",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hannover 96","4-2-3-1",1,NA,"Christian Schulz · 59&rsquor;","3","0","Werder Bremen","4-2-3-1",5,NA,"Peter Niemeyer · 11&rsquor; Naldo · 18&rsquor; Leon Andreasen (OG) · 27&rsquor; Aaron Hunt · 44&rsquor; Claudio Pizarro · 68&rsquor;","0","0","https://fbref.com/en/matches/f3560f84/Hannover-96-Werder-Bremen-February-13-2010-Bundesliga","Hannover 96","Home","Ján Ďurica",NA,"SVK","DF","28-065",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hannover 96","4-2-3-1",1,NA,"Christian Schulz · 59&rsquor;","3","0","Werder Bremen","4-2-3-1",5,NA,"Peter Niemeyer · 11&rsquor; Naldo · 18&rsquor; Leon Andreasen (OG) · 27&rsquor; Aaron Hunt · 44&rsquor; Claudio Pizarro · 68&rsquor;","0","0","https://fbref.com/en/matches/f3560f84/Hannover-96-Werder-Bremen-February-13-2010-Bundesliga","Hannover 96","Home","Mario Eggimann",NA,"SUI","DF","29-020",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hannover 96","4-2-3-1",1,NA,"Christian Schulz · 59&rsquor;","3","0","Werder Bremen","4-2-3-1",5,NA,"Peter Niemeyer · 11&rsquor; Naldo · 18&rsquor; Leon Andreasen (OG) · 27&rsquor; Aaron Hunt · 44&rsquor; Claudio Pizarro · 68&rsquor;","0","0","https://fbref.com/en/matches/f3560f84/Hannover-96-Werder-Bremen-February-13-2010-Bundesliga","Hannover 96","Home","Leon Balogun",NA,"NGA","DF","21-230",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hannover 96","4-2-3-1",1,NA,"Christian Schulz · 59&rsquor;","3","0","Werder Bremen","4-2-3-1",5,NA,"Peter Niemeyer · 11&rsquor; Naldo · 18&rsquor; Leon Andreasen (OG) · 27&rsquor; Aaron Hunt · 44&rsquor; Claudio Pizarro · 68&rsquor;","0","0","https://fbref.com/en/matches/f3560f84/Hannover-96-Werder-Bremen-February-13-2010-Bundesliga","Hannover 96","Home","Florian Fromlowitz",NA,"GER","GK","23-226",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hannover 96","4-2-3-1",1,NA,"Christian Schulz · 59&rsquor;","3","0","Werder Bremen","4-2-3-1",5,NA,"Peter Niemeyer · 11&rsquor; Naldo · 18&rsquor; Leon Andreasen (OG) · 27&rsquor; Aaron Hunt · 44&rsquor; Claudio Pizarro · 68&rsquor;","0","0","https://fbref.com/en/matches/f3560f84/Hannover-96-Werder-Bremen-February-13-2010-Bundesliga","Werder Bremen","Away","Claudio Pizarro",NA,"PER","FW","31-133",70,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hannover 96","4-2-3-1",1,NA,"Christian Schulz · 59&rsquor;","3","0","Werder Bremen","4-2-3-1",5,NA,"Peter Niemeyer · 11&rsquor; Naldo · 18&rsquor; Leon Andreasen (OG) · 27&rsquor; Aaron Hunt · 44&rsquor; Claudio Pizarro · 68&rsquor;","0","0","https://fbref.com/en/matches/f3560f84/Hannover-96-Werder-Bremen-February-13-2010-Bundesliga","Werder Bremen","Away","Tim Borowski",NA,"GER","MF","29-287",20,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hannover 96","4-2-3-1",1,NA,"Christian Schulz · 59&rsquor;","3","0","Werder Bremen","4-2-3-1",5,NA,"Peter Niemeyer · 11&rsquor; Naldo · 18&rsquor; Leon Andreasen (OG) · 27&rsquor; Aaron Hunt · 44&rsquor; Claudio Pizarro · 68&rsquor;","0","0","https://fbref.com/en/matches/f3560f84/Hannover-96-Werder-Bremen-February-13-2010-Bundesliga","Werder Bremen","Away","Aaron Hunt",NA,"GER","FW,MF","23-162",76,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hannover 96","4-2-3-1",1,NA,"Christian Schulz · 59&rsquor;","3","0","Werder Bremen","4-2-3-1",5,NA,"Peter Niemeyer · 11&rsquor; Naldo · 18&rsquor; Leon Andreasen (OG) · 27&rsquor; Aaron Hunt · 44&rsquor; Claudio Pizarro · 68&rsquor;","0","0","https://fbref.com/en/matches/f3560f84/Hannover-96-Werder-Bremen-February-13-2010-Bundesliga","Werder Bremen","Away","Said Husejinović",NA,"BIH","MF","21-276",14,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hannover 96","4-2-3-1",1,NA,"Christian Schulz · 59&rsquor;","3","0","Werder Bremen","4-2-3-1",5,NA,"Peter Niemeyer · 11&rsquor; Naldo · 18&rsquor; Leon Andreasen (OG) · 27&rsquor; Aaron Hunt · 44&rsquor; Claudio Pizarro · 68&rsquor;","0","0","https://fbref.com/en/matches/f3560f84/Hannover-96-Werder-Bremen-February-13-2010-Bundesliga","Werder Bremen","Away","Marko Marin",NA,"GER","FW,MF","20-337",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hannover 96","4-2-3-1",1,NA,"Christian Schulz · 59&rsquor;","3","0","Werder Bremen","4-2-3-1",5,NA,"Peter Niemeyer · 11&rsquor; Naldo · 18&rsquor; Leon Andreasen (OG) · 27&rsquor; Aaron Hunt · 44&rsquor; Claudio Pizarro · 68&rsquor;","0","0","https://fbref.com/en/matches/f3560f84/Hannover-96-Werder-Bremen-February-13-2010-Bundesliga","Werder Bremen","Away","Mesut Özil",NA,"GER","MF","21-121",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hannover 96","4-2-3-1",1,NA,"Christian Schulz · 59&rsquor;","3","0","Werder Bremen","4-2-3-1",5,NA,"Peter Niemeyer · 11&rsquor; Naldo · 18&rsquor; Leon Andreasen (OG) · 27&rsquor; Aaron Hunt · 44&rsquor; Claudio Pizarro · 68&rsquor;","0","0","https://fbref.com/en/matches/f3560f84/Hannover-96-Werder-Bremen-February-13-2010-Bundesliga","Werder Bremen","Away","Torsten Frings",NA,"GER","MF","33-083",70,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hannover 96","4-2-3-1",1,NA,"Christian Schulz · 59&rsquor;","3","0","Werder Bremen","4-2-3-1",5,NA,"Peter Niemeyer · 11&rsquor; Naldo · 18&rsquor; Leon Andreasen (OG) · 27&rsquor; Aaron Hunt · 44&rsquor; Claudio Pizarro · 68&rsquor;","0","0","https://fbref.com/en/matches/f3560f84/Hannover-96-Werder-Bremen-February-13-2010-Bundesliga","Werder Bremen","Away","Hugo Almeida",NA,"POR","FW","25-266",20,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
