"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Hannover 96","4-1-2-1-2",0,NA,"","2","0","Wolfsburg","4-1-2-1-2",1,NA,"Zvjezdan Misimović · 78&rsquor;","3","0","https://fbref.com/en/matches/91098241/Hannover-96-Wolfsburg-February-28-2010-Bundesliga","Hannover 96","Home","Jiří Štajner",NA,"CZE","FW,MF","33-277",66,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Hannover 96","4-1-2-1-2",0,NA,"","2","0","Wolfsburg","4-1-2-1-2",1,NA,"Zvjezdan Misimović · 78&rsquor;","3","0","https://fbref.com/en/matches/91098241/Hannover-96-Wolfsburg-February-28-2010-Bundesliga","Hannover 96","Home","Mike Hanke",NA,"GER","FW","26-115",24,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Hannover 96","4-1-2-1-2",0,NA,"","2","0","Wolfsburg","4-1-2-1-2",1,NA,"Zvjezdan Misimović · 78&rsquor;","3","0","https://fbref.com/en/matches/91098241/Hannover-96-Wolfsburg-February-28-2010-Bundesliga","Hannover 96","Home","Arouna Koné",NA,"CIV","FW","26-109",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Hannover 96","4-1-2-1-2",0,NA,"","2","0","Wolfsburg","4-1-2-1-2",1,NA,"Zvjezdan Misimović · 78&rsquor;","3","0","https://fbref.com/en/matches/91098241/Hannover-96-Wolfsburg-February-28-2010-Bundesliga","Hannover 96","Home","Élson",NA,"BRA","MF","28-104",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Hannover 96","4-1-2-1-2",0,NA,"","2","0","Wolfsburg","4-1-2-1-2",1,NA,"Zvjezdan Misimović · 78&rsquor;","3","0","https://fbref.com/en/matches/91098241/Hannover-96-Wolfsburg-February-28-2010-Bundesliga","Hannover 96","Home","Constant Djakpa",NA,"CIV","DF","23-134",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Hannover 96","4-1-2-1-2",0,NA,"","2","0","Wolfsburg","4-1-2-1-2",1,NA,"Zvjezdan Misimović · 78&rsquor;","3","0","https://fbref.com/en/matches/91098241/Hannover-96-Wolfsburg-February-28-2010-Bundesliga","Hannover 96","Home","Sérgio Pinto",NA,"POR","FW,MF","29-135",80,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Hannover 96","4-1-2-1-2",0,NA,"","2","0","Wolfsburg","4-1-2-1-2",1,NA,"Zvjezdan Misimović · 78&rsquor;","3","0","https://fbref.com/en/matches/91098241/Hannover-96-Wolfsburg-February-28-2010-Bundesliga","Hannover 96","Home","Arnold Bruggink",NA,"NED","FW,MF","32-219",10,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Hannover 96","4-1-2-1-2",0,NA,"","2","0","Wolfsburg","4-1-2-1-2",1,NA,"Zvjezdan Misimović · 78&rsquor;","3","0","https://fbref.com/en/matches/91098241/Hannover-96-Wolfsburg-February-28-2010-Bundesliga","Hannover 96","Home","Altin Lala",NA,"ALB","MF","34-102",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Hannover 96","4-1-2-1-2",0,NA,"","2","0","Wolfsburg","4-1-2-1-2",1,NA,"Zvjezdan Misimović · 78&rsquor;","3","0","https://fbref.com/en/matches/91098241/Hannover-96-Wolfsburg-February-28-2010-Bundesliga","Hannover 96","Home","Christian Schulz",NA,"GER","DF,MF","26-333",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Hannover 96","4-1-2-1-2",0,NA,"","2","0","Wolfsburg","4-1-2-1-2",1,NA,"Zvjezdan Misimović · 78&rsquor;","3","0","https://fbref.com/en/matches/91098241/Hannover-96-Wolfsburg-February-28-2010-Bundesliga","Hannover 96","Home","Ján Ďurica",NA,"SVK","DF","28-080",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
