"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-08-26","Fußball-Bundesliga (Matchweek 2)","Heidenheim","4-4-2",2,2.4,"Jan-Niklas Beste · 26&rsquor; Marvin Pieringer · 58&rsquor;","1","0","Hoffenheim","3-4-3",3,3,"Maximilian Beier · 77&rsquor; Pavel Kadeřábek · 80&rsquor; Andrej Kramarić (P) · 90&rsquor;","5","0","https://fbref.com/en/matches/95224afe/Heidenheim-Hoffenheim-August-26-2023-Bundesliga","Heidenheim","Home","Tim Kleindienst",10,"GER","FW","27-360",90,0,0,0,0,5,3,0,0,43,1,0,0,0.7,0.7,0,0,0,19,29,65.5,5,18,0,2,1
"Fußball-Bundesliga","2023-08-26","Fußball-Bundesliga (Matchweek 2)","Heidenheim","4-4-2",2,2.4,"Jan-Niklas Beste · 26&rsquor; Marvin Pieringer · 58&rsquor;","1","0","Hoffenheim","3-4-3",3,3,"Maximilian Beier · 77&rsquor; Pavel Kadeřábek · 80&rsquor; Andrej Kramarić (P) · 90&rsquor;","5","0","https://fbref.com/en/matches/95224afe/Heidenheim-Hoffenheim-August-26-2023-Bundesliga","Heidenheim","Home","Marvin Pieringer",18,"GER","FW","23-326",77,1,0,0,0,4,2,0,0,24,1,0,2,0.4,0.4,0,1,1,10,15,66.7,1,11,2,0,0
"Fußball-Bundesliga","2023-08-26","Fußball-Bundesliga (Matchweek 2)","Heidenheim","4-4-2",2,2.4,"Jan-Niklas Beste · 26&rsquor; Marvin Pieringer · 58&rsquor;","1","0","Hoffenheim","3-4-3",3,3,"Maximilian Beier · 77&rsquor; Pavel Kadeřábek · 80&rsquor; Andrej Kramarić (P) · 90&rsquor;","5","0","https://fbref.com/en/matches/95224afe/Heidenheim-Hoffenheim-August-26-2023-Bundesliga","Heidenheim","Home","Jan Schöppner",3,"GER","CM","24-075",13,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,1,2,50,0,0,0,0,0
"Fußball-Bundesliga","2023-08-26","Fußball-Bundesliga (Matchweek 2)","Heidenheim","4-4-2",2,2.4,"Jan-Niklas Beste · 26&rsquor; Marvin Pieringer · 58&rsquor;","1","0","Hoffenheim","3-4-3",3,3,"Maximilian Beier · 77&rsquor; Pavel Kadeřábek · 80&rsquor; Andrej Kramarić (P) · 90&rsquor;","5","0","https://fbref.com/en/matches/95224afe/Heidenheim-Hoffenheim-August-26-2023-Bundesliga","Heidenheim","Home","Jan-Niklas Beste",37,"GER","LM","24-234",90,1,1,0,1,2,1,0,0,52,2,1,2,0.9,0.1,0.7,10,1,23,39,59,3,23,4,3,2
"Fußball-Bundesliga","2023-08-26","Fußball-Bundesliga (Matchweek 2)","Heidenheim","4-4-2",2,2.4,"Jan-Niklas Beste · 26&rsquor; Marvin Pieringer · 58&rsquor;","1","0","Hoffenheim","3-4-3",3,3,"Maximilian Beier · 77&rsquor; Pavel Kadeřábek · 80&rsquor; Andrej Kramarić (P) · 90&rsquor;","5","0","https://fbref.com/en/matches/95224afe/Heidenheim-Hoffenheim-August-26-2023-Bundesliga","Heidenheim","Home","Denis Thomalla",11,"GER","CM,FW","31-010",89,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0.2,2,0,13,16,81.3,3,8,0,1,1
"Fußball-Bundesliga","2023-08-26","Fußball-Bundesliga (Matchweek 2)","Heidenheim","4-4-2",2,2.4,"Jan-Niklas Beste · 26&rsquor; Marvin Pieringer · 58&rsquor;","1","0","Hoffenheim","3-4-3",3,3,"Maximilian Beier · 77&rsquor; Pavel Kadeřábek · 80&rsquor; Andrej Kramarić (P) · 90&rsquor;","5","0","https://fbref.com/en/matches/95224afe/Heidenheim-Hoffenheim-August-26-2023-Bundesliga","Heidenheim","Home","Nikola Dovedan",20,"AUT","FW","29-051",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,100,0,0,0,0,0
"Fußball-Bundesliga","2023-08-26","Fußball-Bundesliga (Matchweek 2)","Heidenheim","4-4-2",2,2.4,"Jan-Niklas Beste · 26&rsquor; Marvin Pieringer · 58&rsquor;","1","0","Hoffenheim","3-4-3",3,3,"Maximilian Beier · 77&rsquor; Pavel Kadeřábek · 80&rsquor; Andrej Kramarić (P) · 90&rsquor;","5","0","https://fbref.com/en/matches/95224afe/Heidenheim-Hoffenheim-August-26-2023-Bundesliga","Heidenheim","Home","Lennard Maloney",33,"USA","CM","23-322",90,0,0,0,0,1,0,0,0,31,0,1,1,0,0,0.2,2,0,16,27,59.3,0,8,0,1,1
"Fußball-Bundesliga","2023-08-26","Fußball-Bundesliga (Matchweek 2)","Heidenheim","4-4-2",2,2.4,"Jan-Niklas Beste · 26&rsquor; Marvin Pieringer · 58&rsquor;","1","0","Hoffenheim","3-4-3",3,3,"Maximilian Beier · 77&rsquor; Pavel Kadeřábek · 80&rsquor; Andrej Kramarić (P) · 90&rsquor;","5","0","https://fbref.com/en/matches/95224afe/Heidenheim-Hoffenheim-August-26-2023-Bundesliga","Heidenheim","Home","Eren Dinkçi",8,"GER","RM","21-256",77,0,0,0,0,1,0,1,0,47,2,2,1,0.1,0.1,0.1,6,0,20,33,60.6,4,25,4,4,1
"Fußball-Bundesliga","2023-08-26","Fußball-Bundesliga (Matchweek 2)","Heidenheim","4-4-2",2,2.4,"Jan-Niklas Beste · 26&rsquor; Marvin Pieringer · 58&rsquor;","1","0","Hoffenheim","3-4-3",3,3,"Maximilian Beier · 77&rsquor; Pavel Kadeřábek · 80&rsquor; Andrej Kramarić (P) · 90&rsquor;","5","0","https://fbref.com/en/matches/95224afe/Heidenheim-Hoffenheim-August-26-2023-Bundesliga","Heidenheim","Home","Kevin Sessa",16,"GER","RM","23-051",13,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,1,0,5,8,62.5,1,6,1,0,0
"Fußball-Bundesliga","2023-08-26","Fußball-Bundesliga (Matchweek 2)","Heidenheim","4-4-2",2,2.4,"Jan-Niklas Beste · 26&rsquor; Marvin Pieringer · 58&rsquor;","1","0","Hoffenheim","3-4-3",3,3,"Maximilian Beier · 77&rsquor; Pavel Kadeřábek · 80&rsquor; Andrej Kramarić (P) · 90&rsquor;","5","0","https://fbref.com/en/matches/95224afe/Heidenheim-Hoffenheim-August-26-2023-Bundesliga","Heidenheim","Home","Jonas Föhrenbach",19,"GER","LB","27-212",90,0,0,0,0,1,0,0,0,48,1,0,1,0.1,0.1,0,3,0,27,41,65.9,6,21,3,0,0
