"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Heidenheim","4-2-3-1",1,0.8,"Jan-Niklas Beste · 59&rsquor;","1","0","Union Berlin","3-4-3",0,2.2,"","2","0","https://fbref.com/en/matches/23d84166/Heidenheim-Union-Berlin-September-30-2023-Bundesliga","Heidenheim","Home","Tim Kleindienst",10,"GER","FW","28-030",90,0,0,0,0,1,0,0,0,39,0,0,2,0.1,0.1,0,2,1,14,24,58.3,1,23,1,2,1
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Heidenheim","4-2-3-1",1,0.8,"Jan-Niklas Beste · 59&rsquor;","1","0","Union Berlin","3-4-3",0,2.2,"","2","0","https://fbref.com/en/matches/23d84166/Heidenheim-Union-Berlin-September-30-2023-Bundesliga","Heidenheim","Home","Jan-Niklas Beste",37,"GER","LW","24-269",89,1,0,0,0,3,2,0,0,39,1,1,1,0.3,0.3,0,2,0,11,25,44,0,20,3,1,0
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Heidenheim","4-2-3-1",1,0.8,"Jan-Niklas Beste · 59&rsquor;","1","0","Union Berlin","3-4-3",0,2.2,"","2","0","https://fbref.com/en/matches/23d84166/Heidenheim-Union-Berlin-September-30-2023-Bundesliga","Heidenheim","Home","Stefan Schimmer",9,"GER","LW","29-155",1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Heidenheim","4-2-3-1",1,0.8,"Jan-Niklas Beste · 59&rsquor;","1","0","Union Berlin","3-4-3",0,2.2,"","2","0","https://fbref.com/en/matches/23d84166/Heidenheim-Union-Berlin-September-30-2023-Bundesliga","Heidenheim","Home","Eren Dinkçi",8,"GER","RW","21-291",89,0,0,0,0,2,1,0,0,40,1,0,0,0.2,0.2,0.2,6,1,19,31,61.3,4,28,7,2,1
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Heidenheim","4-2-3-1",1,0.8,"Jan-Niklas Beste · 59&rsquor;","1","0","Union Berlin","3-4-3",0,2.2,"","2","0","https://fbref.com/en/matches/23d84166/Heidenheim-Union-Berlin-September-30-2023-Bundesliga","Heidenheim","Home","Florian Pick",17,"GER","RW","28-022",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Heidenheim","4-2-3-1",1,0.8,"Jan-Niklas Beste · 59&rsquor;","1","0","Union Berlin","3-4-3",0,2.2,"","2","0","https://fbref.com/en/matches/23d84166/Heidenheim-Union-Berlin-September-30-2023-Bundesliga","Heidenheim","Home","Marvin Pieringer",18,"GER","AM","23-361",80,0,0,0,0,0,0,1,0,22,2,0,1,0,0,0.1,2,0,11,16,68.8,1,13,2,2,2
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Heidenheim","4-2-3-1",1,0.8,"Jan-Niklas Beste · 59&rsquor;","1","0","Union Berlin","3-4-3",0,2.2,"","2","0","https://fbref.com/en/matches/23d84166/Heidenheim-Union-Berlin-September-30-2023-Bundesliga","Heidenheim","Home","Denis Thomalla",11,"GER","AM","31-045",10,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,3,7,42.9,0,0,0,0,0
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Heidenheim","4-2-3-1",1,0.8,"Jan-Niklas Beste · 59&rsquor;","1","0","Union Berlin","3-4-3",0,2.2,"","2","0","https://fbref.com/en/matches/23d84166/Heidenheim-Union-Berlin-September-30-2023-Bundesliga","Heidenheim","Home","Norman Theuerkauf",30,"GER","DM","36-249",89,0,0,0,0,1,0,0,0,39,1,1,0,0,0,0.1,2,0,29,36,80.6,4,18,1,0,0
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Heidenheim","4-2-3-1",1,0.8,"Jan-Niklas Beste · 59&rsquor;","1","0","Union Berlin","3-4-3",0,2.2,"","2","0","https://fbref.com/en/matches/23d84166/Heidenheim-Union-Berlin-September-30-2023-Bundesliga","Heidenheim","Home","Thomas Keller",27,"GER","DM","24-056",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Heidenheim","4-2-3-1",1,0.8,"Jan-Niklas Beste · 59&rsquor;","1","0","Union Berlin","3-4-3",0,2.2,"","2","0","https://fbref.com/en/matches/23d84166/Heidenheim-Union-Berlin-September-30-2023-Bundesliga","Heidenheim","Home","Lennard Maloney",33,"USA","DM","23-357",90,0,0,0,0,2,1,0,0,63,0,1,0,0.1,0.1,0,0,0,37,45,82.2,0,23,0,0,0
