"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Heidenheim","Home","Tim Kleindienst",10,"GER","FW","28-017",89,1,2,1,1,4,0,0,0,49,0,2,1,1.3,0.5,0.4,5,2,22,31,71,3,33,3,5,2
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Heidenheim","Home","Thomas Keller",27,"GER","FW","24-043",1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,6,83.3,2,3,0,0,0
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Heidenheim","Home","Jan-Niklas Beste",37,"GER","LW","24-256",82,1,1,0,0,2,1,0,0,36,1,0,0,0.2,0.2,0.3,6,2,19,27,70.4,0,17,3,5,1
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Heidenheim","Home","Florian Pick",17,"GER","LW","28-009",8,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,3,5,60,0,5,1,1,1
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Heidenheim","Home","Eren Dinkçi",8,"GER","RW","21-278",81,2,0,0,0,3,2,0,0,30,0,0,1,0.4,0.4,0.3,3,1,10,20,50,4,17,2,3,1
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Heidenheim","Home","Kevin Sessa",16,"GER","RW","23-073",9,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,7,42.9,0,3,1,0,0
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Heidenheim","Home","Marvin Pieringer",18,"GER","AM","23-348",72,0,0,0,0,1,0,0,0,27,0,2,1,0,0,0,1,0,17,20,85,0,14,1,1,1
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Heidenheim","Home","Denis Thomalla",11,"GER","AM","31-032",18,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,8,62.5,0,6,0,0,0
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Heidenheim","Home","Norman Theuerkauf",30,"GER","DM","36-236",72,0,0,0,0,1,0,0,0,23,1,3,0,0,0,0,2,0,8,15,53.3,3,9,0,0,0
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Heidenheim","Home","Adrian Beck",21,"GER","DM","26-100",18,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,8,11,72.7,0,5,0,1,1
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Heidenheim","Home","Lennard Maloney",33,"USA","DM","23-344",90,0,0,0,0,1,0,0,0,43,3,2,0,0,0,0,4,0,25,34,73.5,4,19,1,0,0
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Heidenheim","Home","Jonas Föhrenbach",19,"GER","LB","27-234",90,0,0,0,0,1,0,0,0,52,1,0,1,0,0,0.1,4,1,33,44,75,4,30,2,0,0
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Heidenheim","Home","Tim Siersleben",4,"GER","CB","23-192",90,0,0,0,0,1,0,0,0,51,4,3,2,0,0,0,2,1,23,33,69.7,3,27,0,0,0
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Heidenheim","Home","Patrick Mainka",6,"GER","CB","28-315",90,0,0,0,0,2,1,0,0,47,0,2,2,0.1,0.1,0,2,0,28,37,75.7,2,21,1,0,0
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Heidenheim","Home","Omar Traoré",23,"GER","RB","25-225",90,0,0,0,0,0,0,1,0,34,1,1,0,0,0,0,2,0,21,25,84,1,24,3,1,0
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Heidenheim","Home","Kevin Müller",1,"GER","GK","32-186",90,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,33,48,68.8,0,32,0,0,0
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Werder Bremen","Away","Nick Woltemade",29,"GER","FW","21-215",64,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0.2,4,0,18,19,94.7,1,22,1,7,4
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Werder Bremen","Away","Rafael Borré",19,"COL","FW","28-002",26,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,9,10,90,1,6,0,2,1
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Werder Bremen","Away","Dawid Kownacki",9,"POL","FW","26-187",45,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,5,7,71.4,1,6,1,0,0
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Werder Bremen","Away","Marvin Ducksch",7,"GER","FW","29-194",45,1,0,0,1,2,1,0,0,21,0,0,0,1,0.1,0.2,3,1,10,14,71.4,3,10,0,0,0
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Werder Bremen","Away","Jens Stage",6,"DEN","CM","26-313",90,0,0,0,0,2,0,0,0,40,2,1,1,0.7,0.7,0.1,4,0,26,31,83.9,1,18,2,2,0
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Werder Bremen","Away","Christian Groß",36,"GER","CM","34-221",83,0,0,0,0,0,0,0,0,45,3,0,2,0,0,0,0,0,28,33,84.8,4,18,0,0,0
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Werder Bremen","Away","Justin Njinmah",17,"GER","CM","22-306",7,0,0,0,0,1,1,0,0,2,0,0,0,0.2,0.2,0,0,0,0,0,NA,0,2,1,0,0
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Werder Bremen","Away","Romano Schmid",20,"AUT","CM","23-233",90,0,0,0,0,2,0,0,0,60,1,0,0,0.7,0.7,0.7,2,0,34,47,72.3,4,31,4,2,1
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Werder Bremen","Away","Anthony Jung",3,"GER","WB","31-318",45,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,1,0,33,41,80.5,2,22,0,0,0
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Werder Bremen","Away","Olivier Deman",2,"BEL","WB","23-164",45,0,1,0,0,0,0,0,0,39,1,0,2,0,0,0.2,2,1,24,33,72.7,2,14,1,1,1
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Werder Bremen","Away","Mitchell Weiser",8,"GER","WB","29-149",90,1,0,0,0,2,1,0,0,49,2,0,0,0.3,0.3,0,0,0,24,41,58.5,2,26,5,6,5
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Werder Bremen","Away","Marco Friedl",32,"AUT","CB","25-185",45,0,0,0,0,0,0,0,0,57,2,1,0,0,0,0,0,0,44,52,84.6,2,32,0,0,0
"Fußball-Bundesliga","2023-09-17","Fußball-Bundesliga (Matchweek 4)","Heidenheim","4-2-3-1",4,2.2,"Tim Kleindienst (P) · 5&rsquor; Eren Dinkçi · 44&rsquor; Eren Dinkçi · 68&rsquor; Jan-Niklas Beste · 76&rsquor;","1","0","Werder Bremen","3-5-2",2,3,"Marvin Ducksch · 49&rsquor; Mitchell Weiser · 64&rsquor;","1","0","https://fbref.com/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga","Werder Bremen","Away","Miloš Veljković",13,"SRB","CB","27-356",45,0,0,0,0,0,0,0,0,45,2,0,2,0,0,0,1,1,30,38,78.9,2,20,0,0,0
