"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Hertha BSC","4-4-1-1",2,NA,"Adrián Ramos · 8&rsquor; Gojko Kačar · 77&rsquor; Adrián Ramos · 90&rsquor;","5","1","Bayer Leverkusen","4-4-2",2,NA,"Toni Kroos · 76&rsquor; Burak Kaplan · 90&rsquor;","1","0","https://fbref.com/en/matches/49911452/Hertha-BSC-Bayer-Leverkusen-December-11-2009-Bundesliga","Hertha BSC","Home","Adrián Ramos",NA,"COL","FW","23-323",90,2,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Hertha BSC","4-4-1-1",2,NA,"Adrián Ramos · 8&rsquor; Gojko Kačar · 77&rsquor; Adrián Ramos · 90&rsquor;","5","1","Bayer Leverkusen","4-4-2",2,NA,"Toni Kroos · 76&rsquor; Burak Kaplan · 90&rsquor;","1","0","https://fbref.com/en/matches/49911452/Hertha-BSC-Bayer-Leverkusen-December-11-2009-Bundesliga","Hertha BSC","Home","Raffael",NA,"BRA","FW,MF","24-258",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Hertha BSC","4-4-1-1",2,NA,"Adrián Ramos · 8&rsquor; Gojko Kačar · 77&rsquor; Adrián Ramos · 90&rsquor;","5","1","Bayer Leverkusen","4-4-2",2,NA,"Toni Kroos · 76&rsquor; Burak Kaplan · 90&rsquor;","1","0","https://fbref.com/en/matches/49911452/Hertha-BSC-Bayer-Leverkusen-December-11-2009-Bundesliga","Hertha BSC","Home","Cícero Santos",NA,"BRA","MF","25-107",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Hertha BSC","4-4-1-1",2,NA,"Adrián Ramos · 8&rsquor; Gojko Kačar · 77&rsquor; Adrián Ramos · 90&rsquor;","5","1","Bayer Leverkusen","4-4-2",2,NA,"Toni Kroos · 76&rsquor; Burak Kaplan · 90&rsquor;","1","0","https://fbref.com/en/matches/49911452/Hertha-BSC-Bayer-Leverkusen-December-11-2009-Bundesliga","Hertha BSC","Home","Fabian Lustenberger",NA,"SUI","DF,MF","21-223",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Hertha BSC","4-4-1-1",2,NA,"Adrián Ramos · 8&rsquor; Gojko Kačar · 77&rsquor; Adrián Ramos · 90&rsquor;","5","1","Bayer Leverkusen","4-4-2",2,NA,"Toni Kroos · 76&rsquor; Burak Kaplan · 90&rsquor;","1","0","https://fbref.com/en/matches/49911452/Hertha-BSC-Bayer-Leverkusen-December-11-2009-Bundesliga","Hertha BSC","Home","Gojko Kačar",NA,"SRB","DF,MF","22-319",76,0,NA,0,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Hertha BSC","4-4-1-1",2,NA,"Adrián Ramos · 8&rsquor; Gojko Kačar · 77&rsquor; Adrián Ramos · 90&rsquor;","5","1","Bayer Leverkusen","4-4-2",2,NA,"Toni Kroos · 76&rsquor; Burak Kaplan · 90&rsquor;","1","0","https://fbref.com/en/matches/49911452/Hertha-BSC-Bayer-Leverkusen-December-11-2009-Bundesliga","Hertha BSC","Home","Patrick Ebert",NA,"GER","FW,MF","22-269",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Hertha BSC","4-4-1-1",2,NA,"Adrián Ramos · 8&rsquor; Gojko Kačar · 77&rsquor; Adrián Ramos · 90&rsquor;","5","1","Bayer Leverkusen","4-4-2",2,NA,"Toni Kroos · 76&rsquor; Burak Kaplan · 90&rsquor;","1","0","https://fbref.com/en/matches/49911452/Hertha-BSC-Bayer-Leverkusen-December-11-2009-Bundesliga","Hertha BSC","Home","Nemanja Pejčinović",NA,"SRB","DF","22-037",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Hertha BSC","4-4-1-1",2,NA,"Adrián Ramos · 8&rsquor; Gojko Kačar · 77&rsquor; Adrián Ramos · 90&rsquor;","5","1","Bayer Leverkusen","4-4-2",2,NA,"Toni Kroos · 76&rsquor; Burak Kaplan · 90&rsquor;","1","0","https://fbref.com/en/matches/49911452/Hertha-BSC-Bayer-Leverkusen-December-11-2009-Bundesliga","Hertha BSC","Home","Steve von Bergen",NA,"SUI","DF","26-184",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Hertha BSC","4-4-1-1",2,NA,"Adrián Ramos · 8&rsquor; Gojko Kačar · 77&rsquor; Adrián Ramos · 90&rsquor;","5","1","Bayer Leverkusen","4-4-2",2,NA,"Toni Kroos · 76&rsquor; Burak Kaplan · 90&rsquor;","1","0","https://fbref.com/en/matches/49911452/Hertha-BSC-Bayer-Leverkusen-December-11-2009-Bundesliga","Hertha BSC","Home","Kaká",NA,"BRA","DF","28-209",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Hertha BSC","4-4-1-1",2,NA,"Adrián Ramos · 8&rsquor; Gojko Kačar · 77&rsquor; Adrián Ramos · 90&rsquor;","5","1","Bayer Leverkusen","4-4-2",2,NA,"Toni Kroos · 76&rsquor; Burak Kaplan · 90&rsquor;","1","0","https://fbref.com/en/matches/49911452/Hertha-BSC-Bayer-Leverkusen-December-11-2009-Bundesliga","Hertha BSC","Home","Łukasz Piszczek",NA,"POL","DF,MF","24-191",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
