"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 34)","Hertha BSC","4-1-2-1-2",1,NA,"Adrián Ramos · 59&rsquor;","0","0","Bayern Munich","4-4-2",3,NA,"Ivica Olić · 20&rsquor; Arjen Robben · 74&rsquor; Arjen Robben · 87&rsquor;","0","0","https://fbref.com/en/matches/5a45de4e/Hertha-BSC-Bayern-Munich-May-8-2010-Bundesliga","Hertha BSC","Home","Adrián Ramos",NA,"COL","FW","24-106",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 34)","Hertha BSC","4-1-2-1-2",1,NA,"Adrián Ramos · 59&rsquor;","0","0","Bayern Munich","4-4-2",3,NA,"Ivica Olić · 20&rsquor; Arjen Robben · 74&rsquor; Arjen Robben · 87&rsquor;","0","0","https://fbref.com/en/matches/5a45de4e/Hertha-BSC-Bayern-Munich-May-8-2010-Bundesliga","Hertha BSC","Home","Raffael",NA,"BRA","FW,MF","25-041",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 34)","Hertha BSC","4-1-2-1-2",1,NA,"Adrián Ramos · 59&rsquor;","0","0","Bayern Munich","4-4-2",3,NA,"Ivica Olić · 20&rsquor; Arjen Robben · 74&rsquor; Arjen Robben · 87&rsquor;","0","0","https://fbref.com/en/matches/5a45de4e/Hertha-BSC-Bayern-Munich-May-8-2010-Bundesliga","Hertha BSC","Home","Gojko Kačar",NA,"SRB","DF,MF","23-102",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 34)","Hertha BSC","4-1-2-1-2",1,NA,"Adrián Ramos · 59&rsquor;","0","0","Bayern Munich","4-4-2",3,NA,"Ivica Olić · 20&rsquor; Arjen Robben · 74&rsquor; Arjen Robben · 87&rsquor;","0","0","https://fbref.com/en/matches/5a45de4e/Hertha-BSC-Bayern-Munich-May-8-2010-Bundesliga","Hertha BSC","Home","Cícero Santos",NA,"BRA","MF","25-255",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 34)","Hertha BSC","4-1-2-1-2",1,NA,"Adrián Ramos · 59&rsquor;","0","0","Bayern Munich","4-4-2",3,NA,"Ivica Olić · 20&rsquor; Arjen Robben · 74&rsquor; Arjen Robben · 87&rsquor;","0","0","https://fbref.com/en/matches/5a45de4e/Hertha-BSC-Bayern-Munich-May-8-2010-Bundesliga","Hertha BSC","Home","Marc Stein",NA,"GER","DF,MF","24-305",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 34)","Hertha BSC","4-1-2-1-2",1,NA,"Adrián Ramos · 59&rsquor;","0","0","Bayern Munich","4-4-2",3,NA,"Ivica Olić · 20&rsquor; Arjen Robben · 74&rsquor; Arjen Robben · 87&rsquor;","0","0","https://fbref.com/en/matches/5a45de4e/Hertha-BSC-Bayern-Munich-May-8-2010-Bundesliga","Hertha BSC","Home","Fabian Lustenberger",NA,"SUI","DF,MF","22-006",85,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 34)","Hertha BSC","4-1-2-1-2",1,NA,"Adrián Ramos · 59&rsquor;","0","0","Bayern Munich","4-4-2",3,NA,"Ivica Olić · 20&rsquor; Arjen Robben · 74&rsquor; Arjen Robben · 87&rsquor;","0","0","https://fbref.com/en/matches/5a45de4e/Hertha-BSC-Bayern-Munich-May-8-2010-Bundesliga","Hertha BSC","Home","Theofanis Gekas",NA,"GRE","FW","29-350",5,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 34)","Hertha BSC","4-1-2-1-2",1,NA,"Adrián Ramos · 59&rsquor;","0","0","Bayern Munich","4-4-2",3,NA,"Ivica Olić · 20&rsquor; Arjen Robben · 74&rsquor; Arjen Robben · 87&rsquor;","0","0","https://fbref.com/en/matches/5a45de4e/Hertha-BSC-Bayern-Munich-May-8-2010-Bundesliga","Hertha BSC","Home","Levan Kobiashvili",NA,"GEO","DF,MF","32-302",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 34)","Hertha BSC","4-1-2-1-2",1,NA,"Adrián Ramos · 59&rsquor;","0","0","Bayern Munich","4-4-2",3,NA,"Ivica Olić · 20&rsquor; Arjen Robben · 74&rsquor; Arjen Robben · 87&rsquor;","0","0","https://fbref.com/en/matches/5a45de4e/Hertha-BSC-Bayern-Munich-May-8-2010-Bundesliga","Hertha BSC","Home","Christoph Janker",NA,"GER","DF","25-083",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 34)","Hertha BSC","4-1-2-1-2",1,NA,"Adrián Ramos · 59&rsquor;","0","0","Bayern Munich","4-4-2",3,NA,"Ivica Olić · 20&rsquor; Arjen Robben · 74&rsquor; Arjen Robben · 87&rsquor;","0","0","https://fbref.com/en/matches/5a45de4e/Hertha-BSC-Bayern-Munich-May-8-2010-Bundesliga","Hertha BSC","Home","Arne Friedrich",NA,"GER","DF","30-344",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
