"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","Hertha BSC","4-2-2-2",3,1.2,"Ishak Belfodil · 51&rsquor; Marco Richter · 57&rsquor; Marco Richter · 69&rsquor;","0","0","Dortmund","4-2-3-1",2,1.3,"Julian Brandt · 31&rsquor; Steffen Tigges · 83&rsquor;","1","0","https://fbref.com/en/matches/6310e441/Hertha-BSC-Dortmund-December-18-2021-Bundesliga","Hertha BSC","Home","Myziane Maolida",11,"FRA","FW","22-307",90,0,1,0,0,0,0,0,0,19,1,0,0,0,0,0,2,1,8,12,66.7,0,9,0,2,1
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","Hertha BSC","4-2-2-2",3,1.2,"Ishak Belfodil · 51&rsquor; Marco Richter · 57&rsquor; Marco Richter · 69&rsquor;","0","0","Dortmund","4-2-3-1",2,1.3,"Julian Brandt · 31&rsquor; Steffen Tigges · 83&rsquor;","1","0","https://fbref.com/en/matches/6310e441/Hertha-BSC-Dortmund-December-18-2021-Bundesliga","Hertha BSC","Home","Ishak Belfodil",14,"ALG","FW","29-340",86,1,0,0,0,3,2,0,0,35,1,0,0,0.4,0.4,0.1,3,2,17,23,73.9,2,17,3,1,0
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","Hertha BSC","4-2-2-2",3,1.2,"Ishak Belfodil · 51&rsquor; Marco Richter · 57&rsquor; Marco Richter · 69&rsquor;","0","0","Dortmund","4-2-3-1",2,1.3,"Julian Brandt · 31&rsquor; Steffen Tigges · 83&rsquor;","1","0","https://fbref.com/en/matches/6310e441/Hertha-BSC-Dortmund-December-18-2021-Bundesliga","Hertha BSC","Home","Marvin Plattenhardt",21,"GER","LB","29-326",4,0,0,0,0,1,0,0,0,5,0,0,1,0.1,0.1,0,0,0,1,1,100,0,1,0,0,0
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","Hertha BSC","4-2-2-2",3,1.2,"Ishak Belfodil · 51&rsquor; Marco Richter · 57&rsquor; Marco Richter · 69&rsquor;","0","0","Dortmund","4-2-3-1",2,1.3,"Julian Brandt · 31&rsquor; Steffen Tigges · 83&rsquor;","1","0","https://fbref.com/en/matches/6310e441/Hertha-BSC-Dortmund-December-18-2021-Bundesliga","Hertha BSC","Home","Jurgen Ekkelenkamp",10,"NED","AM,CM","21-257",86,0,0,0,0,3,1,0,0,45,1,1,0,0.4,0.4,0.3,4,0,20,32,62.5,3,19,1,1,0
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","Hertha BSC","4-2-2-2",3,1.2,"Ishak Belfodil · 51&rsquor; Marco Richter · 57&rsquor; Marco Richter · 69&rsquor;","0","0","Dortmund","4-2-3-1",2,1.3,"Julian Brandt · 31&rsquor; Steffen Tigges · 83&rsquor;","1","0","https://fbref.com/en/matches/6310e441/Hertha-BSC-Dortmund-December-18-2021-Bundesliga","Hertha BSC","Home","Davie Selke",7,"GER","FW","26-332",4,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,2,3,66.7,0,2,0,0,0
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","Hertha BSC","4-2-2-2",3,1.2,"Ishak Belfodil · 51&rsquor; Marco Richter · 57&rsquor; Marco Richter · 69&rsquor;","0","0","Dortmund","4-2-3-1",2,1.3,"Julian Brandt · 31&rsquor; Steffen Tigges · 83&rsquor;","1","0","https://fbref.com/en/matches/6310e441/Hertha-BSC-Dortmund-December-18-2021-Bundesliga","Hertha BSC","Home","Marco Richter",23,"GER","AM","24-024",71,2,0,0,0,3,2,0,0,31,0,1,1,0.2,0.2,0,0,0,11,18,61.1,0,21,4,0,0
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","Hertha BSC","4-2-2-2",3,1.2,"Ishak Belfodil · 51&rsquor; Marco Richter · 57&rsquor; Marco Richter · 69&rsquor;","0","0","Dortmund","4-2-3-1",2,1.3,"Julian Brandt · 31&rsquor; Steffen Tigges · 83&rsquor;","1","0","https://fbref.com/en/matches/6310e441/Hertha-BSC-Dortmund-December-18-2021-Bundesliga","Hertha BSC","Home","Linus Gechter",44,"GER","CB","17-294",19,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,6,83.3,0,3,0,0,0
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","Hertha BSC","4-2-2-2",3,1.2,"Ishak Belfodil · 51&rsquor; Marco Richter · 57&rsquor; Marco Richter · 69&rsquor;","0","0","Dortmund","4-2-3-1",2,1.3,"Julian Brandt · 31&rsquor; Steffen Tigges · 83&rsquor;","1","0","https://fbref.com/en/matches/6310e441/Hertha-BSC-Dortmund-December-18-2021-Bundesliga","Hertha BSC","Home","Santiago Ascacíbar",18,"ARG","DM,CM","24-296",90,0,0,0,0,1,0,0,0,55,1,4,1,0,0,0,2,0,34,45,75.6,3,24,1,1,1
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","Hertha BSC","4-2-2-2",3,1.2,"Ishak Belfodil · 51&rsquor; Marco Richter · 57&rsquor; Marco Richter · 69&rsquor;","0","0","Dortmund","4-2-3-1",2,1.3,"Julian Brandt · 31&rsquor; Steffen Tigges · 83&rsquor;","1","0","https://fbref.com/en/matches/6310e441/Hertha-BSC-Dortmund-December-18-2021-Bundesliga","Hertha BSC","Home","Vladimír Darida",6,"CZE","DM","31-132",71,0,1,0,0,1,0,0,0,53,1,0,0,0,0,0.3,4,1,39,45,86.7,5,22,0,3,0
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","Hertha BSC","4-2-2-2",3,1.2,"Ishak Belfodil · 51&rsquor; Marco Richter · 57&rsquor; Marco Richter · 69&rsquor;","0","0","Dortmund","4-2-3-1",2,1.3,"Julian Brandt · 31&rsquor; Steffen Tigges · 83&rsquor;","1","0","https://fbref.com/en/matches/6310e441/Hertha-BSC-Dortmund-December-18-2021-Bundesliga","Hertha BSC","Home","Lucas Tousart",29,"FRA","CM","24-233",19,0,0,0,0,0,0,0,0,13,2,0,1,0,0,0,0,0,2,5,40,0,1,0,0,0
