"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-10-02","Fußball-Bundesliga (Matchweek 7)","Hertha BSC","3-4-3",1,1,"Krzysztof Piątek · 70&rsquor;","3","0","Freiburg","3-4-3",2,0.7,"Philipp Lienhart · 17&rsquor; Nils Petersen · 78&rsquor;","0","0","https://fbref.com/en/matches/e8fc2a86/Hertha-BSC-Freiburg-October-2-2021-Bundesliga","Hertha BSC","Home","Davie Selke",7,"GER","FW","26-255",45,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,5,40,0,2,0,1,0
"Fußball-Bundesliga","2021-10-02","Fußball-Bundesliga (Matchweek 7)","Hertha BSC","3-4-3",1,1,"Krzysztof Piątek · 70&rsquor;","3","0","Freiburg","3-4-3",2,0.7,"Philipp Lienhart · 17&rsquor; Nils Petersen · 78&rsquor;","0","0","https://fbref.com/en/matches/e8fc2a86/Hertha-BSC-Freiburg-October-2-2021-Bundesliga","Hertha BSC","Home","Peter Pekarík",2,"SVK","RB","34-337",45,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1,0,25,28,89.3,3,12,1,0,0
"Fußball-Bundesliga","2021-10-02","Fußball-Bundesliga (Matchweek 7)","Hertha BSC","3-4-3",1,1,"Krzysztof Piątek · 70&rsquor;","3","0","Freiburg","3-4-3",2,0.7,"Philipp Lienhart · 17&rsquor; Nils Petersen · 78&rsquor;","0","0","https://fbref.com/en/matches/e8fc2a86/Hertha-BSC-Freiburg-October-2-2021-Bundesliga","Hertha BSC","Home","Stevan Jovetić",19,"MNE","AM,LW","31-334",63,0,0,0,0,1,1,0,0,23,0,0,0,0.1,0.1,0,2,0,12,18,66.7,2,15,4,0,0
"Fußball-Bundesliga","2021-10-02","Fußball-Bundesliga (Matchweek 7)","Hertha BSC","3-4-3",1,1,"Krzysztof Piątek · 70&rsquor;","3","0","Freiburg","3-4-3",2,0.7,"Philipp Lienhart · 17&rsquor; Nils Petersen · 78&rsquor;","0","0","https://fbref.com/en/matches/e8fc2a86/Hertha-BSC-Freiburg-October-2-2021-Bundesliga","Hertha BSC","Home","Maximilian Mittelstädt",17,"GER","LW","24-198",27,0,1,0,0,1,0,0,0,16,0,0,1,0,0,0.5,2,1,5,11,45.5,2,11,0,0,0
"Fußball-Bundesliga","2021-10-02","Fußball-Bundesliga (Matchweek 7)","Hertha BSC","3-4-3",1,1,"Krzysztof Piątek · 70&rsquor;","3","0","Freiburg","3-4-3",2,0.7,"Philipp Lienhart · 17&rsquor; Nils Petersen · 78&rsquor;","0","0","https://fbref.com/en/matches/e8fc2a86/Hertha-BSC-Freiburg-October-2-2021-Bundesliga","Hertha BSC","Home","Suat Serdar",8,"GER","AM,DM","24-174",90,0,0,0,0,3,0,1,0,33,4,1,0,0.1,0.1,0,4,1,11,16,68.8,3,23,4,10,6
"Fußball-Bundesliga","2021-10-02","Fußball-Bundesliga (Matchweek 7)","Hertha BSC","3-4-3",1,1,"Krzysztof Piątek · 70&rsquor;","3","0","Freiburg","3-4-3",2,0.7,"Philipp Lienhart · 17&rsquor; Nils Petersen · 78&rsquor;","0","0","https://fbref.com/en/matches/e8fc2a86/Hertha-BSC-Freiburg-October-2-2021-Bundesliga","Hertha BSC","Home","Lucas Tousart",29,"FRA","DM,CM","24-156",90,0,0,0,0,0,0,0,0,48,3,0,4,0,0,0,2,0,27,36,75,5,25,0,0,0
"Fußball-Bundesliga","2021-10-02","Fußball-Bundesliga (Matchweek 7)","Hertha BSC","3-4-3",1,1,"Krzysztof Piątek · 70&rsquor;","3","0","Freiburg","3-4-3",2,0.7,"Philipp Lienhart · 17&rsquor; Nils Petersen · 78&rsquor;","0","0","https://fbref.com/en/matches/e8fc2a86/Hertha-BSC-Freiburg-October-2-2021-Bundesliga","Hertha BSC","Home","Kevin-Prince Boateng",27,"GHA","CM,DM","34-210",58,0,0,0,0,0,0,1,0,35,0,1,0,0,0,0,2,0,30,33,90.9,3,22,0,0,0
"Fußball-Bundesliga","2021-10-02","Fußball-Bundesliga (Matchweek 7)","Hertha BSC","3-4-3",1,1,"Krzysztof Piątek · 70&rsquor;","3","0","Freiburg","3-4-3",2,0.7,"Philipp Lienhart · 17&rsquor; Nils Petersen · 78&rsquor;","0","0","https://fbref.com/en/matches/e8fc2a86/Hertha-BSC-Freiburg-October-2-2021-Bundesliga","Hertha BSC","Home","Dennis Jastrzembski",30,"POL","RW","21-224",32,0,0,0,0,0,0,1,0,15,0,1,0,0,0,0.1,1,0,6,12,50,0,9,0,2,1
"Fußball-Bundesliga","2021-10-02","Fußball-Bundesliga (Matchweek 7)","Hertha BSC","3-4-3",1,1,"Krzysztof Piątek · 70&rsquor;","3","0","Freiburg","3-4-3",2,0.7,"Philipp Lienhart · 17&rsquor; Nils Petersen · 78&rsquor;","0","0","https://fbref.com/en/matches/e8fc2a86/Hertha-BSC-Freiburg-October-2-2021-Bundesliga","Hertha BSC","Home","Marvin Plattenhardt",21,"GER","LB,WB","29-249",90,0,0,0,0,1,0,0,0,62,0,1,0,0,0,0.1,3,0,40,54,74.1,5,28,4,1,0
"Fußball-Bundesliga","2021-10-02","Fußball-Bundesliga (Matchweek 7)","Hertha BSC","3-4-3",1,1,"Krzysztof Piątek · 70&rsquor;","3","0","Freiburg","3-4-3",2,0.7,"Philipp Lienhart · 17&rsquor; Nils Petersen · 78&rsquor;","0","0","https://fbref.com/en/matches/e8fc2a86/Hertha-BSC-Freiburg-October-2-2021-Bundesliga","Hertha BSC","Home","Marco Richter",23,"GER","WB,RW","23-312",58,0,0,0,0,1,0,0,0,21,1,1,0,0,0,0,0,0,7,14,50,1,12,0,0,0
