"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Hertha BSC","4-3-3",2,1.6,"Dodi Lukebakio (P) · 34&rsquor; Suat Serdar · 61&rsquor;","2","0","Freiburg","4-2-3-1",2,1,"Daniel Kyereh · 22&rsquor; Kevin Schade · 78&rsquor;","1","0","https://fbref.com/en/matches/7345ac20/Hertha-BSC-Freiburg-October-9-2022-Bundesliga","Hertha BSC","Home","Stevan Jovetić",19,"MNE","FW","32-341",77,0,0,0,0,2,0,0,0,38,0,0,0,0.3,0.3,0.1,2,0,14,29,48.3,2,19,0,1,0
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Hertha BSC","4-3-3",2,1.6,"Dodi Lukebakio (P) · 34&rsquor; Suat Serdar · 61&rsquor;","2","0","Freiburg","4-2-3-1",2,1,"Daniel Kyereh · 22&rsquor; Kevin Schade · 78&rsquor;","1","0","https://fbref.com/en/matches/7345ac20/Hertha-BSC-Freiburg-October-9-2022-Bundesliga","Hertha BSC","Home","Davie Selke",7,"GER","FW","27-262",13,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,3,4,75,1,0,0,0,0
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Hertha BSC","4-3-3",2,1.6,"Dodi Lukebakio (P) · 34&rsquor; Suat Serdar · 61&rsquor;","2","0","Freiburg","4-2-3-1",2,1,"Daniel Kyereh · 22&rsquor; Kevin Schade · 78&rsquor;","1","0","https://fbref.com/en/matches/7345ac20/Hertha-BSC-Freiburg-October-9-2022-Bundesliga","Hertha BSC","Home","Chidera Ejuke",40,"NGA","LW","24-280",57,0,0,0,0,1,0,0,0,18,0,0,0,0.1,0.1,0,1,0,10,13,76.9,1,15,0,6,3
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Hertha BSC","4-3-3",2,1.6,"Dodi Lukebakio (P) · 34&rsquor; Suat Serdar · 61&rsquor;","2","0","Freiburg","4-2-3-1",2,1,"Daniel Kyereh · 22&rsquor; Kevin Schade · 78&rsquor;","1","0","https://fbref.com/en/matches/7345ac20/Hertha-BSC-Freiburg-October-9-2022-Bundesliga","Hertha BSC","Home","Marco Richter",23,"GER","LW","24-319",33,0,1,0,0,3,1,0,0,18,0,0,1,0,0,0.1,1,1,1,8,12.5,0,10,0,2,0
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Hertha BSC","4-3-3",2,1.6,"Dodi Lukebakio (P) · 34&rsquor; Suat Serdar · 61&rsquor;","2","0","Freiburg","4-2-3-1",2,1,"Daniel Kyereh · 22&rsquor; Kevin Schade · 78&rsquor;","1","0","https://fbref.com/en/matches/7345ac20/Hertha-BSC-Freiburg-October-9-2022-Bundesliga","Hertha BSC","Home","Dodi Lukebakio",14,"BEL","RW","25-015",90,1,0,1,1,1,0,0,0,36,3,1,1,0.8,0,0.1,5,1,15,20,75,1,22,4,4,2
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Hertha BSC","4-3-3",2,1.6,"Dodi Lukebakio (P) · 34&rsquor; Suat Serdar · 61&rsquor;","2","0","Freiburg","4-2-3-1",2,1,"Daniel Kyereh · 22&rsquor; Kevin Schade · 78&rsquor;","1","0","https://fbref.com/en/matches/7345ac20/Hertha-BSC-Freiburg-October-9-2022-Bundesliga","Hertha BSC","Home","Suat Serdar",8,"GER","LM","25-181",83,1,0,0,0,1,1,0,0,36,3,0,1,0.1,0.1,0,2,0,15,23,65.2,4,19,3,5,3
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Hertha BSC","4-3-3",2,1.6,"Dodi Lukebakio (P) · 34&rsquor; Suat Serdar · 61&rsquor;","2","0","Freiburg","4-2-3-1",2,1,"Daniel Kyereh · 22&rsquor; Kevin Schade · 78&rsquor;","1","0","https://fbref.com/en/matches/7345ac20/Hertha-BSC-Freiburg-October-9-2022-Bundesliga","Hertha BSC","Home","Kevin-Prince Boateng",27,"GHA","LM","35-217",7,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,2,4,50,0,4,0,0,0
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Hertha BSC","4-3-3",2,1.6,"Dodi Lukebakio (P) · 34&rsquor; Suat Serdar · 61&rsquor;","2","0","Freiburg","4-2-3-1",2,1,"Daniel Kyereh · 22&rsquor; Kevin Schade · 78&rsquor;","1","0","https://fbref.com/en/matches/7345ac20/Hertha-BSC-Freiburg-October-9-2022-Bundesliga","Hertha BSC","Home","Ivan Šunjić",34,"CRO","CM","26-000",90,0,0,0,0,1,0,0,0,46,4,2,0,0.1,0.1,0,2,1,26,37,70.3,2,16,0,0,0
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Hertha BSC","4-3-3",2,1.6,"Dodi Lukebakio (P) · 34&rsquor; Suat Serdar · 61&rsquor;","2","0","Freiburg","4-2-3-1",2,1,"Daniel Kyereh · 22&rsquor; Kevin Schade · 78&rsquor;","1","0","https://fbref.com/en/matches/7345ac20/Hertha-BSC-Freiburg-October-9-2022-Bundesliga","Hertha BSC","Home","Lucas Tousart",29,"FRA","RM","25-163",90,0,0,0,0,1,0,0,0,39,4,1,1,0,0,0,1,0,18,25,72,2,13,1,3,2
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Hertha BSC","4-3-3",2,1.6,"Dodi Lukebakio (P) · 34&rsquor; Suat Serdar · 61&rsquor;","2","0","Freiburg","4-2-3-1",2,1,"Daniel Kyereh · 22&rsquor; Kevin Schade · 78&rsquor;","1","0","https://fbref.com/en/matches/7345ac20/Hertha-BSC-Freiburg-October-9-2022-Bundesliga","Hertha BSC","Home","Marvin Plattenhardt",21,"GER","LB","30-256",90,0,0,0,0,0,0,0,0,47,3,0,3,0,0,0.4,6,0,24,38,63.2,5,11,2,0,0
