"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Hertha BSC","4-4-1-1",1,NA,"Arne Friedrich · 9&rsquor;","2","0","Hamburger SV","4-4-2",3,NA,"Kaká (OG) · 24&rsquor; David Jarolím · 38&rsquor; Zé Roberto · 40&rsquor;","0","0","https://fbref.com/en/matches/ee88b840/Hertha-BSC-Hamburger-SV-October-4-2009-Bundesliga","Hertha BSC","Home","Adrián Ramos",NA,"COL","FW","23-255",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Hertha BSC","4-4-1-1",1,NA,"Arne Friedrich · 9&rsquor;","2","0","Hamburger SV","4-4-2",3,NA,"Kaká (OG) · 24&rsquor; David Jarolím · 38&rsquor; Zé Roberto · 40&rsquor;","0","0","https://fbref.com/en/matches/ee88b840/Hertha-BSC-Hamburger-SV-October-4-2009-Bundesliga","Hertha BSC","Home","Raffael",NA,"BRA","FW,MF","24-190",69,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Hertha BSC","4-4-1-1",1,NA,"Arne Friedrich · 9&rsquor;","2","0","Hamburger SV","4-4-2",3,NA,"Kaká (OG) · 24&rsquor; David Jarolím · 38&rsquor; Zé Roberto · 40&rsquor;","0","0","https://fbref.com/en/matches/ee88b840/Hertha-BSC-Hamburger-SV-October-4-2009-Bundesliga","Hertha BSC","Home","Valeri Domovchiyski",NA,"BUL","FW","22-364",21,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Hertha BSC","4-4-1-1",1,NA,"Arne Friedrich · 9&rsquor;","2","0","Hamburger SV","4-4-2",3,NA,"Kaká (OG) · 24&rsquor; David Jarolím · 38&rsquor; Zé Roberto · 40&rsquor;","0","0","https://fbref.com/en/matches/ee88b840/Hertha-BSC-Hamburger-SV-October-4-2009-Bundesliga","Hertha BSC","Home","Maximilian Nicu",NA,"ROU","DF,MF","26-313",54,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Hertha BSC","4-4-1-1",1,NA,"Arne Friedrich · 9&rsquor;","2","0","Hamburger SV","4-4-2",3,NA,"Kaká (OG) · 24&rsquor; David Jarolím · 38&rsquor; Zé Roberto · 40&rsquor;","0","0","https://fbref.com/en/matches/ee88b840/Hertha-BSC-Hamburger-SV-October-4-2009-Bundesliga","Hertha BSC","Home","César",NA,"BRA","MF","30-082",36,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Hertha BSC","4-4-1-1",1,NA,"Arne Friedrich · 9&rsquor;","2","0","Hamburger SV","4-4-2",3,NA,"Kaká (OG) · 24&rsquor; David Jarolím · 38&rsquor; Zé Roberto · 40&rsquor;","0","0","https://fbref.com/en/matches/ee88b840/Hertha-BSC-Hamburger-SV-October-4-2009-Bundesliga","Hertha BSC","Home","Gojko Kačar",NA,"SRB","DF,MF","22-251",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Hertha BSC","4-4-1-1",1,NA,"Arne Friedrich · 9&rsquor;","2","0","Hamburger SV","4-4-2",3,NA,"Kaká (OG) · 24&rsquor; David Jarolím · 38&rsquor; Zé Roberto · 40&rsquor;","0","0","https://fbref.com/en/matches/ee88b840/Hertha-BSC-Hamburger-SV-October-4-2009-Bundesliga","Hertha BSC","Home","Pál Dárdai",NA,"HUN","MF","33-202",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Hertha BSC","4-4-1-1",1,NA,"Arne Friedrich · 9&rsquor;","2","0","Hamburger SV","4-4-2",3,NA,"Kaká (OG) · 24&rsquor; David Jarolím · 38&rsquor; Zé Roberto · 40&rsquor;","0","0","https://fbref.com/en/matches/ee88b840/Hertha-BSC-Hamburger-SV-October-4-2009-Bundesliga","Hertha BSC","Home","Patrick Ebert",NA,"GER","FW,MF","22-201",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Hertha BSC","4-4-1-1",1,NA,"Arne Friedrich · 9&rsquor;","2","0","Hamburger SV","4-4-2",3,NA,"Kaká (OG) · 24&rsquor; David Jarolím · 38&rsquor; Zé Roberto · 40&rsquor;","0","0","https://fbref.com/en/matches/ee88b840/Hertha-BSC-Hamburger-SV-October-4-2009-Bundesliga","Hertha BSC","Home","Nemanja Pejčinović",NA,"SRB","DF","21-334",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Hertha BSC","4-4-1-1",1,NA,"Arne Friedrich · 9&rsquor;","2","0","Hamburger SV","4-4-2",3,NA,"Kaká (OG) · 24&rsquor; David Jarolím · 38&rsquor; Zé Roberto · 40&rsquor;","0","0","https://fbref.com/en/matches/ee88b840/Hertha-BSC-Hamburger-SV-October-4-2009-Bundesliga","Hertha BSC","Home","Steve von Bergen",NA,"SUI","DF","26-116",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
