"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-01-09","Fußball-Bundesliga (Matchweek 18)","Hertha BSC","4-2-2-2",1,1.2,"Vladimír Darida · 57&rsquor;","3","0","Köln","4-1-3-2",3,1.2,"Anthony Modeste · 29&rsquor; Ondrej Duda · 32&rsquor; Jan Thielmann · 90+1&rsquor;","1","0","https://fbref.com/en/matches/7cc5c3df/Hertha-BSC-Koln-January-9-2022-Bundesliga","Hertha BSC","Home","Myziane Maolida",11,"FRA","FW","22-329",68,0,0,0,0,2,1,0,0,22,0,0,0,0.6,0.6,0,1,1,13,18,72.2,0,13,5,1,0
"Fußball-Bundesliga","2022-01-09","Fußball-Bundesliga (Matchweek 18)","Hertha BSC","4-2-2-2",1,1.2,"Vladimír Darida · 57&rsquor;","3","0","Köln","4-1-3-2",3,1.2,"Anthony Modeste · 29&rsquor; Ondrej Duda · 32&rsquor; Jan Thielmann · 90+1&rsquor;","1","0","https://fbref.com/en/matches/7cc5c3df/Hertha-BSC-Koln-January-9-2022-Bundesliga","Hertha BSC","Home","Kevin-Prince Boateng",27,"GHA","FW","34-309",22,0,0,0,0,3,2,1,0,12,0,0,0,0.1,0.1,0.1,3,0,5,8,62.5,1,7,0,0,0
"Fußball-Bundesliga","2022-01-09","Fußball-Bundesliga (Matchweek 18)","Hertha BSC","4-2-2-2",1,1.2,"Vladimír Darida · 57&rsquor;","3","0","Köln","4-1-3-2",3,1.2,"Anthony Modeste · 29&rsquor; Ondrej Duda · 32&rsquor; Jan Thielmann · 90+1&rsquor;","1","0","https://fbref.com/en/matches/7cc5c3df/Hertha-BSC-Koln-January-9-2022-Bundesliga","Hertha BSC","Home","Davie Selke",7,"GER","FW","26-354",68,0,0,0,0,1,0,0,0,22,0,0,1,0.2,0.2,0,1,0,10,17,58.8,1,8,1,1,1
"Fußball-Bundesliga","2022-01-09","Fußball-Bundesliga (Matchweek 18)","Hertha BSC","4-2-2-2",1,1.2,"Vladimír Darida · 57&rsquor;","3","0","Köln","4-1-3-2",3,1.2,"Anthony Modeste · 29&rsquor; Ondrej Duda · 32&rsquor; Jan Thielmann · 90+1&rsquor;","1","0","https://fbref.com/en/matches/7cc5c3df/Hertha-BSC-Koln-January-9-2022-Bundesliga","Hertha BSC","Home","Jurgen Ekkelenkamp",10,"NED","FW","21-279",22,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,8,62.5,0,5,0,0,0
"Fußball-Bundesliga","2022-01-09","Fußball-Bundesliga (Matchweek 18)","Hertha BSC","4-2-2-2",1,1.2,"Vladimír Darida · 57&rsquor;","3","0","Köln","4-1-3-2",3,1.2,"Anthony Modeste · 29&rsquor; Ondrej Duda · 32&rsquor; Jan Thielmann · 90+1&rsquor;","1","0","https://fbref.com/en/matches/7cc5c3df/Hertha-BSC-Koln-January-9-2022-Bundesliga","Hertha BSC","Home","Suat Serdar",8,"GER","AM","24-273",90,0,0,0,0,0,0,1,0,41,3,1,0,0,0,0,2,0,22,33,66.7,5,35,0,5,5
"Fußball-Bundesliga","2022-01-09","Fußball-Bundesliga (Matchweek 18)","Hertha BSC","4-2-2-2",1,1.2,"Vladimír Darida · 57&rsquor;","3","0","Köln","4-1-3-2",3,1.2,"Anthony Modeste · 29&rsquor; Ondrej Duda · 32&rsquor; Jan Thielmann · 90+1&rsquor;","1","0","https://fbref.com/en/matches/7cc5c3df/Hertha-BSC-Koln-January-9-2022-Bundesliga","Hertha BSC","Home","Marco Richter",23,"GER","AM","24-046",90,0,0,0,0,1,0,0,0,55,1,1,3,0.1,0.1,0.1,2,0,24,42,57.1,2,28,0,3,1
"Fußball-Bundesliga","2022-01-09","Fußball-Bundesliga (Matchweek 18)","Hertha BSC","4-2-2-2",1,1.2,"Vladimír Darida · 57&rsquor;","3","0","Köln","4-1-3-2",3,1.2,"Anthony Modeste · 29&rsquor; Ondrej Duda · 32&rsquor; Jan Thielmann · 90+1&rsquor;","1","0","https://fbref.com/en/matches/7cc5c3df/Hertha-BSC-Koln-January-9-2022-Bundesliga","Hertha BSC","Home","Santiago Ascacíbar",18,"ARG","DM","24-318",80,0,0,0,0,0,0,0,0,51,2,2,0,0,0,0,1,0,34,40,85,4,25,0,2,0
"Fußball-Bundesliga","2022-01-09","Fußball-Bundesliga (Matchweek 18)","Hertha BSC","4-2-2-2",1,1.2,"Vladimír Darida · 57&rsquor;","3","0","Köln","4-1-3-2",3,1.2,"Anthony Modeste · 29&rsquor; Ondrej Duda · 32&rsquor; Jan Thielmann · 90+1&rsquor;","1","0","https://fbref.com/en/matches/7cc5c3df/Hertha-BSC-Koln-January-9-2022-Bundesliga","Hertha BSC","Home","Lucas Tousart",29,"FRA","DM","24-255",10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,6,100,0,6,0,0,0
"Fußball-Bundesliga","2022-01-09","Fußball-Bundesliga (Matchweek 18)","Hertha BSC","4-2-2-2",1,1.2,"Vladimír Darida · 57&rsquor;","3","0","Köln","4-1-3-2",3,1.2,"Anthony Modeste · 29&rsquor; Ondrej Duda · 32&rsquor; Jan Thielmann · 90+1&rsquor;","1","0","https://fbref.com/en/matches/7cc5c3df/Hertha-BSC-Koln-January-9-2022-Bundesliga","Hertha BSC","Home","Vladimír Darida",6,"CZE","DM","31-154",90,1,0,0,0,1,1,0,0,75,2,1,0,0,0,0.5,2,0,50,67,74.6,5,46,1,4,3
"Fußball-Bundesliga","2022-01-09","Fußball-Bundesliga (Matchweek 18)","Hertha BSC","4-2-2-2",1,1.2,"Vladimír Darida · 57&rsquor;","3","0","Köln","4-1-3-2",3,1.2,"Anthony Modeste · 29&rsquor; Ondrej Duda · 32&rsquor; Jan Thielmann · 90+1&rsquor;","1","0","https://fbref.com/en/matches/7cc5c3df/Hertha-BSC-Koln-January-9-2022-Bundesliga","Hertha BSC","Home","Maximilian Mittelstädt",17,"GER","LB","24-297",90,0,0,0,0,0,0,0,0,94,4,2,3,0,0,0.3,5,1,59,76,77.6,7,42,3,6,5
