"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hertha BSC","4-1-2-1-2",0,NA,"","4","0","Köln","4-4-2",1,NA,"Milivoje Novaković · 79&rsquor;","4","0","https://fbref.com/en/matches/d9e78843/Hertha-BSC-Koln-November-8-2009-Bundesliga","Hertha BSC","Home","Valeri Domovchiyski",NA,"BUL","FW","23-034",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hertha BSC","4-1-2-1-2",0,NA,"","4","0","Köln","4-4-2",1,NA,"Milivoje Novaković · 79&rsquor;","4","0","https://fbref.com/en/matches/d9e78843/Hertha-BSC-Koln-November-8-2009-Bundesliga","Hertha BSC","Home","Artur Wichniarek",NA,"POL","FW","32-253",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hertha BSC","4-1-2-1-2",0,NA,"","4","0","Köln","4-4-2",1,NA,"Milivoje Novaković · 79&rsquor;","4","0","https://fbref.com/en/matches/d9e78843/Hertha-BSC-Koln-November-8-2009-Bundesliga","Hertha BSC","Home","Raffael",NA,"BRA","FW,MF","24-225",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hertha BSC","4-1-2-1-2",0,NA,"","4","0","Köln","4-4-2",1,NA,"Milivoje Novaković · 79&rsquor;","4","0","https://fbref.com/en/matches/d9e78843/Hertha-BSC-Koln-November-8-2009-Bundesliga","Hertha BSC","Home","Maximilian Nicu",NA,"ROU","DF,MF","26-348",73,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hertha BSC","4-1-2-1-2",0,NA,"","4","0","Köln","4-4-2",1,NA,"Milivoje Novaković · 79&rsquor;","4","0","https://fbref.com/en/matches/d9e78843/Hertha-BSC-Koln-November-8-2009-Bundesliga","Hertha BSC","Home","Cícero Santos",NA,"BRA","MF","25-074",17,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hertha BSC","4-1-2-1-2",0,NA,"","4","0","Köln","4-4-2",1,NA,"Milivoje Novaković · 79&rsquor;","4","0","https://fbref.com/en/matches/d9e78843/Hertha-BSC-Koln-November-8-2009-Bundesliga","Hertha BSC","Home","Łukasz Piszczek",NA,"POL","DF,MF","24-158",82,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hertha BSC","4-1-2-1-2",0,NA,"","4","0","Köln","4-4-2",1,NA,"Milivoje Novaković · 79&rsquor;","4","0","https://fbref.com/en/matches/d9e78843/Hertha-BSC-Koln-November-8-2009-Bundesliga","Hertha BSC","Home","Gojko Kačar",NA,"SRB","DF,MF","22-286",8,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hertha BSC","4-1-2-1-2",0,NA,"","4","0","Köln","4-4-2",1,NA,"Milivoje Novaković · 79&rsquor;","4","0","https://fbref.com/en/matches/d9e78843/Hertha-BSC-Koln-November-8-2009-Bundesliga","Hertha BSC","Home","Fabian Lustenberger",NA,"SUI","DF,MF","21-190",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hertha BSC","4-1-2-1-2",0,NA,"","4","0","Köln","4-4-2",1,NA,"Milivoje Novaković · 79&rsquor;","4","0","https://fbref.com/en/matches/d9e78843/Hertha-BSC-Koln-November-8-2009-Bundesliga","Hertha BSC","Home","Nemanja Pejčinović",NA,"SRB","DF","22-004",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hertha BSC","4-1-2-1-2",0,NA,"","4","0","Köln","4-4-2",1,NA,"Milivoje Novaković · 79&rsquor;","4","0","https://fbref.com/en/matches/d9e78843/Hertha-BSC-Koln-November-8-2009-Bundesliga","Hertha BSC","Home","Steve von Bergen",NA,"SUI","DF","26-151",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hertha BSC","4-1-2-1-2",0,NA,"","4","0","Köln","4-4-2",1,NA,"Milivoje Novaković · 79&rsquor;","4","0","https://fbref.com/en/matches/d9e78843/Hertha-BSC-Koln-November-8-2009-Bundesliga","Hertha BSC","Home","Arne Friedrich",NA,"GER","DF","30-163",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hertha BSC","4-1-2-1-2",0,NA,"","4","0","Köln","4-4-2",1,NA,"Milivoje Novaković · 79&rsquor;","4","0","https://fbref.com/en/matches/d9e78843/Hertha-BSC-Koln-November-8-2009-Bundesliga","Hertha BSC","Home","Marc Stein",NA,"GER","DF,MF","24-124",66,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hertha BSC","4-1-2-1-2",0,NA,"","4","0","Köln","4-4-2",1,NA,"Milivoje Novaković · 79&rsquor;","4","0","https://fbref.com/en/matches/d9e78843/Hertha-BSC-Koln-November-8-2009-Bundesliga","Hertha BSC","Home","Patrick Ebert",NA,"GER","FW,MF","22-236",24,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hertha BSC","4-1-2-1-2",0,NA,"","4","0","Köln","4-4-2",1,NA,"Milivoje Novaković · 79&rsquor;","4","0","https://fbref.com/en/matches/d9e78843/Hertha-BSC-Koln-November-8-2009-Bundesliga","Hertha BSC","Home","Jaroslav Drobný",NA,"CZE","GK","30-021",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hertha BSC","4-1-2-1-2",0,NA,"","4","0","Köln","4-4-2",1,NA,"Milivoje Novaković · 79&rsquor;","4","0","https://fbref.com/en/matches/d9e78843/Hertha-BSC-Koln-November-8-2009-Bundesliga","Köln","Away","Lukas Podolski",NA,"GER","FW,MF","24-157",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hertha BSC","4-1-2-1-2",0,NA,"","4","0","Köln","4-4-2",1,NA,"Milivoje Novaković · 79&rsquor;","4","0","https://fbref.com/en/matches/d9e78843/Hertha-BSC-Koln-November-8-2009-Bundesliga","Köln","Away","Milivoje Novaković",NA,"SVN","FW","30-174",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hertha BSC","4-1-2-1-2",0,NA,"","4","0","Köln","4-4-2",1,NA,"Milivoje Novaković · 79&rsquor;","4","0","https://fbref.com/en/matches/d9e78843/Hertha-BSC-Koln-November-8-2009-Bundesliga","Köln","Away","Fabrice Ehret",NA,"FRA","DF,MF","30-041",82,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Hertha BSC","4-1-2-1-2",0,NA,"","4","0","Köln","4-4-2",1,NA,"Milivoje Novaković · 79&rsquor;","4","0","https://fbref.com/en/matches/d9e78843/Hertha-BSC-Koln-November-8-2009-Bundesliga","Köln","Away","Kevin McKenna",NA,"CAN","DF,FW","29-291",8,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
