"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hertha BSC","4-1-2-1-2",1,NA,"Adrián Ramos · 51&rsquor;","0","0","Mainz 05","4-4-2",1,NA,"Aristide Bancé · 37&rsquor;","0","0","https://fbref.com/en/matches/2f5dd7e2/Hertha-BSC-Mainz-05-February-13-2010-Bundesliga","Hertha BSC","Home","Theofanis Gekas",NA,"GRE","FW","29-266",72,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hertha BSC","4-1-2-1-2",1,NA,"Adrián Ramos · 51&rsquor;","0","0","Mainz 05","4-4-2",1,NA,"Aristide Bancé · 37&rsquor;","0","0","https://fbref.com/en/matches/2f5dd7e2/Hertha-BSC-Mainz-05-February-13-2010-Bundesliga","Hertha BSC","Home","Valeri Domovchiyski",NA,"BUL","FW","23-131",18,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hertha BSC","4-1-2-1-2",1,NA,"Adrián Ramos · 51&rsquor;","0","0","Mainz 05","4-4-2",1,NA,"Aristide Bancé · 37&rsquor;","0","0","https://fbref.com/en/matches/2f5dd7e2/Hertha-BSC-Mainz-05-February-13-2010-Bundesliga","Hertha BSC","Home","Adrián Ramos",NA,"COL","FW","24-022",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hertha BSC","4-1-2-1-2",1,NA,"Adrián Ramos · 51&rsquor;","0","0","Mainz 05","4-4-2",1,NA,"Aristide Bancé · 37&rsquor;","0","0","https://fbref.com/en/matches/2f5dd7e2/Hertha-BSC-Mainz-05-February-13-2010-Bundesliga","Hertha BSC","Home","Raffael",NA,"BRA","FW,MF","24-322",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hertha BSC","4-1-2-1-2",1,NA,"Adrián Ramos · 51&rsquor;","0","0","Mainz 05","4-4-2",1,NA,"Aristide Bancé · 37&rsquor;","0","0","https://fbref.com/en/matches/2f5dd7e2/Hertha-BSC-Mainz-05-February-13-2010-Bundesliga","Hertha BSC","Home","Florian Kringe",NA,"GER","DF,MF","27-179",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hertha BSC","4-1-2-1-2",1,NA,"Adrián Ramos · 51&rsquor;","0","0","Mainz 05","4-4-2",1,NA,"Aristide Bancé · 37&rsquor;","0","0","https://fbref.com/en/matches/2f5dd7e2/Hertha-BSC-Mainz-05-February-13-2010-Bundesliga","Hertha BSC","Home","Łukasz Piszczek",NA,"POL","DF,MF","24-255",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hertha BSC","4-1-2-1-2",1,NA,"Adrián Ramos · 51&rsquor;","0","0","Mainz 05","4-4-2",1,NA,"Aristide Bancé · 37&rsquor;","0","0","https://fbref.com/en/matches/2f5dd7e2/Hertha-BSC-Mainz-05-February-13-2010-Bundesliga","Hertha BSC","Home","Fabian Lustenberger",NA,"SUI","DF,MF","21-287",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hertha BSC","4-1-2-1-2",1,NA,"Adrián Ramos · 51&rsquor;","0","0","Mainz 05","4-4-2",1,NA,"Aristide Bancé · 37&rsquor;","0","0","https://fbref.com/en/matches/2f5dd7e2/Hertha-BSC-Mainz-05-February-13-2010-Bundesliga","Hertha BSC","Home","Levan Kobiashvili",NA,"GEO","DF,MF","32-218",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hertha BSC","4-1-2-1-2",1,NA,"Adrián Ramos · 51&rsquor;","0","0","Mainz 05","4-4-2",1,NA,"Aristide Bancé · 37&rsquor;","0","0","https://fbref.com/en/matches/2f5dd7e2/Hertha-BSC-Mainz-05-February-13-2010-Bundesliga","Hertha BSC","Home","Roman Hubník",NA,"CZE","DF","25-252",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hertha BSC","4-1-2-1-2",1,NA,"Adrián Ramos · 51&rsquor;","0","0","Mainz 05","4-4-2",1,NA,"Aristide Bancé · 37&rsquor;","0","0","https://fbref.com/en/matches/2f5dd7e2/Hertha-BSC-Mainz-05-February-13-2010-Bundesliga","Hertha BSC","Home","Arne Friedrich",NA,"GER","DF","30-260",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hertha BSC","4-1-2-1-2",1,NA,"Adrián Ramos · 51&rsquor;","0","0","Mainz 05","4-4-2",1,NA,"Aristide Bancé · 37&rsquor;","0","0","https://fbref.com/en/matches/2f5dd7e2/Hertha-BSC-Mainz-05-February-13-2010-Bundesliga","Hertha BSC","Home","Christoph Janker",NA,"GER","DF","24-364",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Hertha BSC","4-1-2-1-2",1,NA,"Adrián Ramos · 51&rsquor;","0","0","Mainz 05","4-4-2",1,NA,"Aristide Bancé · 37&rsquor;","0","0","https://fbref.com/en/matches/2f5dd7e2/Hertha-BSC-Mainz-05-February-13-2010-Bundesliga","Hertha BSC","Home","Cícero Santos",NA,"BRA","MF","25-171",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
