"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-04-08","Fußball-Bundesliga (Matchweek 27)","Hertha BSC","3-5-2",0,0.5,"","4","0","RB Leipzig","3-4-3",1,2,"Amadou Haidara · 39&rsquor;","3","0","https://fbref.com/en/matches/6061bd97/Hertha-BSC-RB-Leipzig-April-8-2023-Bundesliga","Hertha BSC","Home","Wilfried Kanga",18,"CIV","FW","25-046",73,0,0,0,0,0,0,1,0,16,0,2,0,0,0,0,0,0,4,11,36.4,1,4,1,3,1
"Fußball-Bundesliga","2023-04-08","Fußball-Bundesliga (Matchweek 27)","Hertha BSC","3-5-2",0,0.5,"","4","0","RB Leipzig","3-4-3",1,2,"Amadou Haidara · 39&rsquor;","3","0","https://fbref.com/en/matches/6061bd97/Hertha-BSC-RB-Leipzig-April-8-2023-Bundesliga","Hertha BSC","Home","Stevan Jovetić",19,"MNE","AM","33-157",17,0,0,0,0,1,0,0,0,10,0,0,0,0.1,0.1,0,1,0,6,7,85.7,0,5,0,0,0
"Fußball-Bundesliga","2023-04-08","Fußball-Bundesliga (Matchweek 27)","Hertha BSC","3-5-2",0,0.5,"","4","0","RB Leipzig","3-4-3",1,2,"Amadou Haidara · 39&rsquor;","3","0","https://fbref.com/en/matches/6061bd97/Hertha-BSC-RB-Leipzig-April-8-2023-Bundesliga","Hertha BSC","Home","Dodi Lukebakio",14,"BEL","FW,LW","25-196",90,0,0,0,0,0,0,1,0,25,0,0,1,0,0,0.1,4,0,12,14,85.7,2,14,2,2,0
"Fußball-Bundesliga","2023-04-08","Fußball-Bundesliga (Matchweek 27)","Hertha BSC","3-5-2",0,0.5,"","4","0","RB Leipzig","3-4-3",1,2,"Amadou Haidara · 39&rsquor;","3","0","https://fbref.com/en/matches/6061bd97/Hertha-BSC-RB-Leipzig-April-8-2023-Bundesliga","Hertha BSC","Home","Kevin-Prince Boateng",27,"GHA","CM","36-033",61,0,0,0,0,1,0,1,0,22,0,0,1,0.1,0.1,0,1,0,8,15,53.3,0,9,0,1,0
"Fußball-Bundesliga","2023-04-08","Fußball-Bundesliga (Matchweek 27)","Hertha BSC","3-5-2",0,0.5,"","4","0","RB Leipzig","3-4-3",1,2,"Amadou Haidara · 39&rsquor;","3","0","https://fbref.com/en/matches/6061bd97/Hertha-BSC-RB-Leipzig-April-8-2023-Bundesliga","Hertha BSC","Home","Jessic Ngankam",24,"GER","RW,CM","22-262",29,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,1,100,0,3,0,3,2
"Fußball-Bundesliga","2023-04-08","Fußball-Bundesliga (Matchweek 27)","Hertha BSC","3-5-2",0,0.5,"","4","0","RB Leipzig","3-4-3",1,2,"Amadou Haidara · 39&rsquor;","3","0","https://fbref.com/en/matches/6061bd97/Hertha-BSC-RB-Leipzig-April-8-2023-Bundesliga","Hertha BSC","Home","Tolga Ciğerci",6,"TUR","CM","31-016",61,0,0,0,0,2,0,0,0,45,3,1,1,0,0,0,0,0,18,33,54.5,3,12,0,1,0
"Fußball-Bundesliga","2023-04-08","Fußball-Bundesliga (Matchweek 27)","Hertha BSC","3-5-2",0,0.5,"","4","0","RB Leipzig","3-4-3",1,2,"Amadou Haidara · 39&rsquor;","3","0","https://fbref.com/en/matches/6061bd97/Hertha-BSC-RB-Leipzig-April-8-2023-Bundesliga","Hertha BSC","Home","Suat Serdar",8,"GER","DM,CM","25-362",29,0,0,0,0,1,1,0,0,13,2,0,1,0.1,0.1,0,1,0,6,9,66.7,0,7,1,0,0
"Fußball-Bundesliga","2023-04-08","Fußball-Bundesliga (Matchweek 27)","Hertha BSC","3-5-2",0,0.5,"","4","0","RB Leipzig","3-4-3",1,2,"Amadou Haidara · 39&rsquor;","3","0","https://fbref.com/en/matches/6061bd97/Hertha-BSC-RB-Leipzig-April-8-2023-Bundesliga","Hertha BSC","Home","Lucas Tousart",29,"FRA","CM,DM","25-344",90,0,0,0,0,1,0,0,0,51,3,2,5,0.1,0.1,0.1,1,0,14,29,48.3,2,19,1,3,1
"Fußball-Bundesliga","2023-04-08","Fußball-Bundesliga (Matchweek 27)","Hertha BSC","3-5-2",0,0.5,"","4","0","RB Leipzig","3-4-3",1,2,"Amadou Haidara · 39&rsquor;","3","0","https://fbref.com/en/matches/6061bd97/Hertha-BSC-RB-Leipzig-April-8-2023-Bundesliga","Hertha BSC","Home","Marvin Plattenhardt",21,"GER","WB,LB","31-072",90,0,0,0,0,1,0,0,0,49,2,0,0,0,0,0.1,5,0,23,41,56.1,2,9,1,0,0
"Fußball-Bundesliga","2023-04-08","Fußball-Bundesliga (Matchweek 27)","Hertha BSC","3-5-2",0,0.5,"","4","0","RB Leipzig","3-4-3",1,2,"Amadou Haidara · 39&rsquor;","3","0","https://fbref.com/en/matches/6061bd97/Hertha-BSC-RB-Leipzig-April-8-2023-Bundesliga","Hertha BSC","Home","Jonjoe Kenny",16,"ENG","WB","26-024",61,0,0,0,0,0,0,0,0,41,1,1,1,0,0,0,1,0,24,32,75,3,9,1,2,2
