"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Hertha BSC","4-1-2-1-2",0,NA,"","2","0","Schalke 04","4-3-3",1,NA,"Heiko Westermann · 87&rsquor;","1","0","https://fbref.com/en/matches/5d3bc134/Hertha-BSC-Schalke-04-April-24-2010-Bundesliga","Hertha BSC","Home","Adrián Ramos",NA,"COL","FW","24-092",83,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Hertha BSC","4-1-2-1-2",0,NA,"","2","0","Schalke 04","4-3-3",1,NA,"Heiko Westermann · 87&rsquor;","1","0","https://fbref.com/en/matches/5d3bc134/Hertha-BSC-Schalke-04-April-24-2010-Bundesliga","Hertha BSC","Home","Valeri Domovchiyski",NA,"BUL","FW","23-201",7,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Hertha BSC","4-1-2-1-2",0,NA,"","2","0","Schalke 04","4-3-3",1,NA,"Heiko Westermann · 87&rsquor;","1","0","https://fbref.com/en/matches/5d3bc134/Hertha-BSC-Schalke-04-April-24-2010-Bundesliga","Hertha BSC","Home","Theofanis Gekas",NA,"GRE","FW","29-336",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Hertha BSC","4-1-2-1-2",0,NA,"","2","0","Schalke 04","4-3-3",1,NA,"Heiko Westermann · 87&rsquor;","1","0","https://fbref.com/en/matches/5d3bc134/Hertha-BSC-Schalke-04-April-24-2010-Bundesliga","Hertha BSC","Home","Raffael",NA,"BRA","FW,MF","25-027",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Hertha BSC","4-1-2-1-2",0,NA,"","2","0","Schalke 04","4-3-3",1,NA,"Heiko Westermann · 87&rsquor;","1","0","https://fbref.com/en/matches/5d3bc134/Hertha-BSC-Schalke-04-April-24-2010-Bundesliga","Hertha BSC","Home","Cícero Santos",NA,"BRA","MF","25-241",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Hertha BSC","4-1-2-1-2",0,NA,"","2","0","Schalke 04","4-3-3",1,NA,"Heiko Westermann · 87&rsquor;","1","0","https://fbref.com/en/matches/5d3bc134/Hertha-BSC-Schalke-04-April-24-2010-Bundesliga","Hertha BSC","Home","Gojko Kačar",NA,"SRB","DF,MF","23-088",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Hertha BSC","4-1-2-1-2",0,NA,"","2","0","Schalke 04","4-3-3",1,NA,"Heiko Westermann · 87&rsquor;","1","0","https://fbref.com/en/matches/5d3bc134/Hertha-BSC-Schalke-04-April-24-2010-Bundesliga","Hertha BSC","Home","Fabian Lustenberger",NA,"SUI","DF,MF","21-357",76,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Hertha BSC","4-1-2-1-2",0,NA,"","2","0","Schalke 04","4-3-3",1,NA,"Heiko Westermann · 87&rsquor;","1","0","https://fbref.com/en/matches/5d3bc134/Hertha-BSC-Schalke-04-April-24-2010-Bundesliga","Hertha BSC","Home","Pál Dárdai",NA,"HUN","MF","34-039",14,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Hertha BSC","4-1-2-1-2",0,NA,"","2","0","Schalke 04","4-3-3",1,NA,"Heiko Westermann · 87&rsquor;","1","0","https://fbref.com/en/matches/5d3bc134/Hertha-BSC-Schalke-04-April-24-2010-Bundesliga","Hertha BSC","Home","Levan Kobiashvili",NA,"GEO","DF,MF","32-288",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Hertha BSC","4-1-2-1-2",0,NA,"","2","0","Schalke 04","4-3-3",1,NA,"Heiko Westermann · 87&rsquor;","1","0","https://fbref.com/en/matches/5d3bc134/Hertha-BSC-Schalke-04-April-24-2010-Bundesliga","Hertha BSC","Home","Steve von Bergen",NA,"SUI","DF","26-318",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Hertha BSC","4-1-2-1-2",0,NA,"","2","0","Schalke 04","4-3-3",1,NA,"Heiko Westermann · 87&rsquor;","1","0","https://fbref.com/en/matches/5d3bc134/Hertha-BSC-Schalke-04-April-24-2010-Bundesliga","Hertha BSC","Home","Arne Friedrich",NA,"GER","DF","30-330",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Hertha BSC","4-1-2-1-2",0,NA,"","2","0","Schalke 04","4-3-3",1,NA,"Heiko Westermann · 87&rsquor;","1","0","https://fbref.com/en/matches/5d3bc134/Hertha-BSC-Schalke-04-April-24-2010-Bundesliga","Hertha BSC","Home","Łukasz Piszczek",NA,"POL","DF,MF","24-325",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
