"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-04-24","Fußball-Bundesliga (Matchweek 31)","Hertha BSC","4-2-3-1",2,1.4,"Davie Selke · 4&rsquor; Ishak Belfodil · 90+3&rsquor;","1","0","Stuttgart","4-3-3",0,0.6,"","1","0","https://fbref.com/en/matches/62595894/Hertha-BSC-Stuttgart-April-24-2022-Bundesliga","Hertha BSC","Home","Davie Selke",7,"GER","FW","27-094",78,1,0,0,0,1,1,0,0,38,0,0,2,0.4,0.4,0,0,0,12,27,44.4,1,20,3,0,0
"Fußball-Bundesliga","2022-04-24","Fußball-Bundesliga (Matchweek 31)","Hertha BSC","4-2-3-1",2,1.4,"Davie Selke · 4&rsquor; Ishak Belfodil · 90+3&rsquor;","1","0","Stuttgart","4-3-3",0,0.6,"","1","0","https://fbref.com/en/matches/62595894/Hertha-BSC-Stuttgart-April-24-2022-Bundesliga","Hertha BSC","Home","Jurgen Ekkelenkamp",10,"NED","FW","22-019",12,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,1,0,4,6,66.7,0,7,0,0,0
"Fußball-Bundesliga","2022-04-24","Fußball-Bundesliga (Matchweek 31)","Hertha BSC","4-2-3-1",2,1.4,"Davie Selke · 4&rsquor; Ishak Belfodil · 90+3&rsquor;","1","0","Stuttgart","4-3-3",0,0.6,"","1","0","https://fbref.com/en/matches/62595894/Hertha-BSC-Stuttgart-April-24-2022-Bundesliga","Hertha BSC","Home","Suat Serdar",8,"GER","LW","25-013",63,0,0,0,0,0,0,0,0,32,6,0,1,0,0,0,0,0,14,20,70,1,18,0,2,1
"Fußball-Bundesliga","2022-04-24","Fußball-Bundesliga (Matchweek 31)","Hertha BSC","4-2-3-1",2,1.4,"Davie Selke · 4&rsquor; Ishak Belfodil · 90+3&rsquor;","1","0","Stuttgart","4-3-3",0,0.6,"","1","0","https://fbref.com/en/matches/62595894/Hertha-BSC-Stuttgart-April-24-2022-Bundesliga","Hertha BSC","Home","Maximilian Mittelstädt",17,"GER","LW","25-037",27,0,1,0,0,1,0,0,0,9,1,0,0,0,0,0.1,1,1,3,6,50,0,8,2,1,0
"Fußball-Bundesliga","2022-04-24","Fußball-Bundesliga (Matchweek 31)","Hertha BSC","4-2-3-1",2,1.4,"Davie Selke · 4&rsquor; Ishak Belfodil · 90+3&rsquor;","1","0","Stuttgart","4-3-3",0,0.6,"","1","0","https://fbref.com/en/matches/62595894/Hertha-BSC-Stuttgart-April-24-2022-Bundesliga","Hertha BSC","Home","Vladimír Darida",6,"CZE","RW","31-259",73,0,0,0,0,0,0,1,0,39,2,0,0,0,0,0,0,0,21,33,63.6,4,31,3,1,0
"Fußball-Bundesliga","2022-04-24","Fußball-Bundesliga (Matchweek 31)","Hertha BSC","4-2-3-1",2,1.4,"Davie Selke · 4&rsquor; Ishak Belfodil · 90+3&rsquor;","1","0","Stuttgart","4-3-3",0,0.6,"","1","0","https://fbref.com/en/matches/62595894/Hertha-BSC-Stuttgart-April-24-2022-Bundesliga","Hertha BSC","Home","Niklas Stark",5,"GER","RW","27-010",17,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,1,0,5,5,100,4,4,0,0,0
"Fußball-Bundesliga","2022-04-24","Fußball-Bundesliga (Matchweek 31)","Hertha BSC","4-2-3-1",2,1.4,"Davie Selke · 4&rsquor; Ishak Belfodil · 90+3&rsquor;","1","0","Stuttgart","4-3-3",0,0.6,"","1","0","https://fbref.com/en/matches/62595894/Hertha-BSC-Stuttgart-April-24-2022-Bundesliga","Hertha BSC","Home","Kevin-Prince Boateng",27,"GHA","AM","35-049",63,0,0,0,0,1,0,0,0,34,0,0,0,0,0,0,0,0,25,30,83.3,3,25,0,1,1
"Fußball-Bundesliga","2022-04-24","Fußball-Bundesliga (Matchweek 31)","Hertha BSC","4-2-3-1",2,1.4,"Davie Selke · 4&rsquor; Ishak Belfodil · 90+3&rsquor;","1","0","Stuttgart","4-3-3",0,0.6,"","1","0","https://fbref.com/en/matches/62595894/Hertha-BSC-Stuttgart-April-24-2022-Bundesliga","Hertha BSC","Home","Ishak Belfodil",14,"ALG","AM","30-102",27,1,0,0,0,2,1,0,0,11,0,0,0,0.5,0.5,0,1,1,7,9,77.8,1,10,2,1,1
"Fußball-Bundesliga","2022-04-24","Fußball-Bundesliga (Matchweek 31)","Hertha BSC","4-2-3-1",2,1.4,"Davie Selke · 4&rsquor; Ishak Belfodil · 90+3&rsquor;","1","0","Stuttgart","4-3-3",0,0.6,"","1","0","https://fbref.com/en/matches/62595894/Hertha-BSC-Stuttgart-April-24-2022-Bundesliga","Hertha BSC","Home","Santiago Ascacíbar",18,"ARG","DM","25-058",90,0,0,0,0,0,0,0,0,50,2,1,1,0,0,0,1,0,28,40,70,2,28,0,0,0
"Fußball-Bundesliga","2022-04-24","Fußball-Bundesliga (Matchweek 31)","Hertha BSC","4-2-3-1",2,1.4,"Davie Selke · 4&rsquor; Ishak Belfodil · 90+3&rsquor;","1","0","Stuttgart","4-3-3",0,0.6,"","1","0","https://fbref.com/en/matches/62595894/Hertha-BSC-Stuttgart-April-24-2022-Bundesliga","Hertha BSC","Home","Lucas Tousart",29,"FRA","DM","24-360",90,0,0,0,0,1,0,0,0,55,2,7,1,0.1,0.1,0,0,0,24,36,66.7,4,26,4,1,1
"Fußball-Bundesliga","2022-04-24","Fußball-Bundesliga (Matchweek 31)","Hertha BSC","4-2-3-1",2,1.4,"Davie Selke · 4&rsquor; Ishak Belfodil · 90+3&rsquor;","1","0","Stuttgart","4-3-3",0,0.6,"","1","0","https://fbref.com/en/matches/62595894/Hertha-BSC-Stuttgart-April-24-2022-Bundesliga","Hertha BSC","Home","Marvin Plattenhardt",21,"GER","LB","30-088",45,0,1,0,0,0,0,0,0,27,1,0,0,0,0,0.7,3,1,11,24,45.8,2,13,2,1,1
"Fußball-Bundesliga","2022-04-24","Fußball-Bundesliga (Matchweek 31)","Hertha BSC","4-2-3-1",2,1.4,"Davie Selke · 4&rsquor; Ishak Belfodil · 90+3&rsquor;","1","0","Stuttgart","4-3-3",0,0.6,"","1","0","https://fbref.com/en/matches/62595894/Hertha-BSC-Stuttgart-April-24-2022-Bundesliga","Hertha BSC","Home","Fredrik André Bjørkan",3,"NOR","LB","23-246",45,0,0,0,0,0,0,0,0,17,3,1,0,0,0,0,0,0,8,10,80,1,7,0,1,1
