"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-03-12","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","5-4-1",1,1.7,"Christoph Baumgartner · 32&rsquor;","4","0","Bayern Munich","3-2-4-1",1,2.9,"Robert Lewandowski · 45+3&rsquor;","1","0","https://fbref.com/en/matches/b04ef34a/Hoffenheim-Bayern-Munich-March-12-2022-Bundesliga","Hoffenheim","Home","Georginio Rutter",33,"FRA","FW","19-326",45,0,0,0,0,1,0,1,0,18,1,0,1,0.1,0.1,0.2,2,0,2,4,50,1,10,0,6,1
"Fußball-Bundesliga","2022-03-12","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","5-4-1",1,1.7,"Christoph Baumgartner · 32&rsquor;","4","0","Bayern Munich","3-2-4-1",1,2.9,"Robert Lewandowski · 45+3&rsquor;","1","0","https://fbref.com/en/matches/b04ef34a/Hoffenheim-Bayern-Munich-March-12-2022-Bundesliga","Hoffenheim","Home","Ihlas Bebou",9,"TOG","FW","27-323",45,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0.1,2,0,8,13,61.5,3,12,1,1,1
"Fußball-Bundesliga","2022-03-12","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","5-4-1",1,1.7,"Christoph Baumgartner · 32&rsquor;","4","0","Bayern Munich","3-2-4-1",1,2.9,"Robert Lewandowski · 45+3&rsquor;","1","0","https://fbref.com/en/matches/b04ef34a/Hoffenheim-Bayern-Munich-March-12-2022-Bundesliga","Hoffenheim","Home","Andrej Kramarić",27,"CRO","LM","30-266",89,0,0,0,0,4,3,0,0,37,1,0,0,0.8,0.8,0,3,1,17,25,68,4,27,2,3,1
"Fußball-Bundesliga","2022-03-12","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","5-4-1",1,1.7,"Christoph Baumgartner · 32&rsquor;","4","0","Bayern Munich","3-2-4-1",1,2.9,"Robert Lewandowski · 45+3&rsquor;","1","0","https://fbref.com/en/matches/b04ef34a/Hoffenheim-Bayern-Munich-March-12-2022-Bundesliga","Hoffenheim","Home","Moanes Dabbur",10,"ISR","LM","29-302",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"Fußball-Bundesliga","2022-03-12","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","5-4-1",1,1.7,"Christoph Baumgartner · 32&rsquor;","4","0","Bayern Munich","3-2-4-1",1,2.9,"Robert Lewandowski · 45+3&rsquor;","1","0","https://fbref.com/en/matches/b04ef34a/Hoffenheim-Bayern-Munich-March-12-2022-Bundesliga","Hoffenheim","Home","Angelo Stiller",13,"GER","CM","20-342",90,0,0,0,0,2,1,0,0,50,0,1,2,0.1,0.1,0,1,0,28,36,77.8,5,35,1,1,0
"Fußball-Bundesliga","2022-03-12","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","5-4-1",1,1.7,"Christoph Baumgartner · 32&rsquor;","4","0","Bayern Munich","3-2-4-1",1,2.9,"Robert Lewandowski · 45+3&rsquor;","1","0","https://fbref.com/en/matches/b04ef34a/Hoffenheim-Bayern-Munich-March-12-2022-Bundesliga","Hoffenheim","Home","Diadie Samassékou",18,"MLI","CM","26-060",60,0,0,0,0,0,0,1,0,27,1,2,1,0,0,0,0,0,11,19,57.9,1,15,0,2,2
"Fußball-Bundesliga","2022-03-12","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","5-4-1",1,1.7,"Christoph Baumgartner · 32&rsquor;","4","0","Bayern Munich","3-2-4-1",1,2.9,"Robert Lewandowski · 45+3&rsquor;","1","0","https://fbref.com/en/matches/b04ef34a/Hoffenheim-Bayern-Munich-March-12-2022-Bundesliga","Hoffenheim","Home","Dennis Geiger",8,"GER","CM","23-275",30,0,0,0,0,0,0,0,0,22,1,0,1,0,0,0.1,1,0,15,17,88.2,6,17,0,1,1
"Fußball-Bundesliga","2022-03-12","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","5-4-1",1,1.7,"Christoph Baumgartner · 32&rsquor;","4","0","Bayern Munich","3-2-4-1",1,2.9,"Robert Lewandowski · 45+3&rsquor;","1","0","https://fbref.com/en/matches/b04ef34a/Hoffenheim-Bayern-Munich-March-12-2022-Bundesliga","Hoffenheim","Home","Christoph Baumgartner",14,"AUT","RM","22-223",73,1,0,0,0,1,1,0,0,31,1,0,0,0.6,0.6,0,1,0,17,24,70.8,3,23,1,3,1
"Fußball-Bundesliga","2022-03-12","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","5-4-1",1,1.7,"Christoph Baumgartner · 32&rsquor;","4","0","Bayern Munich","3-2-4-1",1,2.9,"Robert Lewandowski · 45+3&rsquor;","1","0","https://fbref.com/en/matches/b04ef34a/Hoffenheim-Bayern-Munich-March-12-2022-Bundesliga","Hoffenheim","Home","Jacob Bruun Larsen",7,"DEN","RM","23-174",17,0,0,0,0,1,1,0,0,11,0,0,0,0.1,0.1,0.2,1,0,4,7,57.1,1,8,1,1,0
"Fußball-Bundesliga","2022-03-12","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","5-4-1",1,1.7,"Christoph Baumgartner · 32&rsquor;","4","0","Bayern Munich","3-2-4-1",1,2.9,"Robert Lewandowski · 45+3&rsquor;","1","0","https://fbref.com/en/matches/b04ef34a/Hoffenheim-Bayern-Munich-March-12-2022-Bundesliga","Hoffenheim","Home","David Raum",17,"GER","LB","23-324",90,0,1,0,0,0,0,0,0,48,1,1,1,0,0,1,4,1,32,42,76.2,2,30,4,3,2
"Fußball-Bundesliga","2022-03-12","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","5-4-1",1,1.7,"Christoph Baumgartner · 32&rsquor;","4","0","Bayern Munich","3-2-4-1",1,2.9,"Robert Lewandowski · 45+3&rsquor;","1","0","https://fbref.com/en/matches/b04ef34a/Hoffenheim-Bayern-Munich-March-12-2022-Bundesliga","Hoffenheim","Home","Kevin Vogt",22,"GER","CB","30-170",90,0,0,0,0,0,0,0,0,52,1,2,0,0,0,0,0,0,36,45,80,2,38,1,0,0
"Fußball-Bundesliga","2022-03-12","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","5-4-1",1,1.7,"Christoph Baumgartner · 32&rsquor;","4","0","Bayern Munich","3-2-4-1",1,2.9,"Robert Lewandowski · 45+3&rsquor;","1","0","https://fbref.com/en/matches/b04ef34a/Hoffenheim-Bayern-Munich-March-12-2022-Bundesliga","Hoffenheim","Home","Florian Grillitsch",11,"AUT","CB","26-217",90,0,0,0,0,0,0,1,0,47,0,2,0,0,0,0,0,0,41,43,95.3,4,32,1,0,0
"Fußball-Bundesliga","2022-03-12","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","5-4-1",1,1.7,"Christoph Baumgartner · 32&rsquor;","4","0","Bayern Munich","3-2-4-1",1,2.9,"Robert Lewandowski · 45+3&rsquor;","1","0","https://fbref.com/en/matches/b04ef34a/Hoffenheim-Bayern-Munich-March-12-2022-Bundesliga","Hoffenheim","Home","Stefan Posch",38,"AUT","CB","24-302",90,0,0,0,0,0,0,1,0,57,4,5,4,0,0,0,1,0,33,42,78.6,0,38,1,2,0
"Fußball-Bundesliga","2022-03-12","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","5-4-1",1,1.7,"Christoph Baumgartner · 32&rsquor;","4","0","Bayern Munich","3-2-4-1",1,2.9,"Robert Lewandowski · 45+3&rsquor;","1","0","https://fbref.com/en/matches/b04ef34a/Hoffenheim-Bayern-Munich-March-12-2022-Bundesliga","Hoffenheim","Home","Pavel Kadeřábek",3,"CZE","RB","29-321",73,0,0,0,0,0,0,0,0,32,1,2,1,0,0,0,0,0,17,27,63,1,16,1,0,0
