"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-10-22","Fußball-Bundesliga (Matchweek 11)","Hoffenheim","3-5-2",0,0.8,"","3","0","Bayern Munich","4-2-3-1",2,2.4,"Jamal Musiala · 17&rsquor; Eric Maxim Choupo-Moting · 38&rsquor;","2","0","https://fbref.com/en/matches/70d1d2d9/Hoffenheim-Bayern-Munich-October-22-2022-Bundesliga","Hoffenheim","Home","Moanes Dabbur",10,"ISR","FW","30-161",75,0,0,0,0,0,0,0,0,30,1,1,0,0,0,0.2,1,0,16,24,66.7,3,10,0,1,0
"Fußball-Bundesliga","2022-10-22","Fußball-Bundesliga (Matchweek 11)","Hoffenheim","3-5-2",0,0.8,"","3","0","Bayern Munich","4-2-3-1",2,2.4,"Jamal Musiala · 17&rsquor; Eric Maxim Choupo-Moting · 38&rsquor;","2","0","https://fbref.com/en/matches/70d1d2d9/Hoffenheim-Bayern-Munich-October-22-2022-Bundesliga","Hoffenheim","Home","Tom Bischof",39,"GER","FW","17-116",15,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,6,8,75,0,4,0,0,0
"Fußball-Bundesliga","2022-10-22","Fußball-Bundesliga (Matchweek 11)","Hoffenheim","3-5-2",0,0.8,"","3","0","Bayern Munich","4-2-3-1",2,2.4,"Jamal Musiala · 17&rsquor; Eric Maxim Choupo-Moting · 38&rsquor;","2","0","https://fbref.com/en/matches/70d1d2d9/Hoffenheim-Bayern-Munich-October-22-2022-Bundesliga","Hoffenheim","Home","Georginio Rutter",33,"FRA","FW","20-185",90,0,0,0,0,3,2,0,0,30,1,0,0,0.4,0.4,0,2,0,7,13,53.8,2,24,2,7,3
"Fußball-Bundesliga","2022-10-22","Fußball-Bundesliga (Matchweek 11)","Hoffenheim","3-5-2",0,0.8,"","3","0","Bayern Munich","4-2-3-1",2,2.4,"Jamal Musiala · 17&rsquor; Eric Maxim Choupo-Moting · 38&rsquor;","2","0","https://fbref.com/en/matches/70d1d2d9/Hoffenheim-Bayern-Munich-October-22-2022-Bundesliga","Hoffenheim","Home","Christoph Baumgartner",14,"AUT","CM","23-082",61,0,0,0,0,0,0,1,0,33,0,1,1,0,0,0,1,0,16,25,64,0,14,0,1,1
"Fußball-Bundesliga","2022-10-22","Fußball-Bundesliga (Matchweek 11)","Hoffenheim","3-5-2",0,0.8,"","3","0","Bayern Munich","4-2-3-1",2,2.4,"Jamal Musiala · 17&rsquor; Eric Maxim Choupo-Moting · 38&rsquor;","2","0","https://fbref.com/en/matches/70d1d2d9/Hoffenheim-Bayern-Munich-October-22-2022-Bundesliga","Hoffenheim","Home","Andrej Kramarić",27,"CRO","CM","31-125",29,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,14,20,70,4,11,0,0,0
"Fußball-Bundesliga","2022-10-22","Fußball-Bundesliga (Matchweek 11)","Hoffenheim","3-5-2",0,0.8,"","3","0","Bayern Munich","4-2-3-1",2,2.4,"Jamal Musiala · 17&rsquor; Eric Maxim Choupo-Moting · 38&rsquor;","2","0","https://fbref.com/en/matches/70d1d2d9/Hoffenheim-Bayern-Munich-October-22-2022-Bundesliga","Hoffenheim","Home","Dennis Geiger",8,"GER","CM","24-134",84,0,0,0,0,0,0,0,0,32,6,0,1,0,0,0.1,2,0,19,23,82.6,4,12,1,0,0
"Fußball-Bundesliga","2022-10-22","Fußball-Bundesliga (Matchweek 11)","Hoffenheim","3-5-2",0,0.8,"","3","0","Bayern Munich","4-2-3-1",2,2.4,"Jamal Musiala · 17&rsquor; Eric Maxim Choupo-Moting · 38&rsquor;","2","0","https://fbref.com/en/matches/70d1d2d9/Hoffenheim-Bayern-Munich-October-22-2022-Bundesliga","Hoffenheim","Home","Sebastian Rudy",16,"GER","CM","32-236",6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,100,0,3,0,0,0
"Fußball-Bundesliga","2022-10-22","Fußball-Bundesliga (Matchweek 11)","Hoffenheim","3-5-2",0,0.8,"","3","0","Bayern Munich","4-2-3-1",2,2.4,"Jamal Musiala · 17&rsquor; Eric Maxim Choupo-Moting · 38&rsquor;","2","0","https://fbref.com/en/matches/70d1d2d9/Hoffenheim-Bayern-Munich-October-22-2022-Bundesliga","Hoffenheim","Home","Grischa Prömel",6,"GER","CM","27-286",84,0,0,0,0,3,1,1,0,35,2,3,2,0.4,0.4,0,1,0,19,22,86.4,3,11,0,1,0
"Fußball-Bundesliga","2022-10-22","Fußball-Bundesliga (Matchweek 11)","Hoffenheim","3-5-2",0,0.8,"","3","0","Bayern Munich","4-2-3-1",2,2.4,"Jamal Musiala · 17&rsquor; Eric Maxim Choupo-Moting · 38&rsquor;","2","0","https://fbref.com/en/matches/70d1d2d9/Hoffenheim-Bayern-Munich-October-22-2022-Bundesliga","Hoffenheim","Home","Angelo Stiller",13,"GER","CM","21-201",6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,7,57.1,0,3,0,0,0
"Fußball-Bundesliga","2022-10-22","Fußball-Bundesliga (Matchweek 11)","Hoffenheim","3-5-2",0,0.8,"","3","0","Bayern Munich","4-2-3-1",2,2.4,"Jamal Musiala · 17&rsquor; Eric Maxim Choupo-Moting · 38&rsquor;","2","0","https://fbref.com/en/matches/70d1d2d9/Hoffenheim-Bayern-Munich-October-22-2022-Bundesliga","Hoffenheim","Home","Angeliño",11,"ESP","WB","25-291",90,0,0,0,0,0,0,0,0,58,1,0,0,0,0,0.1,4,0,31,51,60.8,3,25,1,0,0
