"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-02-25","Fußball-Bundesliga (Matchweek 22)","Hoffenheim","3-4-1-2",0,1.3,"","3","0","Dortmund","4-3-3",1,2.3,"Julian Brandt · 43&rsquor;","1","0","https://fbref.com/en/matches/3783fb1a/Hoffenheim-Dortmund-February-25-2023-Bundesliga","Hoffenheim","Home","Andrej Kramarić",27,"CRO","FW,RW","31-251",90,0,0,0,0,4,1,0,0,59,1,1,1,0.4,0.4,0.2,5,0,36,46,78.3,4,35,1,1,0
"Fußball-Bundesliga","2023-02-25","Fußball-Bundesliga (Matchweek 22)","Hoffenheim","3-4-1-2",0,1.3,"","3","0","Dortmund","4-3-3",1,2.3,"Julian Brandt · 43&rsquor;","1","0","https://fbref.com/en/matches/3783fb1a/Hoffenheim-Dortmund-February-25-2023-Bundesliga","Hoffenheim","Home","Ihlas Bebou",9,"TOG","FW","28-308",65,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0.2,3,0,5,6,83.3,0,2,0,2,0
"Fußball-Bundesliga","2023-02-25","Fußball-Bundesliga (Matchweek 22)","Hoffenheim","3-4-1-2",0,1.3,"","3","0","Dortmund","4-3-3",1,2.3,"Julian Brandt · 43&rsquor;","1","0","https://fbref.com/en/matches/3783fb1a/Hoffenheim-Dortmund-February-25-2023-Bundesliga","Hoffenheim","Home","Fisnik Asllani",44,"KVX","FW","20-201",25,0,0,0,0,2,0,0,0,10,0,0,0,0.6,0.6,0,2,0,3,6,50,0,9,1,1,0
"Fußball-Bundesliga","2023-02-25","Fußball-Bundesliga (Matchweek 22)","Hoffenheim","3-4-1-2",0,1.3,"","3","0","Dortmund","4-3-3",1,2.3,"Julian Brandt · 43&rsquor;","1","0","https://fbref.com/en/matches/3783fb1a/Hoffenheim-Dortmund-February-25-2023-Bundesliga","Hoffenheim","Home","Christoph Baumgartner",14,"AUT","AM,CM","23-208",90,0,0,0,0,1,1,0,0,47,2,0,4,0.1,0.1,0.2,4,0,16,30,53.3,6,32,6,10,9
"Fußball-Bundesliga","2023-02-25","Fußball-Bundesliga (Matchweek 22)","Hoffenheim","3-4-1-2",0,1.3,"","3","0","Dortmund","4-3-3",1,2.3,"Julian Brandt · 43&rsquor;","1","0","https://fbref.com/en/matches/3783fb1a/Hoffenheim-Dortmund-February-25-2023-Bundesliga","Hoffenheim","Home","Umut Tohumcu",40,"GER","CM","18-198",64,0,0,0,0,0,0,0,0,18,2,0,1,0,0,0,1,0,8,10,80,1,8,0,1,0
"Fußball-Bundesliga","2023-02-25","Fußball-Bundesliga (Matchweek 22)","Hoffenheim","3-4-1-2",0,1.3,"","3","0","Dortmund","4-3-3",1,2.3,"Julian Brandt · 43&rsquor;","1","0","https://fbref.com/en/matches/3783fb1a/Hoffenheim-Dortmund-February-25-2023-Bundesliga","Hoffenheim","Home","Kasper Dolberg",19,"DEN","LW,CM","25-142",26,0,0,0,0,1,1,0,0,6,1,0,0,0,0,0,0,0,1,3,33.3,0,4,1,0,0
"Fußball-Bundesliga","2023-02-25","Fußball-Bundesliga (Matchweek 22)","Hoffenheim","3-4-1-2",0,1.3,"","3","0","Dortmund","4-3-3",1,2.3,"Julian Brandt · 43&rsquor;","1","0","https://fbref.com/en/matches/3783fb1a/Hoffenheim-Dortmund-February-25-2023-Bundesliga","Hoffenheim","Home","Sebastian Rudy",16,"GER","CM","32-362",77,0,0,0,0,2,0,0,0,50,0,1,1,0.1,0.1,0.1,1,0,30,41,73.2,2,29,2,0,0
"Fußball-Bundesliga","2023-02-25","Fußball-Bundesliga (Matchweek 22)","Hoffenheim","3-4-1-2",0,1.3,"","3","0","Dortmund","4-3-3",1,2.3,"Julian Brandt · 43&rsquor;","1","0","https://fbref.com/en/matches/3783fb1a/Hoffenheim-Dortmund-February-25-2023-Bundesliga","Hoffenheim","Home","Angelo Stiller",13,"GER","CM","21-327",13,0,0,0,0,0,0,0,0,15,7,1,0,0,0,0,0,0,6,7,85.7,0,6,0,1,0
"Fußball-Bundesliga","2023-02-25","Fußball-Bundesliga (Matchweek 22)","Hoffenheim","3-4-1-2",0,1.3,"","3","0","Dortmund","4-3-3",1,2.3,"Julian Brandt · 43&rsquor;","1","0","https://fbref.com/en/matches/3783fb1a/Hoffenheim-Dortmund-February-25-2023-Bundesliga","Hoffenheim","Home","Angeliño",11,"ESP","WB,LM","26-052",90,0,0,0,0,1,0,0,0,63,3,2,1,0,0,0.7,5,0,34,53,64.2,7,29,0,0,0
"Fußball-Bundesliga","2023-02-25","Fußball-Bundesliga (Matchweek 22)","Hoffenheim","3-4-1-2",0,1.3,"","3","0","Dortmund","4-3-3",1,2.3,"Julian Brandt · 43&rsquor;","1","0","https://fbref.com/en/matches/3783fb1a/Hoffenheim-Dortmund-February-25-2023-Bundesliga","Hoffenheim","Home","Pavel Kadeřábek",3,"CZE","WB,RM","30-306",90,0,0,0,0,0,0,0,0,40,4,1,0,0,0,0,2,0,19,31,61.3,0,21,2,1,0
"Fußball-Bundesliga","2023-02-25","Fußball-Bundesliga (Matchweek 22)","Hoffenheim","3-4-1-2",0,1.3,"","3","0","Dortmund","4-3-3",1,2.3,"Julian Brandt · 43&rsquor;","1","0","https://fbref.com/en/matches/3783fb1a/Hoffenheim-Dortmund-February-25-2023-Bundesliga","Hoffenheim","Home","Kevin Akpoguma",25,"NGA","CB","27-312",90,0,0,0,0,0,0,0,0,61,5,2,2,0,0,0,1,0,40,48,83.3,3,38,2,0,0
"Fußball-Bundesliga","2023-02-25","Fußball-Bundesliga (Matchweek 22)","Hoffenheim","3-4-1-2",0,1.3,"","3","0","Dortmund","4-3-3",1,2.3,"Julian Brandt · 43&rsquor;","1","0","https://fbref.com/en/matches/3783fb1a/Hoffenheim-Dortmund-February-25-2023-Bundesliga","Hoffenheim","Home","Kevin Vogt",22,"GER","CB","31-155",90,0,0,0,0,0,0,1,0,64,0,1,1,0,0,0,0,0,50,55,90.9,8,44,1,0,0
"Fußball-Bundesliga","2023-02-25","Fußball-Bundesliga (Matchweek 22)","Hoffenheim","3-4-1-2",0,1.3,"","3","0","Dortmund","4-3-3",1,2.3,"Julian Brandt · 43&rsquor;","1","0","https://fbref.com/en/matches/3783fb1a/Hoffenheim-Dortmund-February-25-2023-Bundesliga","Hoffenheim","Home","Ozan Kabak",5,"TUR","CB","22-337",29,0,0,0,0,0,0,1,0,23,3,0,1,0,0,0,0,0,10,15,66.7,0,14,0,4,1
"Fußball-Bundesliga","2023-02-25","Fußball-Bundesliga (Matchweek 22)","Hoffenheim","3-4-1-2",0,1.3,"","3","0","Dortmund","4-3-3",1,2.3,"Julian Brandt · 43&rsquor;","1","0","https://fbref.com/en/matches/3783fb1a/Hoffenheim-Dortmund-February-25-2023-Bundesliga","Hoffenheim","Home","Ermin Bičakčić",4,"BIH","CB","33-032",61,0,0,0,0,2,1,0,0,36,2,1,0,0.1,0.1,0,1,0,17,29,58.6,5,22,0,0,0
"Fußball-Bundesliga","2023-02-25","Fußball-Bundesliga (Matchweek 22)","Hoffenheim","3-4-1-2",0,1.3,"","3","0","Dortmund","4-3-3",1,2.3,"Julian Brandt · 43&rsquor;","1","0","https://fbref.com/en/matches/3783fb1a/Hoffenheim-Dortmund-February-25-2023-Bundesliga","Hoffenheim","Home","Oliver Baumann",1,"GER","GK","32-268",90,0,0,0,0,0,0,1,0,41,0,0,0,0,0,0,0,0,28,32,87.5,0,18,0,0,0
