"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","4-1-4-1",1,NA,"Vedad Ibišević · 63&rsquor;","2","0","Dortmund","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/66f37db7/Hoffenheim-Dortmund-March-12-2011-Bundesliga","Hoffenheim","Home","Vedad Ibišević",NA,"BIH","FW","26-218",88,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","4-1-4-1",1,NA,"Vedad Ibišević · 63&rsquor;","2","0","Dortmund","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/66f37db7/Hoffenheim-Dortmund-March-12-2011-Bundesliga","Hoffenheim","Home","Gylfi Sigurðsson",NA,"ISL","FW,MF","21-185",2,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","4-1-4-1",1,NA,"Vedad Ibišević · 63&rsquor;","2","0","Dortmund","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/66f37db7/Hoffenheim-Dortmund-March-12-2011-Bundesliga","Hoffenheim","Home","Sejad Salihović",NA,"BIH","DF,MF","26-155",89,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","4-1-4-1",1,NA,"Vedad Ibišević · 63&rsquor;","2","0","Dortmund","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/66f37db7/Hoffenheim-Dortmund-March-12-2011-Bundesliga","Hoffenheim","Home","Matthias Jaissle",NA,"GER","DF","22-341",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","4-1-4-1",1,NA,"Vedad Ibišević · 63&rsquor;","2","0","Dortmund","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/66f37db7/Hoffenheim-Dortmund-March-12-2011-Bundesliga","Hoffenheim","Home","David Alaba",NA,"AUT","DF,MF","18-261",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","4-1-4-1",1,NA,"Vedad Ibišević · 63&rsquor;","2","0","Dortmund","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/66f37db7/Hoffenheim-Dortmund-March-12-2011-Bundesliga","Hoffenheim","Home","Boris Vukčević",NA,"GER","MF","20-361",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","4-1-4-1",1,NA,"Vedad Ibišević · 63&rsquor;","2","0","Dortmund","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/66f37db7/Hoffenheim-Dortmund-March-12-2011-Bundesliga","Hoffenheim","Home","Ryan Babel",NA,"NED","FW,MF","24-083",74,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","4-1-4-1",1,NA,"Vedad Ibišević · 63&rsquor;","2","0","Dortmund","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/66f37db7/Hoffenheim-Dortmund-March-12-2011-Bundesliga","Hoffenheim","Home","Roberto Firmino",NA,"BRA","FW,MF","19-161",16,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","4-1-4-1",1,NA,"Vedad Ibišević · 63&rsquor;","2","0","Dortmund","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/66f37db7/Hoffenheim-Dortmund-March-12-2011-Bundesliga","Hoffenheim","Home","Sebastian Rudy",NA,"GER","MF","21-012",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","4-1-4-1",1,NA,"Vedad Ibišević · 63&rsquor;","2","0","Dortmund","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/66f37db7/Hoffenheim-Dortmund-March-12-2011-Bundesliga","Hoffenheim","Home","Edson Braafheid",NA,"NED","DF","27-338",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","4-1-4-1",1,NA,"Vedad Ibišević · 63&rsquor;","2","0","Dortmund","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/66f37db7/Hoffenheim-Dortmund-March-12-2011-Bundesliga","Hoffenheim","Home","Marvin Compper",NA,"GER","DF","25-271",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","4-1-4-1",1,NA,"Vedad Ibišević · 63&rsquor;","2","0","Dortmund","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/66f37db7/Hoffenheim-Dortmund-March-12-2011-Bundesliga","Hoffenheim","Home","Isaac Vorsah",NA,"GHA","DF,MF","22-264",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","4-1-4-1",1,NA,"Vedad Ibišević · 63&rsquor;","2","0","Dortmund","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/66f37db7/Hoffenheim-Dortmund-March-12-2011-Bundesliga","Hoffenheim","Home","Andreas Beck",NA,"GER","DF,MF","23-364",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","4-1-4-1",1,NA,"Vedad Ibišević · 63&rsquor;","2","0","Dortmund","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/66f37db7/Hoffenheim-Dortmund-March-12-2011-Bundesliga","Hoffenheim","Home","Tom Starke",NA,"GER","GK","29-359",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
