"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Hoffenheim","4-4-2",1,NA,"Sejad Salihović (P) · 9&rsquor;","3","0","Eintracht Frankfurt","4-4-1-1",1,NA,"Pirmin Schwegler · 61&rsquor;","0","0","https://fbref.com/en/matches/839d2f1a/Hoffenheim-Eintracht-Frankfurt-December-12-2009-Bundesliga","Hoffenheim","Home","Vedad Ibišević",NA,"BIH","FW","25-128",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Hoffenheim","4-4-2",1,NA,"Sejad Salihović (P) · 9&rsquor;","3","0","Eintracht Frankfurt","4-4-1-1",1,NA,"Pirmin Schwegler · 61&rsquor;","0","0","https://fbref.com/en/matches/839d2f1a/Hoffenheim-Eintracht-Frankfurt-December-12-2009-Bundesliga","Hoffenheim","Home","Demba Ba",NA,"SEN","FW","24-201",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Hoffenheim","4-4-2",1,NA,"Sejad Salihović (P) · 9&rsquor;","3","0","Eintracht Frankfurt","4-4-1-1",1,NA,"Pirmin Schwegler · 61&rsquor;","0","0","https://fbref.com/en/matches/839d2f1a/Hoffenheim-Eintracht-Frankfurt-December-12-2009-Bundesliga","Hoffenheim","Home","Sejad Salihović",NA,"BIH","DF,MF","25-065",90,1,NA,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Hoffenheim","4-4-2",1,NA,"Sejad Salihović (P) · 9&rsquor;","3","0","Eintracht Frankfurt","4-4-1-1",1,NA,"Pirmin Schwegler · 61&rsquor;","0","0","https://fbref.com/en/matches/839d2f1a/Hoffenheim-Eintracht-Frankfurt-December-12-2009-Bundesliga","Hoffenheim","Home","Luiz Gustavo",NA,"BRA","DF,MF","22-142",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Hoffenheim","4-4-2",1,NA,"Sejad Salihović (P) · 9&rsquor;","3","0","Eintracht Frankfurt","4-4-1-1",1,NA,"Pirmin Schwegler · 61&rsquor;","0","0","https://fbref.com/en/matches/839d2f1a/Hoffenheim-Eintracht-Frankfurt-December-12-2009-Bundesliga","Hoffenheim","Home","Tobias Weis",NA,"GER","MF","24-135",63,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Hoffenheim","4-4-2",1,NA,"Sejad Salihović (P) · 9&rsquor;","3","0","Eintracht Frankfurt","4-4-1-1",1,NA,"Pirmin Schwegler · 61&rsquor;","0","0","https://fbref.com/en/matches/839d2f1a/Hoffenheim-Eintracht-Frankfurt-December-12-2009-Bundesliga","Hoffenheim","Home","Carlos Eduardo",NA,"BRA","FW,MF","22-147",27,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Hoffenheim","4-4-2",1,NA,"Sejad Salihović (P) · 9&rsquor;","3","0","Eintracht Frankfurt","4-4-1-1",1,NA,"Pirmin Schwegler · 61&rsquor;","0","0","https://fbref.com/en/matches/839d2f1a/Hoffenheim-Eintracht-Frankfurt-December-12-2009-Bundesliga","Hoffenheim","Home","Chinedu Obasi",NA,"NGA","FW","23-194",78,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Hoffenheim","4-4-2",1,NA,"Sejad Salihović (P) · 9&rsquor;","3","0","Eintracht Frankfurt","4-4-1-1",1,NA,"Pirmin Schwegler · 61&rsquor;","0","0","https://fbref.com/en/matches/839d2f1a/Hoffenheim-Eintracht-Frankfurt-December-12-2009-Bundesliga","Hoffenheim","Home","Boris Vukčević",NA,"GER","MF","19-271",12,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Hoffenheim","4-4-2",1,NA,"Sejad Salihović (P) · 9&rsquor;","3","0","Eintracht Frankfurt","4-4-1-1",1,NA,"Pirmin Schwegler · 61&rsquor;","0","0","https://fbref.com/en/matches/839d2f1a/Hoffenheim-Eintracht-Frankfurt-December-12-2009-Bundesliga","Hoffenheim","Home","Christian Eichner",NA,"GER","DF","27-018",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Hoffenheim","4-4-2",1,NA,"Sejad Salihović (P) · 9&rsquor;","3","0","Eintracht Frankfurt","4-4-1-1",1,NA,"Pirmin Schwegler · 61&rsquor;","0","0","https://fbref.com/en/matches/839d2f1a/Hoffenheim-Eintracht-Frankfurt-December-12-2009-Bundesliga","Hoffenheim","Home","Marvin Compper",NA,"GER","DF","24-181",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
