"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Hoffenheim","4-4-2",1,NA,"Josip Šimunić · 80&rsquor;","1","0","Freiburg","4-1-4-1",1,NA,"Mohammadou Idrissou · 64&rsquor;","2","0","https://fbref.com/en/matches/ed062dae/Hoffenheim-Freiburg-March-28-2010-Bundesliga","Hoffenheim","Home","Vedad Ibišević",NA,"BIH","FW","25-234",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Hoffenheim","4-4-2",1,NA,"Josip Šimunić · 80&rsquor;","1","0","Freiburg","4-1-4-1",1,NA,"Mohammadou Idrissou · 64&rsquor;","2","0","https://fbref.com/en/matches/ed062dae/Hoffenheim-Freiburg-March-28-2010-Bundesliga","Hoffenheim","Home","Boris Vukčević",NA,"GER","MF","20-012",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Hoffenheim","4-4-2",1,NA,"Josip Šimunić · 80&rsquor;","1","0","Freiburg","4-1-4-1",1,NA,"Mohammadou Idrissou · 64&rsquor;","2","0","https://fbref.com/en/matches/ed062dae/Hoffenheim-Freiburg-March-28-2010-Bundesliga","Hoffenheim","Home","Maicosuel",NA,"BRA","MF","23-285",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Hoffenheim","4-4-2",1,NA,"Josip Šimunić · 80&rsquor;","1","0","Freiburg","4-1-4-1",1,NA,"Mohammadou Idrissou · 64&rsquor;","2","0","https://fbref.com/en/matches/ed062dae/Hoffenheim-Freiburg-March-28-2010-Bundesliga","Hoffenheim","Home","Prince Tagoe",NA,"GHA","FW","23-139",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Hoffenheim","4-4-2",1,NA,"Josip Šimunić · 80&rsquor;","1","0","Freiburg","4-1-4-1",1,NA,"Mohammadou Idrissou · 64&rsquor;","2","0","https://fbref.com/en/matches/ed062dae/Hoffenheim-Freiburg-March-28-2010-Bundesliga","Hoffenheim","Home","Sejad Salihović",NA,"BIH","DF,MF","25-171",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Hoffenheim","4-4-2",1,NA,"Josip Šimunić · 80&rsquor;","1","0","Freiburg","4-1-4-1",1,NA,"Mohammadou Idrissou · 64&rsquor;","2","0","https://fbref.com/en/matches/ed062dae/Hoffenheim-Freiburg-March-28-2010-Bundesliga","Hoffenheim","Home","Luiz Gustavo",NA,"BRA","DF,MF","22-248",68,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Hoffenheim","4-4-2",1,NA,"Josip Šimunić · 80&rsquor;","1","0","Freiburg","4-1-4-1",1,NA,"Mohammadou Idrissou · 64&rsquor;","2","0","https://fbref.com/en/matches/ed062dae/Hoffenheim-Freiburg-March-28-2010-Bundesliga","Hoffenheim","Home","Chinedu Obasi",NA,"NGA","FW","23-300",22,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Hoffenheim","4-4-2",1,NA,"Josip Šimunić · 80&rsquor;","1","0","Freiburg","4-1-4-1",1,NA,"Mohammadou Idrissou · 64&rsquor;","2","0","https://fbref.com/en/matches/ed062dae/Hoffenheim-Freiburg-March-28-2010-Bundesliga","Hoffenheim","Home","Tobias Weis",NA,"GER","MF","24-241",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Hoffenheim","4-4-2",1,NA,"Josip Šimunić · 80&rsquor;","1","0","Freiburg","4-1-4-1",1,NA,"Mohammadou Idrissou · 64&rsquor;","2","0","https://fbref.com/en/matches/ed062dae/Hoffenheim-Freiburg-March-28-2010-Bundesliga","Hoffenheim","Home","Carlos Eduardo",NA,"BRA","FW,MF","22-253",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Hoffenheim","4-4-2",1,NA,"Josip Šimunić · 80&rsquor;","1","0","Freiburg","4-1-4-1",1,NA,"Mohammadou Idrissou · 64&rsquor;","2","0","https://fbref.com/en/matches/ed062dae/Hoffenheim-Freiburg-March-28-2010-Bundesliga","Hoffenheim","Home","Andreas Ibertsberger",NA,"AUT","DF","27-244",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
