"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-04-17","Fußball-Bundesliga (Matchweek 30)","Hoffenheim","3-1-4-2",0,1,"","3","0","Greuther Fürth","3-1-4-2",0,0.3,"","3","0","https://fbref.com/en/matches/bab6d1dd/Hoffenheim-Greuther-Furth-April-17-2022-Bundesliga","Hoffenheim","Home","Moanes Dabbur",10,"ISR","FW","29-338",70,0,0,0,0,1,0,0,0,28,0,1,2,0.1,0.1,0,0,0,10,15,66.7,0,18,1,5,3
"Fußball-Bundesliga","2022-04-17","Fußball-Bundesliga (Matchweek 30)","Hoffenheim","3-1-4-2",0,1,"","3","0","Greuther Fürth","3-1-4-2",0,0.3,"","3","0","https://fbref.com/en/matches/bab6d1dd/Hoffenheim-Greuther-Furth-April-17-2022-Bundesliga","Hoffenheim","Home","Georginio Rutter",33,"FRA","FW","19-362",20,0,0,0,0,1,1,0,0,9,0,0,1,0,0,0,1,0,2,2,100,0,9,1,1,0
"Fußball-Bundesliga","2022-04-17","Fußball-Bundesliga (Matchweek 30)","Hoffenheim","3-1-4-2",0,1,"","3","0","Greuther Fürth","3-1-4-2",0,0.3,"","3","0","https://fbref.com/en/matches/bab6d1dd/Hoffenheim-Greuther-Furth-April-17-2022-Bundesliga","Hoffenheim","Home","Ihlas Bebou",9,"TOG","FW","27-359",90,0,0,0,0,1,0,0,0,43,1,0,0,0,0,0,3,0,21,32,65.6,0,25,1,1,0
"Fußball-Bundesliga","2022-04-17","Fußball-Bundesliga (Matchweek 30)","Hoffenheim","3-1-4-2",0,1,"","3","0","Greuther Fürth","3-1-4-2",0,0.3,"","3","0","https://fbref.com/en/matches/bab6d1dd/Hoffenheim-Greuther-Furth-April-17-2022-Bundesliga","Hoffenheim","Home","David Raum",17,"GER","LW","23-360",86,0,0,0,0,0,0,0,0,61,0,2,0,0,0,0,4,0,39,56,69.6,4,24,3,2,0
"Fußball-Bundesliga","2022-04-17","Fußball-Bundesliga (Matchweek 30)","Hoffenheim","3-1-4-2",0,1,"","3","0","Greuther Fürth","3-1-4-2",0,0.3,"","3","0","https://fbref.com/en/matches/bab6d1dd/Hoffenheim-Greuther-Furth-April-17-2022-Bundesliga","Hoffenheim","Home","Robert Skov",29,"DEN","LW","25-332",4,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0.2,2,0,4,6,66.7,0,2,0,0,0
"Fußball-Bundesliga","2022-04-17","Fußball-Bundesliga (Matchweek 30)","Hoffenheim","3-1-4-2",0,1,"","3","0","Greuther Fürth","3-1-4-2",0,0.3,"","3","0","https://fbref.com/en/matches/bab6d1dd/Hoffenheim-Greuther-Furth-April-17-2022-Bundesliga","Hoffenheim","Home","Pavel Kadeřábek",3,"CZE","RW","29-357",70,0,0,0,0,0,0,1,0,32,0,0,0,0,0,0.1,1,0,19,31,61.3,2,12,0,0,0
"Fußball-Bundesliga","2022-04-17","Fußball-Bundesliga (Matchweek 30)","Hoffenheim","3-1-4-2",0,1,"","3","0","Greuther Fürth","3-1-4-2",0,0.3,"","3","0","https://fbref.com/en/matches/bab6d1dd/Hoffenheim-Greuther-Furth-April-17-2022-Bundesliga","Hoffenheim","Home","Jacob Bruun Larsen",7,"DEN","RW","23-210",20,0,0,0,0,1,0,0,0,10,0,0,0,0.1,0.1,0.1,1,0,4,5,80,0,6,0,0,0
"Fußball-Bundesliga","2022-04-17","Fußball-Bundesliga (Matchweek 30)","Hoffenheim","3-1-4-2",0,1,"","3","0","Greuther Fürth","3-1-4-2",0,0.3,"","3","0","https://fbref.com/en/matches/bab6d1dd/Hoffenheim-Greuther-Furth-April-17-2022-Bundesliga","Hoffenheim","Home","Andrej Kramarić",27,"CRO","CM","30-302",90,0,0,0,0,6,2,0,0,51,0,2,0,0.5,0.5,0,6,0,32,41,78,6,37,4,4,4
"Fußball-Bundesliga","2022-04-17","Fußball-Bundesliga (Matchweek 30)","Hoffenheim","3-1-4-2",0,1,"","3","0","Greuther Fürth","3-1-4-2",0,0.3,"","3","0","https://fbref.com/en/matches/bab6d1dd/Hoffenheim-Greuther-Furth-April-17-2022-Bundesliga","Hoffenheim","Home","Christoph Baumgartner",14,"AUT","CM","22-259",90,0,0,0,0,4,0,1,0,58,1,0,1,0.2,0.2,0,3,0,30,41,73.2,8,35,1,3,1
"Fußball-Bundesliga","2022-04-17","Fußball-Bundesliga (Matchweek 30)","Hoffenheim","3-1-4-2",0,1,"","3","0","Greuther Fürth","3-1-4-2",0,0.3,"","3","0","https://fbref.com/en/matches/bab6d1dd/Hoffenheim-Greuther-Furth-April-17-2022-Bundesliga","Hoffenheim","Home","Diadie Samassékou",18,"MLI","DM","26-096",90,0,0,0,0,1,0,0,0,71,7,1,2,0,0,0,2,0,44,55,80,4,38,1,1,1
"Fußball-Bundesliga","2022-04-17","Fußball-Bundesliga (Matchweek 30)","Hoffenheim","3-1-4-2",0,1,"","3","0","Greuther Fürth","3-1-4-2",0,0.3,"","3","0","https://fbref.com/en/matches/bab6d1dd/Hoffenheim-Greuther-Furth-April-17-2022-Bundesliga","Hoffenheim","Home","Chris Richards",28,"USA","CB","22-020",45,0,0,0,0,0,0,0,0,40,2,1,1,0,0,0,0,0,31,34,91.2,2,28,1,2,2
"Fußball-Bundesliga","2022-04-17","Fußball-Bundesliga (Matchweek 30)","Hoffenheim","3-1-4-2",0,1,"","3","0","Greuther Fürth","3-1-4-2",0,0.3,"","3","0","https://fbref.com/en/matches/bab6d1dd/Hoffenheim-Greuther-Furth-April-17-2022-Bundesliga","Hoffenheim","Home","Kevin Akpoguma",25,"NGA","CB","26-363",45,0,0,0,0,0,0,0,0,26,0,1,0,0,0,0,2,0,20,24,83.3,3,13,1,3,2
"Fußball-Bundesliga","2022-04-17","Fußball-Bundesliga (Matchweek 30)","Hoffenheim","3-1-4-2",0,1,"","3","0","Greuther Fürth","3-1-4-2",0,0.3,"","3","0","https://fbref.com/en/matches/bab6d1dd/Hoffenheim-Greuther-Furth-April-17-2022-Bundesliga","Hoffenheim","Home","Kevin Vogt",22,"GER","CB","30-206",90,0,0,0,0,0,0,1,0,96,0,0,3,0,0,0,1,0,77,83,92.8,8,55,0,0,0
