"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Hoffenheim","4-4-2",5,NA,"Vedad Ibišević · 2&rsquor; Vedad Ibišević · 11&rsquor; Chinedu Obasi · 31&rsquor; Chinedu Obasi · 73&rsquor; Sejad Salihović · 77&rsquor;","2","0","Hamburger SV","4-4-2",1,NA,"Robert Tesche · 65&rsquor; Tolgay Arslan · 89&rsquor;","0","1","https://fbref.com/en/matches/19f78479/Hoffenheim-Hamburger-SV-April-25-2010-Bundesliga","Hoffenheim","Home","Vedad Ibišević",NA,"BIH","FW","25-262",90,2,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Hoffenheim","4-4-2",5,NA,"Vedad Ibišević · 2&rsquor; Vedad Ibišević · 11&rsquor; Chinedu Obasi · 31&rsquor; Chinedu Obasi · 73&rsquor; Sejad Salihović · 77&rsquor;","2","0","Hamburger SV","4-4-2",1,NA,"Robert Tesche · 65&rsquor; Tolgay Arslan · 89&rsquor;","0","1","https://fbref.com/en/matches/19f78479/Hoffenheim-Hamburger-SV-April-25-2010-Bundesliga","Hoffenheim","Home","Chinedu Obasi",NA,"NGA","FW","23-328",90,2,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Hoffenheim","4-4-2",5,NA,"Vedad Ibišević · 2&rsquor; Vedad Ibišević · 11&rsquor; Chinedu Obasi · 31&rsquor; Chinedu Obasi · 73&rsquor; Sejad Salihović · 77&rsquor;","2","0","Hamburger SV","4-4-2",1,NA,"Robert Tesche · 65&rsquor; Tolgay Arslan · 89&rsquor;","0","1","https://fbref.com/en/matches/19f78479/Hoffenheim-Hamburger-SV-April-25-2010-Bundesliga","Hoffenheim","Home","Sejad Salihović",NA,"BIH","DF,MF","25-199",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Hoffenheim","4-4-2",5,NA,"Vedad Ibišević · 2&rsquor; Vedad Ibišević · 11&rsquor; Chinedu Obasi · 31&rsquor; Chinedu Obasi · 73&rsquor; Sejad Salihović · 77&rsquor;","2","0","Hamburger SV","4-4-2",1,NA,"Robert Tesche · 65&rsquor; Tolgay Arslan · 89&rsquor;","0","1","https://fbref.com/en/matches/19f78479/Hoffenheim-Hamburger-SV-April-25-2010-Bundesliga","Hoffenheim","Home","Luiz Gustavo",NA,"BRA","DF,MF","22-276",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Hoffenheim","4-4-2",5,NA,"Vedad Ibišević · 2&rsquor; Vedad Ibišević · 11&rsquor; Chinedu Obasi · 31&rsquor; Chinedu Obasi · 73&rsquor; Sejad Salihović · 77&rsquor;","2","0","Hamburger SV","4-4-2",1,NA,"Robert Tesche · 65&rsquor; Tolgay Arslan · 89&rsquor;","0","1","https://fbref.com/en/matches/19f78479/Hoffenheim-Hamburger-SV-April-25-2010-Bundesliga","Hoffenheim","Home","Tobias Weis",NA,"GER","MF","24-269",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Hoffenheim","4-4-2",5,NA,"Vedad Ibišević · 2&rsquor; Vedad Ibišević · 11&rsquor; Chinedu Obasi · 31&rsquor; Chinedu Obasi · 73&rsquor; Sejad Salihović · 77&rsquor;","2","0","Hamburger SV","4-4-2",1,NA,"Robert Tesche · 65&rsquor; Tolgay Arslan · 89&rsquor;","0","1","https://fbref.com/en/matches/19f78479/Hoffenheim-Hamburger-SV-April-25-2010-Bundesliga","Hoffenheim","Home","Carlos Eduardo",NA,"BRA","FW,MF","22-281",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Hoffenheim","4-4-2",5,NA,"Vedad Ibišević · 2&rsquor; Vedad Ibišević · 11&rsquor; Chinedu Obasi · 31&rsquor; Chinedu Obasi · 73&rsquor; Sejad Salihović · 77&rsquor;","2","0","Hamburger SV","4-4-2",1,NA,"Robert Tesche · 65&rsquor; Tolgay Arslan · 89&rsquor;","0","1","https://fbref.com/en/matches/19f78479/Hoffenheim-Hamburger-SV-April-25-2010-Bundesliga","Hoffenheim","Home","Boris Vukčević",NA,"GER","MF","20-040",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Hoffenheim","4-4-2",5,NA,"Vedad Ibišević · 2&rsquor; Vedad Ibišević · 11&rsquor; Chinedu Obasi · 31&rsquor; Chinedu Obasi · 73&rsquor; Sejad Salihović · 77&rsquor;","2","0","Hamburger SV","4-4-2",1,NA,"Robert Tesche · 65&rsquor; Tolgay Arslan · 89&rsquor;","0","1","https://fbref.com/en/matches/19f78479/Hoffenheim-Hamburger-SV-April-25-2010-Bundesliga","Hoffenheim","Home","Christian Eichner",NA,"GER","DF","27-152",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Hoffenheim","4-4-2",5,NA,"Vedad Ibišević · 2&rsquor; Vedad Ibišević · 11&rsquor; Chinedu Obasi · 31&rsquor; Chinedu Obasi · 73&rsquor; Sejad Salihović · 77&rsquor;","2","0","Hamburger SV","4-4-2",1,NA,"Robert Tesche · 65&rsquor; Tolgay Arslan · 89&rsquor;","0","1","https://fbref.com/en/matches/19f78479/Hoffenheim-Hamburger-SV-April-25-2010-Bundesliga","Hoffenheim","Home","Marvin Compper",NA,"GER","DF","24-315",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Hoffenheim","4-4-2",5,NA,"Vedad Ibišević · 2&rsquor; Vedad Ibišević · 11&rsquor; Chinedu Obasi · 31&rsquor; Chinedu Obasi · 73&rsquor; Sejad Salihović · 77&rsquor;","2","0","Hamburger SV","4-4-2",1,NA,"Robert Tesche · 65&rsquor; Tolgay Arslan · 89&rsquor;","0","1","https://fbref.com/en/matches/19f78479/Hoffenheim-Hamburger-SV-April-25-2010-Bundesliga","Hoffenheim","Home","Josip Šimunić",NA,"CRO","DF","32-066",64,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
