"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hoffenheim","4-3-3",3,NA,"Gylfi Sigurðsson · 28&rsquor; Sebastian Rudy · 40&rsquor; Vedad Ibišević · 62&rsquor; Edson Braafheid · 79&rsquor;","1","1","Kaiserslautern","4-2-3-1",2,NA,"Erwin Hoffer · 58&rsquor; Rodnei · 59&rsquor;","2","0","https://fbref.com/en/matches/ea11484c/Hoffenheim-Kaiserslautern-February-5-2011-Bundesliga","Hoffenheim","Home","Vedad Ibišević",NA,"BIH","FW","26-183",72,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hoffenheim","4-3-3",3,NA,"Gylfi Sigurðsson · 28&rsquor; Sebastian Rudy · 40&rsquor; Vedad Ibišević · 62&rsquor; Edson Braafheid · 79&rsquor;","1","1","Kaiserslautern","4-2-3-1",2,NA,"Erwin Hoffer · 58&rsquor; Rodnei · 59&rsquor;","2","0","https://fbref.com/en/matches/ea11484c/Hoffenheim-Kaiserslautern-February-5-2011-Bundesliga","Hoffenheim","Home","Edson Braafheid",NA,"NED","DF","27-303",6,0,NA,0,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hoffenheim","4-3-3",3,NA,"Gylfi Sigurðsson · 28&rsquor; Sebastian Rudy · 40&rsquor; Vedad Ibišević · 62&rsquor; Edson Braafheid · 79&rsquor;","1","1","Kaiserslautern","4-2-3-1",2,NA,"Erwin Hoffer · 58&rsquor; Rodnei · 59&rsquor;","2","0","https://fbref.com/en/matches/ea11484c/Hoffenheim-Kaiserslautern-February-5-2011-Bundesliga","Hoffenheim","Home","Ryan Babel",NA,"NED","FW,MF","24-048",89,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hoffenheim","4-3-3",3,NA,"Gylfi Sigurðsson · 28&rsquor; Sebastian Rudy · 40&rsquor; Vedad Ibišević · 62&rsquor; Edson Braafheid · 79&rsquor;","1","1","Kaiserslautern","4-2-3-1",2,NA,"Erwin Hoffer · 58&rsquor; Rodnei · 59&rsquor;","2","0","https://fbref.com/en/matches/ea11484c/Hoffenheim-Kaiserslautern-February-5-2011-Bundesliga","Hoffenheim","Home","Matthias Jaissle",NA,"GER","DF","22-306",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hoffenheim","4-3-3",3,NA,"Gylfi Sigurðsson · 28&rsquor; Sebastian Rudy · 40&rsquor; Vedad Ibišević · 62&rsquor; Edson Braafheid · 79&rsquor;","1","1","Kaiserslautern","4-2-3-1",2,NA,"Erwin Hoffer · 58&rsquor; Rodnei · 59&rsquor;","2","0","https://fbref.com/en/matches/ea11484c/Hoffenheim-Kaiserslautern-February-5-2011-Bundesliga","Hoffenheim","Home","Gylfi Sigurðsson",NA,"ISL","FW,MF","21-150",82,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hoffenheim","4-3-3",3,NA,"Gylfi Sigurðsson · 28&rsquor; Sebastian Rudy · 40&rsquor; Vedad Ibišević · 62&rsquor; Edson Braafheid · 79&rsquor;","1","1","Kaiserslautern","4-2-3-1",2,NA,"Erwin Hoffer · 58&rsquor; Rodnei · 59&rsquor;","2","0","https://fbref.com/en/matches/ea11484c/Hoffenheim-Kaiserslautern-February-5-2011-Bundesliga","Hoffenheim","Home","Boris Vukčević",NA,"GER","MF","20-326",8,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hoffenheim","4-3-3",3,NA,"Gylfi Sigurðsson · 28&rsquor; Sebastian Rudy · 40&rsquor; Vedad Ibišević · 62&rsquor; Edson Braafheid · 79&rsquor;","1","1","Kaiserslautern","4-2-3-1",2,NA,"Erwin Hoffer · 58&rsquor; Rodnei · 59&rsquor;","2","0","https://fbref.com/en/matches/ea11484c/Hoffenheim-Kaiserslautern-February-5-2011-Bundesliga","Hoffenheim","Home","Sejad Salihović",NA,"BIH","DF,MF","26-120",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hoffenheim","4-3-3",3,NA,"Gylfi Sigurðsson · 28&rsquor; Sebastian Rudy · 40&rsquor; Vedad Ibišević · 62&rsquor; Edson Braafheid · 79&rsquor;","1","1","Kaiserslautern","4-2-3-1",2,NA,"Erwin Hoffer · 58&rsquor; Rodnei · 59&rsquor;","2","0","https://fbref.com/en/matches/ea11484c/Hoffenheim-Kaiserslautern-February-5-2011-Bundesliga","Hoffenheim","Home","David Alaba",NA,"AUT","DF,MF","18-226",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hoffenheim","4-3-3",3,NA,"Gylfi Sigurðsson · 28&rsquor; Sebastian Rudy · 40&rsquor; Vedad Ibišević · 62&rsquor; Edson Braafheid · 79&rsquor;","1","1","Kaiserslautern","4-2-3-1",2,NA,"Erwin Hoffer · 58&rsquor; Rodnei · 59&rsquor;","2","0","https://fbref.com/en/matches/ea11484c/Hoffenheim-Kaiserslautern-February-5-2011-Bundesliga","Hoffenheim","Home","Sebastian Rudy",NA,"GER","MF","20-342",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hoffenheim","4-3-3",3,NA,"Gylfi Sigurðsson · 28&rsquor; Sebastian Rudy · 40&rsquor; Vedad Ibišević · 62&rsquor; Edson Braafheid · 79&rsquor;","1","1","Kaiserslautern","4-2-3-1",2,NA,"Erwin Hoffer · 58&rsquor; Rodnei · 59&rsquor;","2","0","https://fbref.com/en/matches/ea11484c/Hoffenheim-Kaiserslautern-February-5-2011-Bundesliga","Hoffenheim","Home","Andreas Ibertsberger",NA,"AUT","DF","28-193",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hoffenheim","4-3-3",3,NA,"Gylfi Sigurðsson · 28&rsquor; Sebastian Rudy · 40&rsquor; Vedad Ibišević · 62&rsquor; Edson Braafheid · 79&rsquor;","1","1","Kaiserslautern","4-2-3-1",2,NA,"Erwin Hoffer · 58&rsquor; Rodnei · 59&rsquor;","2","0","https://fbref.com/en/matches/ea11484c/Hoffenheim-Kaiserslautern-February-5-2011-Bundesliga","Hoffenheim","Home","Marvin Compper",NA,"GER","DF","25-236",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hoffenheim","4-3-3",3,NA,"Gylfi Sigurðsson · 28&rsquor; Sebastian Rudy · 40&rsquor; Vedad Ibišević · 62&rsquor; Edson Braafheid · 79&rsquor;","1","1","Kaiserslautern","4-2-3-1",2,NA,"Erwin Hoffer · 58&rsquor; Rodnei · 59&rsquor;","2","0","https://fbref.com/en/matches/ea11484c/Hoffenheim-Kaiserslautern-February-5-2011-Bundesliga","Hoffenheim","Home","Isaac Vorsah",NA,"GHA","DF,MF","22-229",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hoffenheim","4-3-3",3,NA,"Gylfi Sigurðsson · 28&rsquor; Sebastian Rudy · 40&rsquor; Vedad Ibišević · 62&rsquor; Edson Braafheid · 79&rsquor;","1","1","Kaiserslautern","4-2-3-1",2,NA,"Erwin Hoffer · 58&rsquor; Rodnei · 59&rsquor;","2","0","https://fbref.com/en/matches/ea11484c/Hoffenheim-Kaiserslautern-February-5-2011-Bundesliga","Hoffenheim","Home","Andreas Beck",NA,"GER","DF,MF","23-329",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hoffenheim","4-3-3",3,NA,"Gylfi Sigurðsson · 28&rsquor; Sebastian Rudy · 40&rsquor; Vedad Ibišević · 62&rsquor; Edson Braafheid · 79&rsquor;","1","1","Kaiserslautern","4-2-3-1",2,NA,"Erwin Hoffer · 58&rsquor; Rodnei · 59&rsquor;","2","0","https://fbref.com/en/matches/ea11484c/Hoffenheim-Kaiserslautern-February-5-2011-Bundesliga","Hoffenheim","Home","Tom Starke",NA,"GER","GK","29-324",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hoffenheim","4-3-3",3,NA,"Gylfi Sigurðsson · 28&rsquor; Sebastian Rudy · 40&rsquor; Vedad Ibišević · 62&rsquor; Edson Braafheid · 79&rsquor;","1","1","Kaiserslautern","4-2-3-1",2,NA,"Erwin Hoffer · 58&rsquor; Rodnei · 59&rsquor;","2","0","https://fbref.com/en/matches/ea11484c/Hoffenheim-Kaiserslautern-February-5-2011-Bundesliga","Kaiserslautern","Away","Srđan Lakić",NA,"CRO","FW","27-126",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hoffenheim","4-3-3",3,NA,"Gylfi Sigurðsson · 28&rsquor; Sebastian Rudy · 40&rsquor; Vedad Ibišević · 62&rsquor; Edson Braafheid · 79&rsquor;","1","1","Kaiserslautern","4-2-3-1",2,NA,"Erwin Hoffer · 58&rsquor; Rodnei · 59&rsquor;","2","0","https://fbref.com/en/matches/ea11484c/Hoffenheim-Kaiserslautern-February-5-2011-Bundesliga","Kaiserslautern","Away","Ivo Iličević",NA,"CRO","MF","24-083",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hoffenheim","4-3-3",3,NA,"Gylfi Sigurðsson · 28&rsquor; Sebastian Rudy · 40&rsquor; Vedad Ibišević · 62&rsquor; Edson Braafheid · 79&rsquor;","1","1","Kaiserslautern","4-2-3-1",2,NA,"Erwin Hoffer · 58&rsquor; Rodnei · 59&rsquor;","2","0","https://fbref.com/en/matches/ea11484c/Hoffenheim-Kaiserslautern-February-5-2011-Bundesliga","Kaiserslautern","Away","Oliver Kirch",NA,"GER","DF,MF","28-168",26,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hoffenheim","4-3-3",3,NA,"Gylfi Sigurðsson · 28&rsquor; Sebastian Rudy · 40&rsquor; Vedad Ibišević · 62&rsquor; Edson Braafheid · 79&rsquor;","1","1","Kaiserslautern","4-2-3-1",2,NA,"Erwin Hoffer · 58&rsquor; Rodnei · 59&rsquor;","2","0","https://fbref.com/en/matches/ea11484c/Hoffenheim-Kaiserslautern-February-5-2011-Bundesliga","Kaiserslautern","Away","Adam Hloušek",NA,"CZE","DF,FW","22-047",64,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hoffenheim","4-3-3",3,NA,"Gylfi Sigurðsson · 28&rsquor; Sebastian Rudy · 40&rsquor; Vedad Ibišević · 62&rsquor; Edson Braafheid · 79&rsquor;","1","1","Kaiserslautern","4-2-3-1",2,NA,"Erwin Hoffer · 58&rsquor; Rodnei · 59&rsquor;","2","0","https://fbref.com/en/matches/ea11484c/Hoffenheim-Kaiserslautern-February-5-2011-Bundesliga","Kaiserslautern","Away","Jan Morávek",NA,"CZE","FW,MF","21-096",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
