"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Hoffenheim","3-5-2",1,0.9,"Kasper Dolberg · 90+4&rsquor;","1","0","Köln","4-2-3-1",3,1.7,"Florian Kainz (P) · 18&rsquor; Davie Selke · 39&rsquor; Jan Thielmann · 90+2&rsquor;","2","0","https://fbref.com/en/matches/95d759ca/Hoffenheim-Koln-April-22-2023-Bundesliga","Hoffenheim","Home","Ihlas Bebou",9,"TOG","FW,RW","28-364",90,0,0,0,0,2,0,0,0,37,0,0,0,0.2,0.2,0,2,0,22,29,75.9,2,24,1,4,3
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Hoffenheim","3-5-2",1,0.9,"Kasper Dolberg · 90+4&rsquor;","1","0","Köln","4-2-3-1",3,1.7,"Florian Kainz (P) · 18&rsquor; Davie Selke · 39&rsquor; Jan Thielmann · 90+2&rsquor;","2","0","https://fbref.com/en/matches/95d759ca/Hoffenheim-Koln-April-22-2023-Bundesliga","Hoffenheim","Home","Christoph Baumgartner",14,"AUT","FW","23-264",72,0,0,0,0,1,0,0,0,40,2,0,0,0.1,0.1,0.1,2,0,20,32,62.5,3,28,3,4,3
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Hoffenheim","3-5-2",1,0.9,"Kasper Dolberg · 90+4&rsquor;","1","0","Köln","4-2-3-1",3,1.7,"Florian Kainz (P) · 18&rsquor; Davie Selke · 39&rsquor; Jan Thielmann · 90+2&rsquor;","2","0","https://fbref.com/en/matches/95d759ca/Hoffenheim-Koln-April-22-2023-Bundesliga","Hoffenheim","Home","Tom Bischof",39,"GER","CM,FW","17-298",18,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,6,10,60,2,6,0,0,0
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Hoffenheim","3-5-2",1,0.9,"Kasper Dolberg · 90+4&rsquor;","1","0","Köln","4-2-3-1",3,1.7,"Florian Kainz (P) · 18&rsquor; Davie Selke · 39&rsquor; Jan Thielmann · 90+2&rsquor;","2","0","https://fbref.com/en/matches/95d759ca/Hoffenheim-Koln-April-22-2023-Bundesliga","Hoffenheim","Home","Finn Ole Becker",20,"GER","CM","22-318",45,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,12,15,80,1,12,1,1,1
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Hoffenheim","3-5-2",1,0.9,"Kasper Dolberg · 90+4&rsquor;","1","0","Köln","4-2-3-1",3,1.7,"Florian Kainz (P) · 18&rsquor; Davie Selke · 39&rsquor; Jan Thielmann · 90+2&rsquor;","2","0","https://fbref.com/en/matches/95d759ca/Hoffenheim-Koln-April-22-2023-Bundesliga","Hoffenheim","Home","Moanes Dabbur",10,"ISR","CM,LW","30-343",45,0,0,0,0,1,1,0,0,21,0,0,0,0.1,0.1,0.1,3,0,12,16,75,0,15,0,3,1
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Hoffenheim","3-5-2",1,0.9,"Kasper Dolberg · 90+4&rsquor;","1","0","Köln","4-2-3-1",3,1.7,"Florian Kainz (P) · 18&rsquor; Davie Selke · 39&rsquor; Jan Thielmann · 90+2&rsquor;","2","0","https://fbref.com/en/matches/95d759ca/Hoffenheim-Koln-April-22-2023-Bundesliga","Hoffenheim","Home","Dennis Geiger",8,"GER","CM","24-316",72,0,0,0,0,0,0,0,0,35,1,1,3,0,0,0,0,0,24,29,82.8,4,19,0,1,1
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Hoffenheim","3-5-2",1,0.9,"Kasper Dolberg · 90+4&rsquor;","1","0","Köln","4-2-3-1",3,1.7,"Florian Kainz (P) · 18&rsquor; Davie Selke · 39&rsquor; Jan Thielmann · 90+2&rsquor;","2","0","https://fbref.com/en/matches/95d759ca/Hoffenheim-Koln-April-22-2023-Bundesliga","Hoffenheim","Home","Sebastian Rudy",16,"GER","CM","33-053",18,0,0,0,0,0,0,0,0,19,2,0,1,0,0,0.1,1,0,12,15,80,0,11,0,0,0
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Hoffenheim","3-5-2",1,0.9,"Kasper Dolberg · 90+4&rsquor;","1","0","Köln","4-2-3-1",3,1.7,"Florian Kainz (P) · 18&rsquor; Davie Selke · 39&rsquor; Jan Thielmann · 90+2&rsquor;","2","0","https://fbref.com/en/matches/95d759ca/Hoffenheim-Koln-April-22-2023-Bundesliga","Hoffenheim","Home","Andrej Kramarić",27,"CRO","CM,LM","31-307",90,0,0,0,0,3,0,0,0,46,0,0,0,0.3,0.3,0,5,1,30,39,76.9,5,37,2,5,2
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Hoffenheim","3-5-2",1,0.9,"Kasper Dolberg · 90+4&rsquor;","1","0","Köln","4-2-3-1",3,1.7,"Florian Kainz (P) · 18&rsquor; Davie Selke · 39&rsquor; Jan Thielmann · 90+2&rsquor;","2","0","https://fbref.com/en/matches/95d759ca/Hoffenheim-Koln-April-22-2023-Bundesliga","Hoffenheim","Home","Angeliño",11,"ESP","WB","26-108",79,0,0,0,0,1,1,0,0,78,4,1,1,0.1,0.1,0,2,0,36,67,53.7,4,42,1,1,0
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Hoffenheim","3-5-2",1,0.9,"Kasper Dolberg · 90+4&rsquor;","1","0","Köln","4-2-3-1",3,1.7,"Florian Kainz (P) · 18&rsquor; Davie Selke · 39&rsquor; Jan Thielmann · 90+2&rsquor;","2","0","https://fbref.com/en/matches/95d759ca/Hoffenheim-Koln-April-22-2023-Bundesliga","Hoffenheim","Home","Kasper Dolberg",19,"DEN","FW,WB","25-198",11,1,0,0,0,1,1,0,0,9,0,0,0,0.1,0.1,0,1,1,6,7,85.7,0,7,0,1,1
