"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-01-28","Fußball-Bundesliga (Matchweek 18)","Hoffenheim","3-4-1-2",1,1.8,"Ihlas Bebou · 80&rsquor;","2","0","Mönchengladbach","4-2-3-1",4,1.7,"Jonas Hofmann · 12&rsquor; Jonas Hofmann · 37&rsquor; Lars Stindl · 83&rsquor; Hannes Wolf · 90+1&rsquor;","1","0","https://fbref.com/en/matches/2d387bd4/Hoffenheim-Monchengladbach-January-28-2023-Bundesliga","Hoffenheim","Home","Andrej Kramarić",27,"CRO","FW","31-223",90,0,0,0,0,4,0,0,0,48,0,0,0,0.3,0.3,0.1,6,0,30,40,75,2,34,3,2,2
"Fußball-Bundesliga","2023-01-28","Fußball-Bundesliga (Matchweek 18)","Hoffenheim","3-4-1-2",1,1.8,"Ihlas Bebou · 80&rsquor;","2","0","Mönchengladbach","4-2-3-1",4,1.7,"Jonas Hofmann · 12&rsquor; Jonas Hofmann · 37&rsquor; Lars Stindl · 83&rsquor; Hannes Wolf · 90+1&rsquor;","1","0","https://fbref.com/en/matches/2d387bd4/Hoffenheim-Monchengladbach-January-28-2023-Bundesliga","Hoffenheim","Home","Kasper Dolberg",19,"DEN","FW","25-114",45,0,0,0,0,1,0,0,0,10,0,0,0,0.1,0.1,0.1,2,0,5,8,62.5,0,5,0,1,0
"Fußball-Bundesliga","2023-01-28","Fußball-Bundesliga (Matchweek 18)","Hoffenheim","3-4-1-2",1,1.8,"Ihlas Bebou · 80&rsquor;","2","0","Mönchengladbach","4-2-3-1",4,1.7,"Jonas Hofmann · 12&rsquor; Jonas Hofmann · 37&rsquor; Lars Stindl · 83&rsquor; Hannes Wolf · 90+1&rsquor;","1","0","https://fbref.com/en/matches/2d387bd4/Hoffenheim-Monchengladbach-January-28-2023-Bundesliga","Hoffenheim","Home","Ihlas Bebou",9,"TOG","WB,FW","28-280",45,1,0,0,0,1,1,0,0,30,1,2,0,0.8,0.8,0,2,0,12,18,66.7,4,20,3,4,2
"Fußball-Bundesliga","2023-01-28","Fußball-Bundesliga (Matchweek 18)","Hoffenheim","3-4-1-2",1,1.8,"Ihlas Bebou · 80&rsquor;","2","0","Mönchengladbach","4-2-3-1",4,1.7,"Jonas Hofmann · 12&rsquor; Jonas Hofmann · 37&rsquor; Lars Stindl · 83&rsquor; Hannes Wolf · 90+1&rsquor;","1","0","https://fbref.com/en/matches/2d387bd4/Hoffenheim-Monchengladbach-January-28-2023-Bundesliga","Hoffenheim","Home","Tom Bischof",39,"GER","AM","17-214",74,0,0,0,0,2,1,0,0,34,4,0,2,0.1,0.1,0.2,2,0,16,20,80,2,13,1,0,0
"Fußball-Bundesliga","2023-01-28","Fußball-Bundesliga (Matchweek 18)","Hoffenheim","3-4-1-2",1,1.8,"Ihlas Bebou · 80&rsquor;","2","0","Mönchengladbach","4-2-3-1",4,1.7,"Jonas Hofmann · 12&rsquor; Jonas Hofmann · 37&rsquor; Lars Stindl · 83&rsquor; Hannes Wolf · 90+1&rsquor;","1","0","https://fbref.com/en/matches/2d387bd4/Hoffenheim-Monchengladbach-January-28-2023-Bundesliga","Hoffenheim","Home","Finn Ole Becker",20,"GER","AM","22-234",16,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0.1,2,1,6,7,85.7,1,3,1,0,0
"Fußball-Bundesliga","2023-01-28","Fußball-Bundesliga (Matchweek 18)","Hoffenheim","3-4-1-2",1,1.8,"Ihlas Bebou · 80&rsquor;","2","0","Mönchengladbach","4-2-3-1",4,1.7,"Jonas Hofmann · 12&rsquor; Jonas Hofmann · 37&rsquor; Lars Stindl · 83&rsquor; Hannes Wolf · 90+1&rsquor;","1","0","https://fbref.com/en/matches/2d387bd4/Hoffenheim-Monchengladbach-January-28-2023-Bundesliga","Hoffenheim","Home","Christoph Baumgartner",14,"AUT","CM","23-180",90,0,1,0,0,3,0,0,0,46,1,0,2,0.3,0.3,0.9,6,1,21,33,63.6,2,31,2,3,2
"Fußball-Bundesliga","2023-01-28","Fußball-Bundesliga (Matchweek 18)","Hoffenheim","3-4-1-2",1,1.8,"Ihlas Bebou · 80&rsquor;","2","0","Mönchengladbach","4-2-3-1",4,1.7,"Jonas Hofmann · 12&rsquor; Jonas Hofmann · 37&rsquor; Lars Stindl · 83&rsquor; Hannes Wolf · 90+1&rsquor;","1","0","https://fbref.com/en/matches/2d387bd4/Hoffenheim-Monchengladbach-January-28-2023-Bundesliga","Hoffenheim","Home","Sebastian Rudy",16,"GER","CM","32-334",45,0,0,0,0,1,1,0,0,28,2,1,2,0,0,0,1,0,19,23,82.6,2,20,0,0,0
"Fußball-Bundesliga","2023-01-28","Fußball-Bundesliga (Matchweek 18)","Hoffenheim","3-4-1-2",1,1.8,"Ihlas Bebou · 80&rsquor;","2","0","Mönchengladbach","4-2-3-1",4,1.7,"Jonas Hofmann · 12&rsquor; Jonas Hofmann · 37&rsquor; Lars Stindl · 83&rsquor; Hannes Wolf · 90+1&rsquor;","1","0","https://fbref.com/en/matches/2d387bd4/Hoffenheim-Monchengladbach-January-28-2023-Bundesliga","Hoffenheim","Home","Umut Tohumcu",40,"GER","CM","18-170",45,0,0,0,0,1,0,0,0,25,1,0,2,0,0,0,1,0,17,19,89.5,1,15,0,0,0
"Fußball-Bundesliga","2023-01-28","Fußball-Bundesliga (Matchweek 18)","Hoffenheim","3-4-1-2",1,1.8,"Ihlas Bebou · 80&rsquor;","2","0","Mönchengladbach","4-2-3-1",4,1.7,"Jonas Hofmann · 12&rsquor; Jonas Hofmann · 37&rsquor; Lars Stindl · 83&rsquor; Hannes Wolf · 90+1&rsquor;","1","0","https://fbref.com/en/matches/2d387bd4/Hoffenheim-Monchengladbach-January-28-2023-Bundesliga","Hoffenheim","Home","Angeliño",11,"ESP","WB","26-024",90,0,0,0,0,0,0,1,0,70,1,0,1,0,0,0.1,2,0,35,65,53.8,2,35,0,3,1
"Fußball-Bundesliga","2023-01-28","Fußball-Bundesliga (Matchweek 18)","Hoffenheim","3-4-1-2",1,1.8,"Ihlas Bebou · 80&rsquor;","2","0","Mönchengladbach","4-2-3-1",4,1.7,"Jonas Hofmann · 12&rsquor; Jonas Hofmann · 37&rsquor; Lars Stindl · 83&rsquor; Hannes Wolf · 90+1&rsquor;","1","0","https://fbref.com/en/matches/2d387bd4/Hoffenheim-Monchengladbach-January-28-2023-Bundesliga","Hoffenheim","Home","Pavel Kadeřábek",3,"CZE","WB","30-278",61,0,0,0,0,1,0,0,0,52,1,0,2,0.1,0.1,0,3,0,35,45,77.8,1,26,4,0,0
