"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-11-05","Fußball-Bundesliga (Matchweek 13)","Hoffenheim","3-5-2",1,0.9,"Georginio Rutter · 50&rsquor;","4","0","RB Leipzig","4-2-2-2",3,1.7,"Christopher Nkunku · 17&rsquor; Christopher Nkunku · 57&rsquor; Dani Olmo · 69&rsquor;","2","0","https://fbref.com/en/matches/f2dd0498/Hoffenheim-RB-Leipzig-November-5-2022-Bundesliga","Hoffenheim","Home","Jacob Bruun Larsen",7,"DEN","FW","24-047",66,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,11,14,78.6,0,13,2,2,1
"Fußball-Bundesliga","2022-11-05","Fußball-Bundesliga (Matchweek 13)","Hoffenheim","3-5-2",1,0.9,"Georginio Rutter · 50&rsquor;","4","0","RB Leipzig","4-2-2-2",3,1.7,"Christopher Nkunku · 17&rsquor; Christopher Nkunku · 57&rsquor; Dani Olmo · 69&rsquor;","2","0","https://fbref.com/en/matches/f2dd0498/Hoffenheim-RB-Leipzig-November-5-2022-Bundesliga","Hoffenheim","Home","Angelo Stiller",13,"GER","CM","21-215",24,0,0,0,0,0,0,0,0,16,2,0,1,0,0,0,0,0,11,11,100,1,11,0,0,0
"Fußball-Bundesliga","2022-11-05","Fußball-Bundesliga (Matchweek 13)","Hoffenheim","3-5-2",1,0.9,"Georginio Rutter · 50&rsquor;","4","0","RB Leipzig","4-2-2-2",3,1.7,"Christopher Nkunku · 17&rsquor; Christopher Nkunku · 57&rsquor; Dani Olmo · 69&rsquor;","2","0","https://fbref.com/en/matches/f2dd0498/Hoffenheim-RB-Leipzig-November-5-2022-Bundesliga","Hoffenheim","Home","Georginio Rutter",33,"FRA","FW","20-199",90,1,0,0,0,3,2,1,0,26,1,0,0,0.2,0.2,0,1,0,5,14,35.7,2,19,2,2,0
"Fußball-Bundesliga","2022-11-05","Fußball-Bundesliga (Matchweek 13)","Hoffenheim","3-5-2",1,0.9,"Georginio Rutter · 50&rsquor;","4","0","RB Leipzig","4-2-2-2",3,1.7,"Christopher Nkunku · 17&rsquor; Christopher Nkunku · 57&rsquor; Dani Olmo · 69&rsquor;","2","0","https://fbref.com/en/matches/f2dd0498/Hoffenheim-RB-Leipzig-November-5-2022-Bundesliga","Hoffenheim","Home","Christoph Baumgartner",14,"AUT","CM","23-096",90,0,0,0,0,2,1,0,0,36,3,0,2,0.1,0.1,0,5,1,18,24,75,5,23,3,3,2
"Fußball-Bundesliga","2022-11-05","Fußball-Bundesliga (Matchweek 13)","Hoffenheim","3-5-2",1,0.9,"Georginio Rutter · 50&rsquor;","4","0","RB Leipzig","4-2-2-2",3,1.7,"Christopher Nkunku · 17&rsquor; Christopher Nkunku · 57&rsquor; Dani Olmo · 69&rsquor;","2","0","https://fbref.com/en/matches/f2dd0498/Hoffenheim-RB-Leipzig-November-5-2022-Bundesliga","Hoffenheim","Home","Dennis Geiger",8,"GER","CM","24-148",79,0,0,0,0,0,0,1,0,49,3,3,1,0,0,0,1,0,27,35,77.1,7,28,1,1,0
"Fußball-Bundesliga","2022-11-05","Fußball-Bundesliga (Matchweek 13)","Hoffenheim","3-5-2",1,0.9,"Georginio Rutter · 50&rsquor;","4","0","RB Leipzig","4-2-2-2",3,1.7,"Christopher Nkunku · 17&rsquor; Christopher Nkunku · 57&rsquor; Dani Olmo · 69&rsquor;","2","0","https://fbref.com/en/matches/f2dd0498/Hoffenheim-RB-Leipzig-November-5-2022-Bundesliga","Hoffenheim","Home","Fisnik Asllani",44,"KVX","CM","20-089",11,0,0,0,0,1,0,0,0,7,0,0,0,0.4,0.4,0,0,0,3,6,50,0,4,1,0,0
"Fußball-Bundesliga","2022-11-05","Fußball-Bundesliga (Matchweek 13)","Hoffenheim","3-5-2",1,0.9,"Georginio Rutter · 50&rsquor;","4","0","RB Leipzig","4-2-2-2",3,1.7,"Christopher Nkunku · 17&rsquor; Christopher Nkunku · 57&rsquor; Dani Olmo · 69&rsquor;","2","0","https://fbref.com/en/matches/f2dd0498/Hoffenheim-RB-Leipzig-November-5-2022-Bundesliga","Hoffenheim","Home","Grischa Prömel",6,"GER","CM","27-300",17,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,2,3,66.7,1,2,0,0,0
"Fußball-Bundesliga","2022-11-05","Fußball-Bundesliga (Matchweek 13)","Hoffenheim","3-5-2",1,0.9,"Georginio Rutter · 50&rsquor;","4","0","RB Leipzig","4-2-2-2",3,1.7,"Christopher Nkunku · 17&rsquor; Christopher Nkunku · 57&rsquor; Dani Olmo · 69&rsquor;","2","0","https://fbref.com/en/matches/f2dd0498/Hoffenheim-RB-Leipzig-November-5-2022-Bundesliga","Hoffenheim","Home","Andrej Kramarić",27,"CRO","CM,FW","31-139",73,0,0,0,0,2,0,0,0,31,0,0,1,0.1,0.1,0,2,0,21,26,80.8,1,25,4,3,2
"Fußball-Bundesliga","2022-11-05","Fußball-Bundesliga (Matchweek 13)","Hoffenheim","3-5-2",1,0.9,"Georginio Rutter · 50&rsquor;","4","0","RB Leipzig","4-2-2-2",3,1.7,"Christopher Nkunku · 17&rsquor; Christopher Nkunku · 57&rsquor; Dani Olmo · 69&rsquor;","2","0","https://fbref.com/en/matches/f2dd0498/Hoffenheim-RB-Leipzig-November-5-2022-Bundesliga","Hoffenheim","Home","Angeliño",11,"ESP","WB","25-305",90,0,1,0,0,0,0,0,0,57,2,1,1,0,0,0.5,3,1,31,49,63.3,5,21,2,0,0
"Fußball-Bundesliga","2022-11-05","Fußball-Bundesliga (Matchweek 13)","Hoffenheim","3-5-2",1,0.9,"Georginio Rutter · 50&rsquor;","4","0","RB Leipzig","4-2-2-2",3,1.7,"Christopher Nkunku · 17&rsquor; Christopher Nkunku · 57&rsquor; Dani Olmo · 69&rsquor;","2","0","https://fbref.com/en/matches/f2dd0498/Hoffenheim-RB-Leipzig-November-5-2022-Bundesliga","Hoffenheim","Home","Robert Skov",29,"DEN","WB","26-169",66,0,0,0,0,2,0,0,0,34,1,1,0,0.1,0.1,0,1,0,20,29,69,2,19,2,1,0
"Fußball-Bundesliga","2022-11-05","Fußball-Bundesliga (Matchweek 13)","Hoffenheim","3-5-2",1,0.9,"Georginio Rutter · 50&rsquor;","4","0","RB Leipzig","4-2-2-2",3,1.7,"Christopher Nkunku · 17&rsquor; Christopher Nkunku · 57&rsquor; Dani Olmo · 69&rsquor;","2","0","https://fbref.com/en/matches/f2dd0498/Hoffenheim-RB-Leipzig-November-5-2022-Bundesliga","Hoffenheim","Home","Pavel Kadeřábek",3,"CZE","WB","30-194",24,0,0,0,0,0,0,0,0,24,1,0,1,0,0,0,1,0,16,22,72.7,0,18,0,1,0
"Fußball-Bundesliga","2022-11-05","Fußball-Bundesliga (Matchweek 13)","Hoffenheim","3-5-2",1,0.9,"Georginio Rutter · 50&rsquor;","4","0","RB Leipzig","4-2-2-2",3,1.7,"Christopher Nkunku · 17&rsquor; Christopher Nkunku · 57&rsquor; Dani Olmo · 69&rsquor;","2","0","https://fbref.com/en/matches/f2dd0498/Hoffenheim-RB-Leipzig-November-5-2022-Bundesliga","Hoffenheim","Home","Stanley N'Soki",34,"FRA","CB","23-210",90,0,0,0,0,0,0,1,0,58,0,3,3,0,0,0,0,0,41,49,83.7,6,39,1,0,0
