"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","Hoffenheim","Home","Vedad Ibišević",NA,"BIH","FW","26-170",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","Hoffenheim","Home","David Alaba",NA,"AUT","DF,MF","18-213",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","Hoffenheim","Home","Boris Vukčević",NA,"GER","MF","20-313",89,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","Hoffenheim","Home","Denis Thomalla",NA,"GER","FW,MF","18-160",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","Hoffenheim","Home","Sejad Salihović",NA,"BIH","DF,MF","26-107",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","Hoffenheim","Home","Sebastian Rudy",NA,"GER","MF","20-329",67,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","Hoffenheim","Home","Gylfi Sigurðsson",NA,"ISL","FW,MF","21-137",23,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","Hoffenheim","Home","Tobias Weis",NA,"GER","MF","25-177",79,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","Hoffenheim","Home","Peniel Mlapa",NA,"TOG","FW","19-337",11,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","Hoffenheim","Home","Andreas Ibertsberger",NA,"AUT","DF","28-180",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","Hoffenheim","Home","Marvin Compper",NA,"GER","DF","25-223",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","Hoffenheim","Home","Isaac Vorsah",NA,"GHA","DF,MF","22-216",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","Hoffenheim","Home","Andreas Beck",NA,"GER","DF,MF","23-316",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","Hoffenheim","Home","Tom Starke",NA,"GER","GK","29-311",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","St. Pauli","Away","Gerald Asamoah",NA,"GER","FW,MF","32-112",83,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","St. Pauli","Away","Rouwen Hennings",NA,"GER","FW,MF","23-148",7,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","St. Pauli","Away","Fin Bartels",NA,"GER","FW,MF","23-350",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","St. Pauli","Away","Max Kruse",NA,"GER","FW,MF","22-310",76,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","St. Pauli","Away","Deniz Naki",NA,"GER","FW","21-198",14,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","St. Pauli","Away","Charles Takyi",NA,"GHA","MF","26-072",85,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","St. Pauli","Away","Richard Sukuta-Pasu",NA,"GER","FW","20-213",5,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","St. Pauli","Away","Matthias Lehmann",NA,"GER","MF","27-240",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","St. Pauli","Away","Fabian Boll",NA,"GER","MF","31-221",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","St. Pauli","Away","Bastian Oczipka",NA,"GER","DF,FW","22-011",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","St. Pauli","Away","Ralph Gunesch",NA,"GER","DF","27-143",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","St. Pauli","Away","Carlos Zambrano",NA,"PER","DF,MF","21-197",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","St. Pauli","Away","Markus Thorandt",NA,"GER","DF,MF","29-297",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Hoffenheim","4-3-3",2,NA,"Marvin Compper · 29&rsquor; David Alaba · 90&rsquor;","1","0","St. Pauli","4-2-3-1",2,NA,"Max Kruse · 51&rsquor; Gerald Asamoah · 81&rsquor;","1","0","https://fbref.com/en/matches/6a467317/Hoffenheim-St-Pauli-January-23-2011-Bundesliga","St. Pauli","Away","Thomas Kessler",NA,"GER","GK","25-003",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
