"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 34)","Hoffenheim","4-1-2-1-2",1,NA,"Boris Vukčević · 44&rsquor;","2","0","Stuttgart","4-4-2",1,NA,"Cacau · 19&rsquor;","2","0","https://fbref.com/en/matches/3148aa90/Hoffenheim-Stuttgart-May-8-2010-Bundesliga","Hoffenheim","Home","Vedad Ibišević",NA,"BIH","FW","25-275",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 34)","Hoffenheim","4-1-2-1-2",1,NA,"Boris Vukčević · 44&rsquor;","2","0","Stuttgart","4-4-2",1,NA,"Cacau · 19&rsquor;","2","0","https://fbref.com/en/matches/3148aa90/Hoffenheim-Stuttgart-May-8-2010-Bundesliga","Hoffenheim","Home","Chinedu Obasi",NA,"NGA","FW","23-341",72,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 34)","Hoffenheim","4-1-2-1-2",1,NA,"Boris Vukčević · 44&rsquor;","2","0","Stuttgart","4-4-2",1,NA,"Cacau · 19&rsquor;","2","0","https://fbref.com/en/matches/3148aa90/Hoffenheim-Stuttgart-May-8-2010-Bundesliga","Hoffenheim","Home","Prince Tagoe",NA,"GHA","FW","23-180",18,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 34)","Hoffenheim","4-1-2-1-2",1,NA,"Boris Vukčević · 44&rsquor;","2","0","Stuttgart","4-4-2",1,NA,"Cacau · 19&rsquor;","2","0","https://fbref.com/en/matches/3148aa90/Hoffenheim-Stuttgart-May-8-2010-Bundesliga","Hoffenheim","Home","Carlos Eduardo",NA,"BRA","FW,MF","22-294",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 34)","Hoffenheim","4-1-2-1-2",1,NA,"Boris Vukčević · 44&rsquor;","2","0","Stuttgart","4-4-2",1,NA,"Cacau · 19&rsquor;","2","0","https://fbref.com/en/matches/3148aa90/Hoffenheim-Stuttgart-May-8-2010-Bundesliga","Hoffenheim","Home","Sejad Salihović",NA,"BIH","DF,MF","25-212",45,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 34)","Hoffenheim","4-1-2-1-2",1,NA,"Boris Vukčević · 44&rsquor;","2","0","Stuttgart","4-4-2",1,NA,"Cacau · 19&rsquor;","2","0","https://fbref.com/en/matches/3148aa90/Hoffenheim-Stuttgart-May-8-2010-Bundesliga","Hoffenheim","Home","Maicosuel",NA,"BRA","MF","23-326",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 34)","Hoffenheim","4-1-2-1-2",1,NA,"Boris Vukčević · 44&rsquor;","2","0","Stuttgart","4-4-2",1,NA,"Cacau · 19&rsquor;","2","0","https://fbref.com/en/matches/3148aa90/Hoffenheim-Stuttgart-May-8-2010-Bundesliga","Hoffenheim","Home","Boris Vukčević",NA,"GER","MF","20-053",78,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 34)","Hoffenheim","4-1-2-1-2",1,NA,"Boris Vukčević · 44&rsquor;","2","0","Stuttgart","4-4-2",1,NA,"Cacau · 19&rsquor;","2","0","https://fbref.com/en/matches/3148aa90/Hoffenheim-Stuttgart-May-8-2010-Bundesliga","Hoffenheim","Home","Pascal Groß",NA,"GER","FW,MF","18-327",12,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 34)","Hoffenheim","4-1-2-1-2",1,NA,"Boris Vukčević · 44&rsquor;","2","0","Stuttgart","4-4-2",1,NA,"Cacau · 19&rsquor;","2","0","https://fbref.com/en/matches/3148aa90/Hoffenheim-Stuttgart-May-8-2010-Bundesliga","Hoffenheim","Home","Luiz Gustavo",NA,"BRA","DF,MF","22-289",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 34)","Hoffenheim","4-1-2-1-2",1,NA,"Boris Vukčević · 44&rsquor;","2","0","Stuttgart","4-4-2",1,NA,"Cacau · 19&rsquor;","2","0","https://fbref.com/en/matches/3148aa90/Hoffenheim-Stuttgart-May-8-2010-Bundesliga","Hoffenheim","Home","Christian Eichner",NA,"GER","DF","27-165",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
