"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-05-20","Fußball-Bundesliga (Matchweek 33)","Hoffenheim","3-4-3",4,2.4,"Ihlas Bebou · 22&rsquor; Andrej Kramarić (P) · 36&rsquor; Andrej Kramarić · 89&rsquor; Moanes Dabbur · 90+9&rsquor;","4","0","Union Berlin","3-5-2",2,2,"Danilho Doekhi · 45+4&rsquor; Aïssa Laïdouni · 90+5&rsquor;","5","0","https://fbref.com/en/matches/a65d5d30/Hoffenheim-Union-Berlin-May-20-2023-Bundesliga","Hoffenheim","Home","Christoph Baumgartner",14,"AUT","FW","23-292",64,0,0,0,0,1,0,0,0,18,0,0,0,0.1,0.1,0,1,1,8,15,53.3,1,14,1,1,1
"Fußball-Bundesliga","2023-05-20","Fußball-Bundesliga (Matchweek 33)","Hoffenheim","3-4-3",4,2.4,"Ihlas Bebou · 22&rsquor; Andrej Kramarić (P) · 36&rsquor; Andrej Kramarić · 89&rsquor; Moanes Dabbur · 90+9&rsquor;","4","0","Union Berlin","3-5-2",2,2,"Danilho Doekhi · 45+4&rsquor; Aïssa Laïdouni · 90+5&rsquor;","5","0","https://fbref.com/en/matches/a65d5d30/Hoffenheim-Union-Berlin-May-20-2023-Bundesliga","Hoffenheim","Home","Moanes Dabbur",10,"ISR","FW","31-006",26,1,1,0,0,1,1,1,0,13,1,0,1,0.1,0.1,1,3,3,3,5,60,0,12,2,4,2
"Fußball-Bundesliga","2023-05-20","Fußball-Bundesliga (Matchweek 33)","Hoffenheim","3-4-3",4,2.4,"Ihlas Bebou · 22&rsquor; Andrej Kramarić (P) · 36&rsquor; Andrej Kramarić · 89&rsquor; Moanes Dabbur · 90+9&rsquor;","4","0","Union Berlin","3-5-2",2,2,"Danilho Doekhi · 45+4&rsquor; Aïssa Laïdouni · 90+5&rsquor;","5","0","https://fbref.com/en/matches/a65d5d30/Hoffenheim-Union-Berlin-May-20-2023-Bundesliga","Hoffenheim","Home","Andrej Kramarić",27,"CRO","LW","31-335",90,2,1,1,1,2,1,1,0,54,0,1,2,1.8,1,0.2,4,1,38,46,82.6,4,47,5,2,1
"Fußball-Bundesliga","2023-05-20","Fußball-Bundesliga (Matchweek 33)","Hoffenheim","3-4-3",4,2.4,"Ihlas Bebou · 22&rsquor; Andrej Kramarić (P) · 36&rsquor; Andrej Kramarić · 89&rsquor; Moanes Dabbur · 90+9&rsquor;","4","0","Union Berlin","3-5-2",2,2,"Danilho Doekhi · 45+4&rsquor; Aïssa Laïdouni · 90+5&rsquor;","5","0","https://fbref.com/en/matches/a65d5d30/Hoffenheim-Union-Berlin-May-20-2023-Bundesliga","Hoffenheim","Home","Ihlas Bebou",9,"TOG","RW","29-027",90,1,0,0,0,3,2,0,0,29,1,0,0,0.4,0.4,0,4,2,10,15,66.7,2,27,1,8,4
"Fußball-Bundesliga","2023-05-20","Fußball-Bundesliga (Matchweek 33)","Hoffenheim","3-4-3",4,2.4,"Ihlas Bebou · 22&rsquor; Andrej Kramarić (P) · 36&rsquor; Andrej Kramarić · 89&rsquor; Moanes Dabbur · 90+9&rsquor;","4","0","Union Berlin","3-5-2",2,2,"Danilho Doekhi · 45+4&rsquor; Aïssa Laïdouni · 90+5&rsquor;","5","0","https://fbref.com/en/matches/a65d5d30/Hoffenheim-Union-Berlin-May-20-2023-Bundesliga","Hoffenheim","Home","Angeliño",11,"ESP","LM","26-136",90,0,0,0,0,0,0,0,0,59,1,1,0,0,0,0,3,0,39,52,75,2,34,1,0,0
"Fußball-Bundesliga","2023-05-20","Fußball-Bundesliga (Matchweek 33)","Hoffenheim","3-4-3",4,2.4,"Ihlas Bebou · 22&rsquor; Andrej Kramarić (P) · 36&rsquor; Andrej Kramarić · 89&rsquor; Moanes Dabbur · 90+9&rsquor;","4","0","Union Berlin","3-5-2",2,2,"Danilho Doekhi · 45+4&rsquor; Aïssa Laïdouni · 90+5&rsquor;","5","0","https://fbref.com/en/matches/a65d5d30/Hoffenheim-Union-Berlin-May-20-2023-Bundesliga","Hoffenheim","Home","Dennis Geiger",8,"GER","CM","24-344",59,0,0,0,0,0,0,0,0,32,1,0,1,0,0,0,0,0,24,29,82.8,1,20,1,1,1
"Fußball-Bundesliga","2023-05-20","Fußball-Bundesliga (Matchweek 33)","Hoffenheim","3-4-3",4,2.4,"Ihlas Bebou · 22&rsquor; Andrej Kramarić (P) · 36&rsquor; Andrej Kramarić · 89&rsquor; Moanes Dabbur · 90+9&rsquor;","4","0","Union Berlin","3-5-2",2,2,"Danilho Doekhi · 45+4&rsquor; Aïssa Laïdouni · 90+5&rsquor;","5","0","https://fbref.com/en/matches/a65d5d30/Hoffenheim-Union-Berlin-May-20-2023-Bundesliga","Hoffenheim","Home","Sebastian Rudy",16,"GER","CM","33-081",31,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0.1,1,0,7,12,58.3,1,3,0,0,0
"Fußball-Bundesliga","2023-05-20","Fußball-Bundesliga (Matchweek 33)","Hoffenheim","3-4-3",4,2.4,"Ihlas Bebou · 22&rsquor; Andrej Kramarić (P) · 36&rsquor; Andrej Kramarić · 89&rsquor; Moanes Dabbur · 90+9&rsquor;","4","0","Union Berlin","3-5-2",2,2,"Danilho Doekhi · 45+4&rsquor; Aïssa Laïdouni · 90+5&rsquor;","5","0","https://fbref.com/en/matches/a65d5d30/Hoffenheim-Union-Berlin-May-20-2023-Bundesliga","Hoffenheim","Home","Grischa Prömel",6,"GER","CM","28-131",90,0,0,0,0,0,0,1,0,32,1,0,0,0,0,0,1,0,17,27,63,3,24,1,0,0
"Fußball-Bundesliga","2023-05-20","Fußball-Bundesliga (Matchweek 33)","Hoffenheim","3-4-3",4,2.4,"Ihlas Bebou · 22&rsquor; Andrej Kramarić (P) · 36&rsquor; Andrej Kramarić · 89&rsquor; Moanes Dabbur · 90+9&rsquor;","4","0","Union Berlin","3-5-2",2,2,"Danilho Doekhi · 45+4&rsquor; Aïssa Laïdouni · 90+5&rsquor;","5","0","https://fbref.com/en/matches/a65d5d30/Hoffenheim-Union-Berlin-May-20-2023-Bundesliga","Hoffenheim","Home","Finn Ole Becker",20,"GER","RM","22-346",90,0,0,0,0,1,0,0,0,53,2,0,0,0,0,0,2,0,30,47,63.8,1,22,0,1,1
"Fußball-Bundesliga","2023-05-20","Fußball-Bundesliga (Matchweek 33)","Hoffenheim","3-4-3",4,2.4,"Ihlas Bebou · 22&rsquor; Andrej Kramarić (P) · 36&rsquor; Andrej Kramarić · 89&rsquor; Moanes Dabbur · 90+9&rsquor;","4","0","Union Berlin","3-5-2",2,2,"Danilho Doekhi · 45+4&rsquor; Aïssa Laïdouni · 90+5&rsquor;","5","0","https://fbref.com/en/matches/a65d5d30/Hoffenheim-Union-Berlin-May-20-2023-Bundesliga","Hoffenheim","Home","Kevin Akpoguma",25,"NGA","CB","28-031",69,0,0,0,0,1,0,0,0,59,1,0,0,0,0,0,0,0,41,44,93.2,1,37,0,1,0
