"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","4-3-3",0,NA,"","1","0","Werder Bremen","4-4-2",1,NA,"Claudio Pizarro · 81&rsquor;","0","0","https://fbref.com/en/matches/3484d3e6/Hoffenheim-Werder-Bremen-March-14-2010-Bundesliga","Hoffenheim","Home","Vedad Ibišević",NA,"BIH","FW","25-220",71,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","4-3-3",0,NA,"","1","0","Werder Bremen","4-4-2",1,NA,"Claudio Pizarro · 81&rsquor;","0","0","https://fbref.com/en/matches/3484d3e6/Hoffenheim-Werder-Bremen-March-14-2010-Bundesliga","Hoffenheim","Home","Prince Tagoe",NA,"GHA","FW","23-125",19,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","4-3-3",0,NA,"","1","0","Werder Bremen","4-4-2",1,NA,"Claudio Pizarro · 81&rsquor;","0","0","https://fbref.com/en/matches/3484d3e6/Hoffenheim-Werder-Bremen-March-14-2010-Bundesliga","Hoffenheim","Home","Maicosuel",NA,"BRA","MF","23-271",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","4-3-3",0,NA,"","1","0","Werder Bremen","4-4-2",1,NA,"Claudio Pizarro · 81&rsquor;","0","0","https://fbref.com/en/matches/3484d3e6/Hoffenheim-Werder-Bremen-March-14-2010-Bundesliga","Hoffenheim","Home","Carlos Eduardo",NA,"BRA","FW,MF","22-239",82,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","4-3-3",0,NA,"","1","0","Werder Bremen","4-4-2",1,NA,"Claudio Pizarro · 81&rsquor;","0","0","https://fbref.com/en/matches/3484d3e6/Hoffenheim-Werder-Bremen-March-14-2010-Bundesliga","Hoffenheim","Home","Luiz Gustavo",NA,"BRA","DF,MF","22-234",8,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","4-3-3",0,NA,"","1","0","Werder Bremen","4-4-2",1,NA,"Claudio Pizarro · 81&rsquor;","0","0","https://fbref.com/en/matches/3484d3e6/Hoffenheim-Werder-Bremen-March-14-2010-Bundesliga","Hoffenheim","Home","Sejad Salihović",NA,"BIH","DF,MF","25-157",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","4-3-3",0,NA,"","1","0","Werder Bremen","4-4-2",1,NA,"Claudio Pizarro · 81&rsquor;","0","0","https://fbref.com/en/matches/3484d3e6/Hoffenheim-Werder-Bremen-March-14-2010-Bundesliga","Hoffenheim","Home","Tobias Weis",NA,"GER","MF","24-227",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","4-3-3",0,NA,"","1","0","Werder Bremen","4-4-2",1,NA,"Claudio Pizarro · 81&rsquor;","0","0","https://fbref.com/en/matches/3484d3e6/Hoffenheim-Werder-Bremen-March-14-2010-Bundesliga","Hoffenheim","Home","Boris Vukčević",NA,"GER","MF","19-363",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","4-3-3",0,NA,"","1","0","Werder Bremen","4-4-2",1,NA,"Claudio Pizarro · 81&rsquor;","0","0","https://fbref.com/en/matches/3484d3e6/Hoffenheim-Werder-Bremen-March-14-2010-Bundesliga","Hoffenheim","Home","Christian Eichner",NA,"GER","DF","27-110",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Hoffenheim","4-3-3",0,NA,"","1","0","Werder Bremen","4-4-2",1,NA,"Claudio Pizarro · 81&rsquor;","0","0","https://fbref.com/en/matches/3484d3e6/Hoffenheim-Werder-Bremen-March-14-2010-Bundesliga","Hoffenheim","Home","Marvin Compper",NA,"GER","DF","24-273",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
