"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-10-07","Fußball-Bundesliga (Matchweek 9)","Hoffenheim","3-5-2",1,1.7,"Moanes Dabbur · 32&rsquor;","3","0","Werder Bremen","3-5-2",2,1.3,"Marvin Ducksch · 18&rsquor; Niclas Füllkrug (P) · 87&rsquor;","3","0","https://fbref.com/en/matches/62ea6f05/Hoffenheim-Werder-Bremen-October-7-2022-Bundesliga","Hoffenheim","Home","Christoph Baumgartner",14,"AUT","FW","23-067",90,0,0,0,0,5,1,0,0,37,1,0,4,0.4,0.4,0.1,3,0,8,20,40,6,25,3,5,1
"Fußball-Bundesliga","2022-10-07","Fußball-Bundesliga (Matchweek 9)","Hoffenheim","3-5-2",1,1.7,"Moanes Dabbur · 32&rsquor;","3","0","Werder Bremen","3-5-2",2,1.3,"Marvin Ducksch · 18&rsquor; Niclas Füllkrug (P) · 87&rsquor;","3","0","https://fbref.com/en/matches/62ea6f05/Hoffenheim-Werder-Bremen-October-7-2022-Bundesliga","Hoffenheim","Home","Moanes Dabbur",10,"ISR","FW","30-146",90,1,0,0,0,2,2,0,0,40,0,1,0,0.4,0.4,0.2,6,1,20,29,69,2,26,2,3,0
"Fußball-Bundesliga","2022-10-07","Fußball-Bundesliga (Matchweek 9)","Hoffenheim","3-5-2",1,1.7,"Moanes Dabbur · 32&rsquor;","3","0","Werder Bremen","3-5-2",2,1.3,"Marvin Ducksch · 18&rsquor; Niclas Füllkrug (P) · 87&rsquor;","3","0","https://fbref.com/en/matches/62ea6f05/Hoffenheim-Werder-Bremen-October-7-2022-Bundesliga","Hoffenheim","Home","Andrej Kramarić",27,"CRO","CM","31-110",65,0,0,0,0,2,0,0,0,25,0,0,1,0.1,0.1,0.1,2,0,12,16,75,3,21,0,1,0
"Fußball-Bundesliga","2022-10-07","Fußball-Bundesliga (Matchweek 9)","Hoffenheim","3-5-2",1,1.7,"Moanes Dabbur · 32&rsquor;","3","0","Werder Bremen","3-5-2",2,1.3,"Marvin Ducksch · 18&rsquor; Niclas Füllkrug (P) · 87&rsquor;","3","0","https://fbref.com/en/matches/62ea6f05/Hoffenheim-Werder-Bremen-October-7-2022-Bundesliga","Hoffenheim","Home","Georginio Rutter",33,"FRA","CM","20-170",25,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.4,2,0,3,3,100,1,7,2,4,3
"Fußball-Bundesliga","2022-10-07","Fußball-Bundesliga (Matchweek 9)","Hoffenheim","3-5-2",1,1.7,"Moanes Dabbur · 32&rsquor;","3","0","Werder Bremen","3-5-2",2,1.3,"Marvin Ducksch · 18&rsquor; Niclas Füllkrug (P) · 87&rsquor;","3","0","https://fbref.com/en/matches/62ea6f05/Hoffenheim-Werder-Bremen-October-7-2022-Bundesliga","Hoffenheim","Home","Dennis Geiger",8,"GER","CM","24-119",87,0,1,0,0,1,1,1,0,51,1,1,2,0,0,0.4,4,1,30,41,73.2,6,27,4,1,1
"Fußball-Bundesliga","2022-10-07","Fußball-Bundesliga (Matchweek 9)","Hoffenheim","3-5-2",1,1.7,"Moanes Dabbur · 32&rsquor;","3","0","Werder Bremen","3-5-2",2,1.3,"Marvin Ducksch · 18&rsquor; Niclas Füllkrug (P) · 87&rsquor;","3","0","https://fbref.com/en/matches/62ea6f05/Hoffenheim-Werder-Bremen-October-7-2022-Bundesliga","Hoffenheim","Home","Angelo Stiller",13,"GER","CM","21-186",3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,6,6,100,1,4,0,0,0
"Fußball-Bundesliga","2022-10-07","Fußball-Bundesliga (Matchweek 9)","Hoffenheim","3-5-2",1,1.7,"Moanes Dabbur · 32&rsquor;","3","0","Werder Bremen","3-5-2",2,1.3,"Marvin Ducksch · 18&rsquor; Niclas Füllkrug (P) · 87&rsquor;","3","0","https://fbref.com/en/matches/62ea6f05/Hoffenheim-Werder-Bremen-October-7-2022-Bundesliga","Hoffenheim","Home","Grischa Prömel",6,"GER","CM","27-271",90,0,0,0,0,2,1,0,0,31,3,0,0,0.5,0.5,0,0,0,15,17,88.2,0,16,0,1,0
"Fußball-Bundesliga","2022-10-07","Fußball-Bundesliga (Matchweek 9)","Hoffenheim","3-5-2",1,1.7,"Moanes Dabbur · 32&rsquor;","3","0","Werder Bremen","3-5-2",2,1.3,"Marvin Ducksch · 18&rsquor; Niclas Füllkrug (P) · 87&rsquor;","3","0","https://fbref.com/en/matches/62ea6f05/Hoffenheim-Werder-Bremen-October-7-2022-Bundesliga","Hoffenheim","Home","Angeliño",11,"ESP","WB","25-276",88,0,0,0,0,0,0,0,0,47,2,1,1,0,0,0,1,0,22,38,57.9,2,24,1,0,0
"Fußball-Bundesliga","2022-10-07","Fußball-Bundesliga (Matchweek 9)","Hoffenheim","3-5-2",1,1.7,"Moanes Dabbur · 32&rsquor;","3","0","Werder Bremen","3-5-2",2,1.3,"Marvin Ducksch · 18&rsquor; Niclas Füllkrug (P) · 87&rsquor;","3","0","https://fbref.com/en/matches/62ea6f05/Hoffenheim-Werder-Bremen-October-7-2022-Bundesliga","Hoffenheim","Home","Jacob Bruun Larsen",7,"DEN","WB","24-018",2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,4,75,0,3,0,0,0
"Fußball-Bundesliga","2022-10-07","Fußball-Bundesliga (Matchweek 9)","Hoffenheim","3-5-2",1,1.7,"Moanes Dabbur · 32&rsquor;","3","0","Werder Bremen","3-5-2",2,1.3,"Marvin Ducksch · 18&rsquor; Niclas Füllkrug (P) · 87&rsquor;","3","0","https://fbref.com/en/matches/62ea6f05/Hoffenheim-Werder-Bremen-October-7-2022-Bundesliga","Hoffenheim","Home","Robert Skov",29,"DEN","WB","26-140",65,0,0,0,0,4,1,0,0,38,0,0,1,0.3,0.3,0.1,4,0,19,29,65.5,2,25,4,2,1
