"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Hoffenheim","4-2-2-2",3,1.5,"Andrej Kramarić · 45+2&rsquor; Christoph Baumgartner · 73&rsquor; Pavel Kadeřábek · 81&rsquor;","2","0","Wolfsburg","4-2-3-1",1,0.6,"Ridle Baku · 25&rsquor;","2","0","https://fbref.com/en/matches/6f418f24/Hoffenheim-Wolfsburg-September-25-2021-Bundesliga","Hoffenheim","Home","Andrej Kramarić",27,"CRO","FW","30-098",90,1,0,0,0,3,1,0,0,49,0,3,1,0.3,0.3,0,2,0,31,39,79.5,2,30,5,3,2
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Hoffenheim","4-2-2-2",3,1.5,"Andrej Kramarić · 45+2&rsquor; Christoph Baumgartner · 73&rsquor; Pavel Kadeřábek · 81&rsquor;","2","0","Wolfsburg","4-2-3-1",1,0.6,"Ridle Baku · 25&rsquor;","2","0","https://fbref.com/en/matches/6f418f24/Hoffenheim-Wolfsburg-September-25-2021-Bundesliga","Hoffenheim","Home","Ihlas Bebou",9,"TOG","FW","27-155",69,0,0,0,0,2,0,0,0,14,0,0,1,0.1,0.1,0,0,0,6,10,60,1,3,2,0,0
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Hoffenheim","4-2-2-2",3,1.5,"Andrej Kramarić · 45+2&rsquor; Christoph Baumgartner · 73&rsquor; Pavel Kadeřábek · 81&rsquor;","2","0","Wolfsburg","4-2-3-1",1,0.6,"Ridle Baku · 25&rsquor;","2","0","https://fbref.com/en/matches/6f418f24/Hoffenheim-Wolfsburg-September-25-2021-Bundesliga","Hoffenheim","Home","Georginio Rutter",33,"FRA","FW","19-158",21,0,0,0,0,0,0,0,0,6,1,2,0,0,0,0,0,0,2,3,66.7,0,3,0,0,0
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Hoffenheim","4-2-2-2",3,1.5,"Andrej Kramarić · 45+2&rsquor; Christoph Baumgartner · 73&rsquor; Pavel Kadeřábek · 81&rsquor;","2","0","Wolfsburg","4-2-3-1",1,0.6,"Ridle Baku · 25&rsquor;","2","0","https://fbref.com/en/matches/6f418f24/Hoffenheim-Wolfsburg-September-25-2021-Bundesliga","Hoffenheim","Home","Sargis Adamyan",23,"ARM","AM","28-125",69,0,0,0,0,0,0,0,0,26,3,0,0,0,0,0.1,2,0,11,18,61.1,2,15,1,4,3
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Hoffenheim","4-2-2-2",3,1.5,"Andrej Kramarić · 45+2&rsquor; Christoph Baumgartner · 73&rsquor; Pavel Kadeřábek · 81&rsquor;","2","0","Wolfsburg","4-2-3-1",1,0.6,"Ridle Baku · 25&rsquor;","2","0","https://fbref.com/en/matches/6f418f24/Hoffenheim-Wolfsburg-September-25-2021-Bundesliga","Hoffenheim","Home","Jacob Bruun Larsen",7,"DEN","AM","23-006",21,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,3,4,75,1,4,2,0,0
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Hoffenheim","4-2-2-2",3,1.5,"Andrej Kramarić · 45+2&rsquor; Christoph Baumgartner · 73&rsquor; Pavel Kadeřábek · 81&rsquor;","2","0","Wolfsburg","4-2-3-1",1,0.6,"Ridle Baku · 25&rsquor;","2","0","https://fbref.com/en/matches/6f418f24/Hoffenheim-Wolfsburg-September-25-2021-Bundesliga","Hoffenheim","Home","Christoph Baumgartner",14,"AUT","AM","22-055",78,1,0,0,0,2,1,0,0,33,0,0,1,0.3,0.3,0.1,2,0,14,26,53.8,1,19,1,1,1
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Hoffenheim","4-2-2-2",3,1.5,"Andrej Kramarić · 45+2&rsquor; Christoph Baumgartner · 73&rsquor; Pavel Kadeřábek · 81&rsquor;","2","0","Wolfsburg","4-2-3-1",1,0.6,"Ridle Baku · 25&rsquor;","2","0","https://fbref.com/en/matches/6f418f24/Hoffenheim-Wolfsburg-September-25-2021-Bundesliga","Hoffenheim","Home","Kevin Akpoguma",25,"NGA","RB","26-159",12,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,2,0,3,4,75,2,4,1,1,1
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Hoffenheim","4-2-2-2",3,1.5,"Andrej Kramarić · 45+2&rsquor; Christoph Baumgartner · 73&rsquor; Pavel Kadeřábek · 81&rsquor;","2","0","Wolfsburg","4-2-3-1",1,0.6,"Ridle Baku · 25&rsquor;","2","0","https://fbref.com/en/matches/6f418f24/Hoffenheim-Wolfsburg-September-25-2021-Bundesliga","Hoffenheim","Home","Florian Grillitsch",11,"AUT","DM","26-049",84,0,0,0,0,0,0,1,0,61,1,0,0,0,0,0,1,1,50,55,90.9,12,35,1,0,0
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Hoffenheim","4-2-2-2",3,1.5,"Andrej Kramarić · 45+2&rsquor; Christoph Baumgartner · 73&rsquor; Pavel Kadeřábek · 81&rsquor;","2","0","Wolfsburg","4-2-3-1",1,0.6,"Ridle Baku · 25&rsquor;","2","0","https://fbref.com/en/matches/6f418f24/Hoffenheim-Wolfsburg-September-25-2021-Bundesliga","Hoffenheim","Home","Dennis Geiger",8,"GER","DM","23-107",6,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,3,3,100,0,3,0,0,0
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Hoffenheim","4-2-2-2",3,1.5,"Andrej Kramarić · 45+2&rsquor; Christoph Baumgartner · 73&rsquor; Pavel Kadeřábek · 81&rsquor;","2","0","Wolfsburg","4-2-3-1",1,0.6,"Ridle Baku · 25&rsquor;","2","0","https://fbref.com/en/matches/6f418f24/Hoffenheim-Wolfsburg-September-25-2021-Bundesliga","Hoffenheim","Home","Diadie Samassékou",18,"MLI","DM","25-257",90,0,0,0,0,0,0,0,0,32,1,1,0,0,0,0,0,0,21,24,87.5,3,19,0,0,0
