"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Kaiserslautern","4-2-3-1",1,NA,"Jan Morávek · 90&rsquor;","1","0","Dortmund","4-2-3-1",1,NA,"Sven Bender · 81&rsquor; Neven Subotić · 85&rsquor;","3","1","https://fbref.com/en/matches/34122e69/Kaiserslautern-Dortmund-February-12-2011-Bundesliga","Kaiserslautern","Home","Srđan Lakić",NA,"CRO","FW","27-133",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Kaiserslautern","4-2-3-1",1,NA,"Jan Morávek · 90&rsquor;","1","0","Dortmund","4-2-3-1",1,NA,"Sven Bender · 81&rsquor; Neven Subotić · 85&rsquor;","3","1","https://fbref.com/en/matches/34122e69/Kaiserslautern-Dortmund-February-12-2011-Bundesliga","Kaiserslautern","Home","Adam Hloušek",NA,"CZE","DF,FW","22-054",61,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Kaiserslautern","4-2-3-1",1,NA,"Jan Morávek · 90&rsquor;","1","0","Dortmund","4-2-3-1",1,NA,"Sven Bender · 81&rsquor; Neven Subotić · 85&rsquor;","3","1","https://fbref.com/en/matches/34122e69/Kaiserslautern-Dortmund-February-12-2011-Bundesliga","Kaiserslautern","Home","Stiven Rivić",NA,"CRO","MF","25-187",24,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Kaiserslautern","4-2-3-1",1,NA,"Jan Morávek · 90&rsquor;","1","0","Dortmund","4-2-3-1",1,NA,"Sven Bender · 81&rsquor; Neven Subotić · 85&rsquor;","3","1","https://fbref.com/en/matches/34122e69/Kaiserslautern-Dortmund-February-12-2011-Bundesliga","Kaiserslautern","Home","Erwin Hoffer",NA,"AUT","FW","23-304",5,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Kaiserslautern","4-2-3-1",1,NA,"Jan Morávek · 90&rsquor;","1","0","Dortmund","4-2-3-1",1,NA,"Sven Bender · 81&rsquor; Neven Subotić · 85&rsquor;","3","1","https://fbref.com/en/matches/34122e69/Kaiserslautern-Dortmund-February-12-2011-Bundesliga","Kaiserslautern","Home","Ivo Iličević",NA,"CRO","MF","24-090",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Kaiserslautern","4-2-3-1",1,NA,"Jan Morávek · 90&rsquor;","1","0","Dortmund","4-2-3-1",1,NA,"Sven Bender · 81&rsquor; Neven Subotić · 85&rsquor;","3","1","https://fbref.com/en/matches/34122e69/Kaiserslautern-Dortmund-February-12-2011-Bundesliga","Kaiserslautern","Home","Jan Morávek",NA,"CZE","FW,MF","21-103",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Kaiserslautern","4-2-3-1",1,NA,"Jan Morávek · 90&rsquor;","1","0","Dortmund","4-2-3-1",1,NA,"Sven Bender · 81&rsquor; Neven Subotić · 85&rsquor;","3","1","https://fbref.com/en/matches/34122e69/Kaiserslautern-Dortmund-February-12-2011-Bundesliga","Kaiserslautern","Home","Jiří Bílek",NA,"CZE","DF,MF","27-100",83,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Kaiserslautern","4-2-3-1",1,NA,"Jan Morávek · 90&rsquor;","1","0","Dortmund","4-2-3-1",1,NA,"Sven Bender · 81&rsquor; Neven Subotić · 85&rsquor;","3","1","https://fbref.com/en/matches/34122e69/Kaiserslautern-Dortmund-February-12-2011-Bundesliga","Kaiserslautern","Home","Adam Nemec",NA,"SVK","FW","25-163",7,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Kaiserslautern","4-2-3-1",1,NA,"Jan Morávek · 90&rsquor;","1","0","Dortmund","4-2-3-1",1,NA,"Sven Bender · 81&rsquor; Neven Subotić · 85&rsquor;","3","1","https://fbref.com/en/matches/34122e69/Kaiserslautern-Dortmund-February-12-2011-Bundesliga","Kaiserslautern","Home","Christian Tiffert",NA,"GER","MF","28-359",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Kaiserslautern","4-2-3-1",1,NA,"Jan Morávek · 90&rsquor;","1","0","Dortmund","4-2-3-1",1,NA,"Sven Bender · 81&rsquor; Neven Subotić · 85&rsquor;","3","1","https://fbref.com/en/matches/34122e69/Kaiserslautern-Dortmund-February-12-2011-Bundesliga","Kaiserslautern","Home","Leon Jessen",NA,"DEN","DF,MF","24-246",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
