"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Kaiserslautern","4-4-2",2,NA,"Adam Nemec · 33&rsquor; Erwin Hoffer · 90&rsquor;","0","0","Freiburg","4-1-4-1",1,NA,"Adam Nemec (OG) · 21&rsquor;","0","0","https://fbref.com/en/matches/00546352/Kaiserslautern-Freiburg-March-12-2011-Bundesliga","Kaiserslautern","Home","Erwin Hoffer",NA,"AUT","FW","23-332",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Kaiserslautern","4-4-2",2,NA,"Adam Nemec · 33&rsquor; Erwin Hoffer · 90&rsquor;","0","0","Freiburg","4-1-4-1",1,NA,"Adam Nemec (OG) · 21&rsquor;","0","0","https://fbref.com/en/matches/00546352/Kaiserslautern-Freiburg-March-12-2011-Bundesliga","Kaiserslautern","Home","Adam Nemec",NA,"SVK","FW","25-191",79,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Kaiserslautern","4-4-2",2,NA,"Adam Nemec · 33&rsquor; Erwin Hoffer · 90&rsquor;","0","0","Freiburg","4-1-4-1",1,NA,"Adam Nemec (OG) · 21&rsquor;","0","0","https://fbref.com/en/matches/00546352/Kaiserslautern-Freiburg-March-12-2011-Bundesliga","Kaiserslautern","Home","Iliyan Mitsanski",NA,"BUL","FW","25-082",11,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Kaiserslautern","4-4-2",2,NA,"Adam Nemec · 33&rsquor; Erwin Hoffer · 90&rsquor;","0","0","Freiburg","4-1-4-1",1,NA,"Adam Nemec (OG) · 21&rsquor;","0","0","https://fbref.com/en/matches/00546352/Kaiserslautern-Freiburg-March-12-2011-Bundesliga","Kaiserslautern","Home","Adam Hloušek",NA,"CZE","DF,FW","22-082",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Kaiserslautern","4-4-2",2,NA,"Adam Nemec · 33&rsquor; Erwin Hoffer · 90&rsquor;","0","0","Freiburg","4-1-4-1",1,NA,"Adam Nemec (OG) · 21&rsquor;","0","0","https://fbref.com/en/matches/00546352/Kaiserslautern-Freiburg-March-12-2011-Bundesliga","Kaiserslautern","Home","Jan Morávek",NA,"CZE","FW,MF","21-131",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Kaiserslautern","4-4-2",2,NA,"Adam Nemec · 33&rsquor; Erwin Hoffer · 90&rsquor;","0","0","Freiburg","4-1-4-1",1,NA,"Adam Nemec (OG) · 21&rsquor;","0","0","https://fbref.com/en/matches/00546352/Kaiserslautern-Freiburg-March-12-2011-Bundesliga","Kaiserslautern","Home","Christian Tiffert",NA,"GER","MF","29-022",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Kaiserslautern","4-4-2",2,NA,"Adam Nemec · 33&rsquor; Erwin Hoffer · 90&rsquor;","0","0","Freiburg","4-1-4-1",1,NA,"Adam Nemec (OG) · 21&rsquor;","0","0","https://fbref.com/en/matches/00546352/Kaiserslautern-Freiburg-March-12-2011-Bundesliga","Kaiserslautern","Home","Ivo Iličević",NA,"CRO","MF","24-118",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Kaiserslautern","4-4-2",2,NA,"Adam Nemec · 33&rsquor; Erwin Hoffer · 90&rsquor;","0","0","Freiburg","4-1-4-1",1,NA,"Adam Nemec (OG) · 21&rsquor;","0","0","https://fbref.com/en/matches/00546352/Kaiserslautern-Freiburg-March-12-2011-Bundesliga","Kaiserslautern","Home","Leon Jessen",NA,"DEN","DF,MF","24-274",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Kaiserslautern","4-4-2",2,NA,"Adam Nemec · 33&rsquor; Erwin Hoffer · 90&rsquor;","0","0","Freiburg","4-1-4-1",1,NA,"Adam Nemec (OG) · 21&rsquor;","0","0","https://fbref.com/en/matches/00546352/Kaiserslautern-Freiburg-March-12-2011-Bundesliga","Kaiserslautern","Home","Rodnei",NA,"BRA","DF","25-182",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Kaiserslautern","4-4-2",2,NA,"Adam Nemec · 33&rsquor; Erwin Hoffer · 90&rsquor;","0","0","Freiburg","4-1-4-1",1,NA,"Adam Nemec (OG) · 21&rsquor;","0","0","https://fbref.com/en/matches/00546352/Kaiserslautern-Freiburg-March-12-2011-Bundesliga","Kaiserslautern","Home","Mathias Abel",NA,"GER","DF","29-263",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
