"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Kaiserslautern","4-1-4-1",1,NA,"Adam Hloušek · 18&rsquor;","3","0","Hamburger SV","4-4-2",1,NA,"Marcell Jansen · 54&rsquor;","0","0","https://fbref.com/en/matches/efbf841c/Kaiserslautern-Hamburger-SV-February-26-2011-Bundesliga","Kaiserslautern","Home","Srđan Lakić",NA,"CRO","FW","27-147",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Kaiserslautern","4-1-4-1",1,NA,"Adam Hloušek · 18&rsquor;","3","0","Hamburger SV","4-4-2",1,NA,"Marcell Jansen · 54&rsquor;","0","0","https://fbref.com/en/matches/efbf841c/Kaiserslautern-Hamburger-SV-February-26-2011-Bundesliga","Kaiserslautern","Home","Adam Hloušek",NA,"CZE","DF,FW","22-068",90,1,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Kaiserslautern","4-1-4-1",1,NA,"Adam Hloušek · 18&rsquor;","3","0","Hamburger SV","4-4-2",1,NA,"Marcell Jansen · 54&rsquor;","0","0","https://fbref.com/en/matches/efbf841c/Kaiserslautern-Hamburger-SV-February-26-2011-Bundesliga","Kaiserslautern","Home","Jan Morávek",NA,"CZE","FW,MF","21-117",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Kaiserslautern","4-1-4-1",1,NA,"Adam Hloušek · 18&rsquor;","3","0","Hamburger SV","4-4-2",1,NA,"Marcell Jansen · 54&rsquor;","0","0","https://fbref.com/en/matches/efbf841c/Kaiserslautern-Hamburger-SV-February-26-2011-Bundesliga","Kaiserslautern","Home","Christian Tiffert",NA,"GER","MF","29-008",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Kaiserslautern","4-1-4-1",1,NA,"Adam Hloušek · 18&rsquor;","3","0","Hamburger SV","4-4-2",1,NA,"Marcell Jansen · 54&rsquor;","0","0","https://fbref.com/en/matches/efbf841c/Kaiserslautern-Hamburger-SV-February-26-2011-Bundesliga","Kaiserslautern","Home","Clemens Walch",NA,"AUT","MF","23-231",69,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Kaiserslautern","4-1-4-1",1,NA,"Adam Hloušek · 18&rsquor;","3","0","Hamburger SV","4-4-2",1,NA,"Marcell Jansen · 54&rsquor;","0","0","https://fbref.com/en/matches/efbf841c/Kaiserslautern-Hamburger-SV-February-26-2011-Bundesliga","Kaiserslautern","Home","Stiven Rivić",NA,"CRO","MF","25-201",21,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Kaiserslautern","4-1-4-1",1,NA,"Adam Hloušek · 18&rsquor;","3","0","Hamburger SV","4-4-2",1,NA,"Marcell Jansen · 54&rsquor;","0","0","https://fbref.com/en/matches/efbf841c/Kaiserslautern-Hamburger-SV-February-26-2011-Bundesliga","Kaiserslautern","Home","Jiří Bílek",NA,"CZE","DF,MF","27-114",62,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Kaiserslautern","4-1-4-1",1,NA,"Adam Hloušek · 18&rsquor;","3","0","Hamburger SV","4-4-2",1,NA,"Marcell Jansen · 54&rsquor;","0","0","https://fbref.com/en/matches/efbf841c/Kaiserslautern-Hamburger-SV-February-26-2011-Bundesliga","Kaiserslautern","Home","Thanos Petsos",NA,"GRE","DF,MF","19-266",28,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Kaiserslautern","4-1-4-1",1,NA,"Adam Hloušek · 18&rsquor;","3","0","Hamburger SV","4-4-2",1,NA,"Marcell Jansen · 54&rsquor;","0","0","https://fbref.com/en/matches/efbf841c/Kaiserslautern-Hamburger-SV-February-26-2011-Bundesliga","Kaiserslautern","Home","Leon Jessen",NA,"DEN","DF,MF","24-260",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Kaiserslautern","4-1-4-1",1,NA,"Adam Hloušek · 18&rsquor;","3","0","Hamburger SV","4-4-2",1,NA,"Marcell Jansen · 54&rsquor;","0","0","https://fbref.com/en/matches/efbf841c/Kaiserslautern-Hamburger-SV-February-26-2011-Bundesliga","Kaiserslautern","Home","Rodnei",NA,"BRA","DF","25-168",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
