"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Kaiserslautern","4-2-3-1",3,NA,"Iliyan Mitsanski · 58&rsquor; Ivo Iličević · 76&rsquor; Mathias Abel · 78&rsquor;","3","0","Stuttgart","4-4-2",3,NA,"Arthur Boka · 19&rsquor; Cacau · 32&rsquor; Christian Gentner (P) · 50&rsquor;","2","0","https://fbref.com/en/matches/37ec57fe/Kaiserslautern-Stuttgart-November-13-2010-Bundesliga","Kaiserslautern","Home","Srđan Lakić",NA,"CRO","FW","27-042",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Kaiserslautern","4-2-3-1",3,NA,"Iliyan Mitsanski · 58&rsquor; Ivo Iličević · 76&rsquor; Mathias Abel · 78&rsquor;","3","0","Stuttgart","4-4-2",3,NA,"Arthur Boka · 19&rsquor; Cacau · 32&rsquor; Christian Gentner (P) · 50&rsquor;","2","0","https://fbref.com/en/matches/37ec57fe/Kaiserslautern-Stuttgart-November-13-2010-Bundesliga","Kaiserslautern","Home","Stiven Rivić",NA,"CRO","MF","25-096",86,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Kaiserslautern","4-2-3-1",3,NA,"Iliyan Mitsanski · 58&rsquor; Ivo Iličević · 76&rsquor; Mathias Abel · 78&rsquor;","3","0","Stuttgart","4-4-2",3,NA,"Arthur Boka · 19&rsquor; Cacau · 32&rsquor; Christian Gentner (P) · 50&rsquor;","2","0","https://fbref.com/en/matches/37ec57fe/Kaiserslautern-Stuttgart-November-13-2010-Bundesliga","Kaiserslautern","Home","Leon Jessen",NA,"DEN","DF,MF","24-155",4,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Kaiserslautern","4-2-3-1",3,NA,"Iliyan Mitsanski · 58&rsquor; Ivo Iličević · 76&rsquor; Mathias Abel · 78&rsquor;","3","0","Stuttgart","4-4-2",3,NA,"Arthur Boka · 19&rsquor; Cacau · 32&rsquor; Christian Gentner (P) · 50&rsquor;","2","0","https://fbref.com/en/matches/37ec57fe/Kaiserslautern-Stuttgart-November-13-2010-Bundesliga","Kaiserslautern","Home","Oliver Kirch",NA,"GER","DF,MF","28-084",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Kaiserslautern","4-2-3-1",3,NA,"Iliyan Mitsanski · 58&rsquor; Ivo Iličević · 76&rsquor; Mathias Abel · 78&rsquor;","3","0","Stuttgart","4-4-2",3,NA,"Arthur Boka · 19&rsquor; Cacau · 32&rsquor; Christian Gentner (P) · 50&rsquor;","2","0","https://fbref.com/en/matches/37ec57fe/Kaiserslautern-Stuttgart-November-13-2010-Bundesliga","Kaiserslautern","Home","Jan Morávek",NA,"CZE","FW,MF","21-012",51,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Kaiserslautern","4-2-3-1",3,NA,"Iliyan Mitsanski · 58&rsquor; Ivo Iličević · 76&rsquor; Mathias Abel · 78&rsquor;","3","0","Stuttgart","4-4-2",3,NA,"Arthur Boka · 19&rsquor; Cacau · 32&rsquor; Christian Gentner (P) · 50&rsquor;","2","0","https://fbref.com/en/matches/37ec57fe/Kaiserslautern-Stuttgart-November-13-2010-Bundesliga","Kaiserslautern","Home","Iliyan Mitsanski",NA,"BUL","FW","24-328",39,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Kaiserslautern","4-2-3-1",3,NA,"Iliyan Mitsanski · 58&rsquor; Ivo Iličević · 76&rsquor; Mathias Abel · 78&rsquor;","3","0","Stuttgart","4-4-2",3,NA,"Arthur Boka · 19&rsquor; Cacau · 32&rsquor; Christian Gentner (P) · 50&rsquor;","2","0","https://fbref.com/en/matches/37ec57fe/Kaiserslautern-Stuttgart-November-13-2010-Bundesliga","Kaiserslautern","Home","Bastian Schulz",NA,"GER","MF","25-126",51,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Kaiserslautern","4-2-3-1",3,NA,"Iliyan Mitsanski · 58&rsquor; Ivo Iličević · 76&rsquor; Mathias Abel · 78&rsquor;","3","0","Stuttgart","4-4-2",3,NA,"Arthur Boka · 19&rsquor; Cacau · 32&rsquor; Christian Gentner (P) · 50&rsquor;","2","0","https://fbref.com/en/matches/37ec57fe/Kaiserslautern-Stuttgart-November-13-2010-Bundesliga","Kaiserslautern","Home","Ivo Iličević",NA,"CRO","MF","23-364",39,1,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Kaiserslautern","4-2-3-1",3,NA,"Iliyan Mitsanski · 58&rsquor; Ivo Iličević · 76&rsquor; Mathias Abel · 78&rsquor;","3","0","Stuttgart","4-4-2",3,NA,"Arthur Boka · 19&rsquor; Cacau · 32&rsquor; Christian Gentner (P) · 50&rsquor;","2","0","https://fbref.com/en/matches/37ec57fe/Kaiserslautern-Stuttgart-November-13-2010-Bundesliga","Kaiserslautern","Home","Christian Tiffert",NA,"GER","MF","28-268",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Kaiserslautern","4-2-3-1",3,NA,"Iliyan Mitsanski · 58&rsquor; Ivo Iličević · 76&rsquor; Mathias Abel · 78&rsquor;","3","0","Stuttgart","4-4-2",3,NA,"Arthur Boka · 19&rsquor; Cacau · 32&rsquor; Christian Gentner (P) · 50&rsquor;","2","0","https://fbref.com/en/matches/37ec57fe/Kaiserslautern-Stuttgart-November-13-2010-Bundesliga","Kaiserslautern","Home","Alexander Bugera",NA,"GER","DF","32-097",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
