"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Köln","4-2-3-1",3,NA,"Christian Clemens · 55&rsquor; Milivoje Novaković · 62&rsquor; Milivoje Novaković · 73&rsquor;","0","0","Bayern Munich","4-2-3-1",2,NA,"Mario Gómez · 22&rsquor; Hamit Altıntop · 43&rsquor;","2","0","https://fbref.com/en/matches/73866612/Koln-Bayern-Munich-February-5-2011-Bundesliga","Köln","Home","Milivoje Novaković",NA,"SVN","FW","31-263",80,2,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Köln","4-2-3-1",3,NA,"Christian Clemens · 55&rsquor; Milivoje Novaković · 62&rsquor; Milivoje Novaković · 73&rsquor;","0","0","Bayern Munich","4-2-3-1",2,NA,"Mario Gómez · 22&rsquor; Hamit Altıntop · 43&rsquor;","2","0","https://fbref.com/en/matches/73866612/Koln-Bayern-Munich-February-5-2011-Bundesliga","Köln","Home","Mato Jajalo",NA,"BIH","MF","22-256",10,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Köln","4-2-3-1",3,NA,"Christian Clemens · 55&rsquor; Milivoje Novaković · 62&rsquor; Milivoje Novaković · 73&rsquor;","0","0","Bayern Munich","4-2-3-1",2,NA,"Mario Gómez · 22&rsquor; Hamit Altıntop · 43&rsquor;","2","0","https://fbref.com/en/matches/73866612/Koln-Bayern-Munich-February-5-2011-Bundesliga","Köln","Home","Sławomir Peszko",NA,"POL","MF","25-351",89,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Köln","4-2-3-1",3,NA,"Christian Clemens · 55&rsquor; Milivoje Novaković · 62&rsquor; Milivoje Novaković · 73&rsquor;","0","0","Bayern Munich","4-2-3-1",2,NA,"Mario Gómez · 22&rsquor; Hamit Altıntop · 43&rsquor;","2","0","https://fbref.com/en/matches/73866612/Koln-Bayern-Munich-February-5-2011-Bundesliga","Köln","Home","Fabrice Ehret",NA,"FRA","DF,MF","31-130",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Köln","4-2-3-1",3,NA,"Christian Clemens · 55&rsquor; Milivoje Novaković · 62&rsquor; Milivoje Novaković · 73&rsquor;","0","0","Bayern Munich","4-2-3-1",2,NA,"Mario Gómez · 22&rsquor; Hamit Altıntop · 43&rsquor;","2","0","https://fbref.com/en/matches/73866612/Koln-Bayern-Munich-February-5-2011-Bundesliga","Köln","Home","Christian Clemens",NA,"GER","FW,MF","19-185",89,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Köln","4-2-3-1",3,NA,"Christian Clemens · 55&rsquor; Milivoje Novaković · 62&rsquor; Milivoje Novaković · 73&rsquor;","0","0","Bayern Munich","4-2-3-1",2,NA,"Mario Gómez · 22&rsquor; Hamit Altıntop · 43&rsquor;","2","0","https://fbref.com/en/matches/73866612/Koln-Bayern-Munich-February-5-2011-Bundesliga","Köln","Home","Taner Yalçın",NA,"GER","MF","20-352",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Köln","4-2-3-1",3,NA,"Christian Clemens · 55&rsquor; Milivoje Novaković · 62&rsquor; Milivoje Novaković · 73&rsquor;","0","0","Bayern Munich","4-2-3-1",2,NA,"Mario Gómez · 22&rsquor; Hamit Altıntop · 43&rsquor;","2","0","https://fbref.com/en/matches/73866612/Koln-Bayern-Munich-February-5-2011-Bundesliga","Köln","Home","Lukas Podolski",NA,"GER","FW,MF","25-246",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Köln","4-2-3-1",3,NA,"Christian Clemens · 55&rsquor; Milivoje Novaković · 62&rsquor; Milivoje Novaković · 73&rsquor;","0","0","Bayern Munich","4-2-3-1",2,NA,"Mario Gómez · 22&rsquor; Hamit Altıntop · 43&rsquor;","2","0","https://fbref.com/en/matches/73866612/Koln-Bayern-Munich-February-5-2011-Bundesliga","Köln","Home","Adam Matuszczyk",NA,"POL","MF","21-356",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Köln","4-2-3-1",3,NA,"Christian Clemens · 55&rsquor; Milivoje Novaković · 62&rsquor; Milivoje Novaković · 73&rsquor;","0","0","Bayern Munich","4-2-3-1",2,NA,"Mario Gómez · 22&rsquor; Hamit Altıntop · 43&rsquor;","2","0","https://fbref.com/en/matches/73866612/Koln-Bayern-Munich-February-5-2011-Bundesliga","Köln","Home","Martin Lanig",NA,"GER","MF","26-209",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Köln","4-2-3-1",3,NA,"Christian Clemens · 55&rsquor; Milivoje Novaković · 62&rsquor; Milivoje Novaković · 73&rsquor;","0","0","Bayern Munich","4-2-3-1",2,NA,"Mario Gómez · 22&rsquor; Hamit Altıntop · 43&rsquor;","2","0","https://fbref.com/en/matches/73866612/Koln-Bayern-Munich-February-5-2011-Bundesliga","Köln","Home","Christian Eichner",NA,"GER","DF","28-073",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
