"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-08-28","Fußball-Bundesliga (Matchweek 3)","Köln","4-1-3-2",2,3.2,"Louis Schaub · 82&rsquor; Tim Lemperle · 90+1&rsquor;","2","0","Bochum","4-3-3",1,0.6,"Simon Zoller · 90+4&rsquor;","1","0","https://fbref.com/en/matches/d4f200bb/Koln-Bochum-August-28-2021-Bundesliga","Köln","Home","Sebastian Andersson",9,"SWE","FW","30-044",70,0,0,0,0,2,0,0,0,15,1,0,0,0.2,0.2,0,1,0,7,10,70,1,9,1,0,0
"Fußball-Bundesliga","2021-08-28","Fußball-Bundesliga (Matchweek 3)","Köln","4-1-3-2",2,3.2,"Louis Schaub · 82&rsquor; Tim Lemperle · 90+1&rsquor;","2","0","Bochum","4-3-3",1,0.6,"Simon Zoller · 90+4&rsquor;","1","0","https://fbref.com/en/matches/d4f200bb/Koln-Bochum-August-28-2021-Bundesliga","Köln","Home","Tim Lemperle",25,"GER","FW","19-204",20,1,0,0,0,1,1,0,0,11,0,1,0,0.6,0.6,0.1,4,0,7,9,77.8,1,7,1,0,0
"Fußball-Bundesliga","2021-08-28","Fußball-Bundesliga (Matchweek 3)","Köln","4-1-3-2",2,3.2,"Louis Schaub · 82&rsquor; Tim Lemperle · 90+1&rsquor;","2","0","Bochum","4-3-3",1,0.6,"Simon Zoller · 90+4&rsquor;","1","0","https://fbref.com/en/matches/d4f200bb/Koln-Bochum-August-28-2021-Bundesliga","Köln","Home","Anthony Modeste",27,"FRA","FW","33-136",90,0,0,0,0,6,1,0,0,20,0,0,1,1.2,1.2,0,1,0,7,11,63.6,0,7,0,1,0
"Fußball-Bundesliga","2021-08-28","Fußball-Bundesliga (Matchweek 3)","Köln","4-1-3-2",2,3.2,"Louis Schaub · 82&rsquor; Tim Lemperle · 90+1&rsquor;","2","0","Bochum","4-3-3",1,0.6,"Simon Zoller · 90+4&rsquor;","1","0","https://fbref.com/en/matches/d4f200bb/Koln-Bochum-August-28-2021-Bundesliga","Köln","Home","Florian Kainz",11,"AUT","LM","28-308",87,0,1,0,0,4,1,0,0,49,0,0,1,0.1,0.1,0.8,6,1,28,41,68.3,7,24,2,2,1
"Fußball-Bundesliga","2021-08-28","Fußball-Bundesliga (Matchweek 3)","Köln","4-1-3-2",2,3.2,"Louis Schaub · 82&rsquor; Tim Lemperle · 90+1&rsquor;","2","0","Bochum","4-3-3",1,0.6,"Simon Zoller · 90+4&rsquor;","1","0","https://fbref.com/en/matches/d4f200bb/Koln-Bochum-August-28-2021-Bundesliga","Köln","Home","Tomáš Ostrák",31,"CZE","LM","21-204",3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0.6,1,1,2,2,100,0,2,0,0,0
"Fußball-Bundesliga","2021-08-28","Fußball-Bundesliga (Matchweek 3)","Köln","4-1-3-2",2,3.2,"Louis Schaub · 82&rsquor; Tim Lemperle · 90+1&rsquor;","2","0","Bochum","4-3-3",1,0.6,"Simon Zoller · 90+4&rsquor;","1","0","https://fbref.com/en/matches/d4f200bb/Koln-Bochum-August-28-2021-Bundesliga","Köln","Home","Ondrej Duda",18,"SVK","CM","26-266",87,0,0,0,0,4,1,1,0,51,1,2,0,0.2,0.2,0,5,0,27,36,75,1,21,1,4,2
"Fußball-Bundesliga","2021-08-28","Fußball-Bundesliga (Matchweek 3)","Köln","4-1-3-2",2,3.2,"Louis Schaub · 82&rsquor; Tim Lemperle · 90+1&rsquor;","2","0","Bochum","4-3-3",1,0.6,"Simon Zoller · 90+4&rsquor;","1","0","https://fbref.com/en/matches/d4f200bb/Koln-Bochum-August-28-2021-Bundesliga","Köln","Home","Salih Özcan",6,"TUR","CM","23-229",3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0
"Fußball-Bundesliga","2021-08-28","Fußball-Bundesliga (Matchweek 3)","Köln","4-1-3-2",2,3.2,"Louis Schaub · 82&rsquor; Tim Lemperle · 90+1&rsquor;","2","0","Bochum","4-3-3",1,0.6,"Simon Zoller · 90+4&rsquor;","1","0","https://fbref.com/en/matches/d4f200bb/Koln-Bochum-August-28-2021-Bundesliga","Köln","Home","Dejan Ljubicic",7,"AUT","RM","23-324",77,0,0,0,0,1,0,0,0,47,1,0,1,0.1,0.1,0.3,6,0,27,37,73,8,25,2,3,1
"Fußball-Bundesliga","2021-08-28","Fußball-Bundesliga (Matchweek 3)","Köln","4-1-3-2",2,3.2,"Louis Schaub · 82&rsquor; Tim Lemperle · 90+1&rsquor;","2","0","Bochum","4-3-3",1,0.6,"Simon Zoller · 90+4&rsquor;","1","0","https://fbref.com/en/matches/d4f200bb/Koln-Bochum-August-28-2021-Bundesliga","Köln","Home","Louis Schaub",21,"AUT","RM","26-242",13,1,0,0,0,1,1,0,0,10,2,1,0,0.6,0.6,0,1,1,3,4,75,1,4,0,1,0
"Fußball-Bundesliga","2021-08-28","Fußball-Bundesliga (Matchweek 3)","Köln","4-1-3-2",2,3.2,"Louis Schaub · 82&rsquor; Tim Lemperle · 90+1&rsquor;","2","0","Bochum","4-3-3",1,0.6,"Simon Zoller · 90+4&rsquor;","1","0","https://fbref.com/en/matches/d4f200bb/Koln-Bochum-August-28-2021-Bundesliga","Köln","Home","Ellyes Skhiri",28,"TUN","DM","26-110",90,0,0,0,0,1,0,0,0,78,1,3,1,0,0,0,1,0,63,67,94,8,46,3,2,2
