"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Köln","4-2-3-1",1,NA,"Christian Clemens · 56&rsquor;","5","0","Eintracht Frankfurt","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/9741e90c/Koln-Eintracht-Frankfurt-December-11-2010-Bundesliga","Köln","Home","Sebastian Freis",NA,"GER","FW,MF","25-232",84,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Köln","4-2-3-1",1,NA,"Christian Clemens · 56&rsquor;","5","0","Eintracht Frankfurt","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/9741e90c/Koln-Eintracht-Frankfurt-December-11-2010-Bundesliga","Köln","Home","Simon Terodde",NA,"GER","FW","22-284",6,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Köln","4-2-3-1",1,NA,"Christian Clemens · 56&rsquor;","5","0","Eintracht Frankfurt","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/9741e90c/Koln-Eintracht-Frankfurt-December-11-2010-Bundesliga","Köln","Home","Lukas Podolski",NA,"GER","FW,MF","25-190",21,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Köln","4-2-3-1",1,NA,"Christian Clemens · 56&rsquor;","5","0","Eintracht Frankfurt","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/9741e90c/Koln-Eintracht-Frankfurt-December-11-2010-Bundesliga","Köln","Home","Mato Jajalo",NA,"BIH","MF","22-200",69,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Köln","4-2-3-1",1,NA,"Christian Clemens · 56&rsquor;","5","0","Eintracht Frankfurt","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/9741e90c/Koln-Eintracht-Frankfurt-December-11-2010-Bundesliga","Köln","Home","Christian Clemens",NA,"GER","FW,MF","19-129",90,1,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Köln","4-2-3-1",1,NA,"Christian Clemens · 56&rsquor;","5","0","Eintracht Frankfurt","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/9741e90c/Koln-Eintracht-Frankfurt-December-11-2010-Bundesliga","Köln","Home","Martin Lanig",NA,"GER","MF","26-153",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Köln","4-2-3-1",1,NA,"Christian Clemens · 56&rsquor;","5","0","Eintracht Frankfurt","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/9741e90c/Koln-Eintracht-Frankfurt-December-11-2010-Bundesliga","Köln","Home","Adam Matuszczyk",NA,"POL","MF","21-300",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Köln","4-2-3-1",1,NA,"Christian Clemens · 56&rsquor;","5","0","Eintracht Frankfurt","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/9741e90c/Koln-Eintracht-Frankfurt-December-11-2010-Bundesliga","Köln","Home","Petit",NA,"POR","MF","34-077",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Köln","4-2-3-1",1,NA,"Christian Clemens · 56&rsquor;","5","0","Eintracht Frankfurt","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/9741e90c/Koln-Eintracht-Frankfurt-December-11-2010-Bundesliga","Köln","Home","Fabrice Ehret",NA,"FRA","DF,MF","31-074",45,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Köln","4-2-3-1",1,NA,"Christian Clemens · 56&rsquor;","5","0","Eintracht Frankfurt","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/9741e90c/Koln-Eintracht-Frankfurt-December-11-2010-Bundesliga","Köln","Home","Christopher Schorch",NA,"GER","DF","21-315",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
