"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-02-19","Fußball-Bundesliga (Matchweek 23)","Köln","4-2-3-1",1,1.1,"Anthony Modeste · 84&rsquor;","1","0","Eintracht Frankfurt","3-1-4-2",0,0.6,"","2","0","https://fbref.com/en/matches/7c56c1bf/Koln-Eintracht-Frankfurt-February-19-2022-Bundesliga","Köln","Home","Sebastian Andersson",9,"SWE","FW","30-219",60,0,0,0,0,1,1,1,0,18,0,0,2,0,0,0.3,1,0,4,9,44.4,0,6,0,0,0
"Fußball-Bundesliga","2022-02-19","Fußball-Bundesliga (Matchweek 23)","Köln","4-2-3-1",1,1.1,"Anthony Modeste · 84&rsquor;","1","0","Eintracht Frankfurt","3-1-4-2",0,0.6,"","2","0","https://fbref.com/en/matches/7c56c1bf/Koln-Eintracht-Frankfurt-February-19-2022-Bundesliga","Köln","Home","Anthony Modeste",27,"FRA","FW","33-311",30,1,0,0,0,1,1,0,0,11,1,0,0,0.3,0.3,0,1,0,3,8,37.5,0,8,1,1,1
"Fußball-Bundesliga","2022-02-19","Fußball-Bundesliga (Matchweek 23)","Köln","4-2-3-1",1,1.1,"Anthony Modeste · 84&rsquor;","1","0","Eintracht Frankfurt","3-1-4-2",0,0.6,"","2","0","https://fbref.com/en/matches/7c56c1bf/Koln-Eintracht-Frankfurt-February-19-2022-Bundesliga","Köln","Home","Florian Kainz",11,"AUT","LW","29-118",79,0,0,0,0,2,1,0,0,47,1,0,0,0.1,0.1,0,6,0,22,36,61.1,4,26,1,4,1
"Fußball-Bundesliga","2022-02-19","Fußball-Bundesliga (Matchweek 23)","Köln","4-2-3-1",1,1.1,"Anthony Modeste · 84&rsquor;","1","0","Eintracht Frankfurt","3-1-4-2",0,0.6,"","2","0","https://fbref.com/en/matches/7c56c1bf/Koln-Eintracht-Frankfurt-February-19-2022-Bundesliga","Köln","Home","Jan Thielmann",29,"GER","LW","19-269",11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,3,33.3,0,3,0,0,0
"Fußball-Bundesliga","2022-02-19","Fußball-Bundesliga (Matchweek 23)","Köln","4-2-3-1",1,1.1,"Anthony Modeste · 84&rsquor;","1","0","Eintracht Frankfurt","3-1-4-2",0,0.6,"","2","0","https://fbref.com/en/matches/7c56c1bf/Koln-Eintracht-Frankfurt-February-19-2022-Bundesliga","Köln","Home","Dejan Ljubicic",7,"AUT","RW","24-134",79,0,0,0,0,2,1,0,0,32,0,1,0,0.1,0.1,0.1,1,0,16,24,66.7,4,18,2,5,2
"Fußball-Bundesliga","2022-02-19","Fußball-Bundesliga (Matchweek 23)","Köln","4-2-3-1",1,1.1,"Anthony Modeste · 84&rsquor;","1","0","Eintracht Frankfurt","3-1-4-2",0,0.6,"","2","0","https://fbref.com/en/matches/7c56c1bf/Koln-Eintracht-Frankfurt-February-19-2022-Bundesliga","Köln","Home","Kingsley Schindler",17,"GHA","RW","28-222",11,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,3,33.3,0,1,0,0,0
"Fußball-Bundesliga","2022-02-19","Fußball-Bundesliga (Matchweek 23)","Köln","4-2-3-1",1,1.1,"Anthony Modeste · 84&rsquor;","1","0","Eintracht Frankfurt","3-1-4-2",0,0.6,"","2","0","https://fbref.com/en/matches/7c56c1bf/Koln-Eintracht-Frankfurt-February-19-2022-Bundesliga","Köln","Home","Mark Uth",13,"GER","AM","30-179",87,0,0,0,0,1,1,0,0,55,3,1,3,0,0,0.2,3,0,27,41,65.9,4,35,1,9,6
"Fußball-Bundesliga","2022-02-19","Fußball-Bundesliga (Matchweek 23)","Köln","4-2-3-1",1,1.1,"Anthony Modeste · 84&rsquor;","1","0","Eintracht Frankfurt","3-1-4-2",0,0.6,"","2","0","https://fbref.com/en/matches/7c56c1bf/Koln-Eintracht-Frankfurt-February-19-2022-Bundesliga","Köln","Home","Ondrej Duda",18,"SVK","AM","27-076",3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
"Fußball-Bundesliga","2022-02-19","Fußball-Bundesliga (Matchweek 23)","Köln","4-2-3-1",1,1.1,"Anthony Modeste · 84&rsquor;","1","0","Eintracht Frankfurt","3-1-4-2",0,0.6,"","2","0","https://fbref.com/en/matches/7c56c1bf/Koln-Eintracht-Frankfurt-February-19-2022-Bundesliga","Köln","Home","Salih Özcan",6,"TUR","DM","24-039",90,0,0,0,0,2,1,0,0,88,4,2,2,0.2,0.2,0,1,0,66,77,85.7,4,45,2,3,3
"Fußball-Bundesliga","2022-02-19","Fußball-Bundesliga (Matchweek 23)","Köln","4-2-3-1",1,1.1,"Anthony Modeste · 84&rsquor;","1","0","Eintracht Frankfurt","3-1-4-2",0,0.6,"","2","0","https://fbref.com/en/matches/7c56c1bf/Koln-Eintracht-Frankfurt-February-19-2022-Bundesliga","Köln","Home","Ellyes Skhiri",28,"TUN","DM","26-285",90,0,1,0,0,2,1,0,0,60,2,4,3,0.2,0.2,0.3,3,0,37,48,77.1,1,29,2,1,1
