"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-03-06","Fußball-Bundesliga (Matchweek 25)","Köln","4-2-3-1",0,1.6,"","1","0","Hoffenheim","3-5-2",1,2.5,"Stefan Posch · 61&rsquor;","4","0","https://fbref.com/en/matches/01625773/Koln-Hoffenheim-March-6-2022-Bundesliga","Köln","Home","Anthony Modeste",27,"FRA","FW","33-326",90,0,0,0,0,4,2,0,0,19,0,0,3,1,1,0,0,0,5,9,55.6,1,3,0,0,0
"Fußball-Bundesliga","2022-03-06","Fußball-Bundesliga (Matchweek 25)","Köln","4-2-3-1",0,1.6,"","1","0","Hoffenheim","3-5-2",1,2.5,"Stefan Posch · 61&rsquor;","4","0","https://fbref.com/en/matches/01625773/Koln-Hoffenheim-March-6-2022-Bundesliga","Köln","Home","Florian Kainz",11,"AUT","LW","29-133",72,0,0,0,0,0,0,0,0,41,1,1,3,0,0,0,0,0,23,31,74.2,5,28,1,1,0
"Fußball-Bundesliga","2022-03-06","Fußball-Bundesliga (Matchweek 25)","Köln","4-2-3-1",0,1.6,"","1","0","Hoffenheim","3-5-2",1,2.5,"Stefan Posch · 61&rsquor;","4","0","https://fbref.com/en/matches/01625773/Koln-Hoffenheim-March-6-2022-Bundesliga","Köln","Home","Sebastian Andersson",9,"SWE","FW","30-234",18,0,0,0,0,2,1,0,0,6,0,1,0,0.2,0.2,0,0,0,1,2,50,0,2,0,0,0
"Fußball-Bundesliga","2022-03-06","Fußball-Bundesliga (Matchweek 25)","Köln","4-2-3-1",0,1.6,"","1","0","Hoffenheim","3-5-2",1,2.5,"Stefan Posch · 61&rsquor;","4","0","https://fbref.com/en/matches/01625773/Koln-Hoffenheim-March-6-2022-Bundesliga","Köln","Home","Dejan Ljubicic",7,"AUT","RW","24-149",71,0,0,0,0,0,0,1,0,31,0,2,1,0,0,0.7,2,0,12,21,57.1,2,23,3,3,1
"Fußball-Bundesliga","2022-03-06","Fußball-Bundesliga (Matchweek 25)","Köln","4-2-3-1",0,1.6,"","1","0","Hoffenheim","3-5-2",1,2.5,"Stefan Posch · 61&rsquor;","4","0","https://fbref.com/en/matches/01625773/Koln-Hoffenheim-March-6-2022-Bundesliga","Köln","Home","Jan Thielmann",29,"GER","RM,LM","19-284",19,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0.3,1,0,6,11,54.5,1,8,1,1,1
"Fußball-Bundesliga","2022-03-06","Fußball-Bundesliga (Matchweek 25)","Köln","4-2-3-1",0,1.6,"","1","0","Hoffenheim","3-5-2",1,2.5,"Stefan Posch · 61&rsquor;","4","0","https://fbref.com/en/matches/01625773/Koln-Hoffenheim-March-6-2022-Bundesliga","Köln","Home","Mark Uth",13,"GER","AM","30-194",88,0,0,0,0,2,0,0,0,44,3,0,0,0.1,0.1,0.4,4,0,28,34,82.4,3,22,0,0,0
"Fußball-Bundesliga","2022-03-06","Fußball-Bundesliga (Matchweek 25)","Köln","4-2-3-1",0,1.6,"","1","0","Hoffenheim","3-5-2",1,2.5,"Stefan Posch · 61&rsquor;","4","0","https://fbref.com/en/matches/01625773/Koln-Hoffenheim-March-6-2022-Bundesliga","Köln","Home","Tim Lemperle",25,"GER","RM","20-029",2,0,0,0,0,1,0,0,0,2,0,0,0,0.3,0.3,0,0,0,0,1,0,0,1,0,0,0
"Fußball-Bundesliga","2022-03-06","Fußball-Bundesliga (Matchweek 25)","Köln","4-2-3-1",0,1.6,"","1","0","Hoffenheim","3-5-2",1,2.5,"Stefan Posch · 61&rsquor;","4","0","https://fbref.com/en/matches/01625773/Koln-Hoffenheim-March-6-2022-Bundesliga","Köln","Home","Salih Özcan",6,"TUR","DM","24-054",90,0,0,0,0,0,0,0,0,89,1,1,1,0,0,0,1,0,73,82,89,6,51,4,0,0
"Fußball-Bundesliga","2022-03-06","Fußball-Bundesliga (Matchweek 25)","Köln","4-2-3-1",0,1.6,"","1","0","Hoffenheim","3-5-2",1,2.5,"Stefan Posch · 61&rsquor;","4","0","https://fbref.com/en/matches/01625773/Koln-Hoffenheim-March-6-2022-Bundesliga","Köln","Home","Ellyes Skhiri",28,"TUN","DM,LM,CB","26-300",90,0,0,0,0,0,0,0,0,62,1,1,3,0,0,0,1,0,41,52,78.8,6,29,0,2,0
"Fußball-Bundesliga","2022-03-06","Fußball-Bundesliga (Matchweek 25)","Köln","4-2-3-1",0,1.6,"","1","0","Hoffenheim","3-5-2",1,2.5,"Stefan Posch · 61&rsquor;","4","0","https://fbref.com/en/matches/01625773/Koln-Hoffenheim-March-6-2022-Bundesliga","Köln","Home","Jannes Horn",23,"GER","LB","25-028",79,0,0,0,0,1,1,0,0,46,0,0,0,0,0,0,1,0,32,42,76.2,4,18,2,0,0
"Fußball-Bundesliga","2022-03-06","Fußball-Bundesliga (Matchweek 25)","Köln","4-2-3-1",0,1.6,"","1","0","Hoffenheim","3-5-2",1,2.5,"Stefan Posch · 61&rsquor;","4","0","https://fbref.com/en/matches/01625773/Koln-Hoffenheim-March-6-2022-Bundesliga","Köln","Home","Kingsley Schindler",17,"GHA","RB","28-237",11,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,12,33.3,1,8,1,0,0
"Fußball-Bundesliga","2022-03-06","Fußball-Bundesliga (Matchweek 25)","Köln","4-2-3-1",0,1.6,"","1","0","Hoffenheim","3-5-2",1,2.5,"Stefan Posch · 61&rsquor;","4","0","https://fbref.com/en/matches/01625773/Koln-Hoffenheim-March-6-2022-Bundesliga","Köln","Home","Julian Chabot",24,"GER","CB","24-022",88,0,0,0,0,0,0,0,0,93,3,0,0,0,0,0,0,0,71,87,81.6,2,60,0,1,1
"Fußball-Bundesliga","2022-03-06","Fußball-Bundesliga (Matchweek 25)","Köln","4-2-3-1",0,1.6,"","1","0","Hoffenheim","3-5-2",1,2.5,"Stefan Posch · 61&rsquor;","4","0","https://fbref.com/en/matches/01625773/Koln-Hoffenheim-March-6-2022-Bundesliga","Köln","Home","Ondrej Duda",18,"SVK","AM,CB","27-091",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.1,2,0,1,2,50,0,1,1,1,1
