"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Köln","4-4-2",0,NA,"","3","0","Hoffenheim","4-2-3-1",4,NA,"Carlos Eduardo · 5&rsquor; Chinedu Obasi · 11&rsquor; Demba Ba · 46&rsquor; Vedad Ibišević (P) · 90&rsquor;","0","0","https://fbref.com/en/matches/aba33f4f/Koln-Hoffenheim-November-21-2009-Bundesliga","Köln","Home","Lukas Podolski",NA,"GER","FW,MF","24-170",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Köln","4-4-2",0,NA,"","3","0","Hoffenheim","4-2-3-1",4,NA,"Carlos Eduardo · 5&rsquor; Chinedu Obasi · 11&rsquor; Demba Ba · 46&rsquor; Vedad Ibišević (P) · 90&rsquor;","0","0","https://fbref.com/en/matches/aba33f4f/Koln-Hoffenheim-November-21-2009-Bundesliga","Köln","Home","Milivoje Novaković",NA,"SVN","FW","30-187",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Köln","4-4-2",0,NA,"","3","0","Hoffenheim","4-2-3-1",4,NA,"Carlos Eduardo · 5&rsquor; Chinedu Obasi · 11&rsquor; Demba Ba · 46&rsquor; Vedad Ibišević (P) · 90&rsquor;","0","0","https://fbref.com/en/matches/aba33f4f/Koln-Hoffenheim-November-21-2009-Bundesliga","Köln","Home","Wilfried Sanou",NA,"BFA","FW,MF","25-250",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Köln","4-4-2",0,NA,"","3","0","Hoffenheim","4-2-3-1",4,NA,"Carlos Eduardo · 5&rsquor; Chinedu Obasi · 11&rsquor; Demba Ba · 46&rsquor; Vedad Ibišević (P) · 90&rsquor;","0","0","https://fbref.com/en/matches/aba33f4f/Koln-Hoffenheim-November-21-2009-Bundesliga","Köln","Home","Fabrice Ehret",NA,"FRA","DF,MF","30-054",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Köln","4-4-2",0,NA,"","3","0","Hoffenheim","4-2-3-1",4,NA,"Carlos Eduardo · 5&rsquor; Chinedu Obasi · 11&rsquor; Demba Ba · 46&rsquor; Vedad Ibišević (P) · 90&rsquor;","0","0","https://fbref.com/en/matches/aba33f4f/Koln-Hoffenheim-November-21-2009-Bundesliga","Köln","Home","Maniche",NA,"POR","MF","32-010",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Köln","4-4-2",0,NA,"","3","0","Hoffenheim","4-2-3-1",4,NA,"Carlos Eduardo · 5&rsquor; Chinedu Obasi · 11&rsquor; Demba Ba · 46&rsquor; Vedad Ibišević (P) · 90&rsquor;","0","0","https://fbref.com/en/matches/aba33f4f/Koln-Hoffenheim-November-21-2009-Bundesliga","Köln","Home","Petit",NA,"POR","MF","33-057",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Köln","4-4-2",0,NA,"","3","0","Hoffenheim","4-2-3-1",4,NA,"Carlos Eduardo · 5&rsquor; Chinedu Obasi · 11&rsquor; Demba Ba · 46&rsquor; Vedad Ibišević (P) · 90&rsquor;","0","0","https://fbref.com/en/matches/aba33f4f/Koln-Hoffenheim-November-21-2009-Bundesliga","Köln","Home","Sebastian Freis",NA,"GER","FW,MF","24-212",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Köln","4-4-2",0,NA,"","3","0","Hoffenheim","4-2-3-1",4,NA,"Carlos Eduardo · 5&rsquor; Chinedu Obasi · 11&rsquor; Demba Ba · 46&rsquor; Vedad Ibišević (P) · 90&rsquor;","0","0","https://fbref.com/en/matches/aba33f4f/Koln-Hoffenheim-November-21-2009-Bundesliga","Köln","Home","Mišo Brečko",NA,"SVN","DF,MF","25-204",28,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Köln","4-4-2",0,NA,"","3","0","Hoffenheim","4-2-3-1",4,NA,"Carlos Eduardo · 5&rsquor; Chinedu Obasi · 11&rsquor; Demba Ba · 46&rsquor; Vedad Ibišević (P) · 90&rsquor;","0","0","https://fbref.com/en/matches/aba33f4f/Koln-Hoffenheim-November-21-2009-Bundesliga","Köln","Home","Kevin Pezzoni",NA,"GER","DF,MF","20-244",62,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Köln","4-4-2",0,NA,"","3","0","Hoffenheim","4-2-3-1",4,NA,"Carlos Eduardo · 5&rsquor; Chinedu Obasi · 11&rsquor; Demba Ba · 46&rsquor; Vedad Ibišević (P) · 90&rsquor;","0","0","https://fbref.com/en/matches/aba33f4f/Koln-Hoffenheim-November-21-2009-Bundesliga","Köln","Home","Youssef Mohamad",NA,"LIB","DF","29-143",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Köln","4-4-2",0,NA,"","3","0","Hoffenheim","4-2-3-1",4,NA,"Carlos Eduardo · 5&rsquor; Chinedu Obasi · 11&rsquor; Demba Ba · 46&rsquor; Vedad Ibišević (P) · 90&rsquor;","0","0","https://fbref.com/en/matches/aba33f4f/Koln-Hoffenheim-November-21-2009-Bundesliga","Köln","Home","Pedro Geromel",NA,"BRA","DF","24-061",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Köln","4-4-2",0,NA,"","3","0","Hoffenheim","4-2-3-1",4,NA,"Carlos Eduardo · 5&rsquor; Chinedu Obasi · 11&rsquor; Demba Ba · 46&rsquor; Vedad Ibišević (P) · 90&rsquor;","0","0","https://fbref.com/en/matches/aba33f4f/Koln-Hoffenheim-November-21-2009-Bundesliga","Köln","Home","Christopher Schorch",NA,"GER","DF","20-295",78,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Köln","4-4-2",0,NA,"","3","0","Hoffenheim","4-2-3-1",4,NA,"Carlos Eduardo · 5&rsquor; Chinedu Obasi · 11&rsquor; Demba Ba · 46&rsquor; Vedad Ibišević (P) · 90&rsquor;","0","0","https://fbref.com/en/matches/aba33f4f/Koln-Hoffenheim-November-21-2009-Bundesliga","Köln","Home","Kevin McKenna",NA,"CAN","DF,FW","29-304",12,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
