"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-02-04","Fußball-Bundesliga (Matchweek 19)","Köln","4-2-2-2",0,0.8,"","3","0","RB Leipzig","3-4-3",0,1.3,"","4","0","https://fbref.com/en/matches/7e5eb5e7/Koln-RB-Leipzig-February-4-2023-Bundesliga","Köln","Home","Steffen Tigges",21,"GER","FW","24-188",72,0,0,0,0,1,0,0,0,34,0,1,0,0,0,0.2,3,0,16,28,57.1,1,21,1,2,0
"Fußball-Bundesliga","2023-02-04","Fußball-Bundesliga (Matchweek 19)","Köln","4-2-2-2",0,0.8,"","3","0","RB Leipzig","3-4-3",0,1.3,"","4","0","https://fbref.com/en/matches/7e5eb5e7/Koln-RB-Leipzig-February-4-2023-Bundesliga","Köln","Home","Davie Selke",27,"GER","FW","28-015",12,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Fußball-Bundesliga","2023-02-04","Fußball-Bundesliga (Matchweek 19)","Köln","4-2-2-2",0,0.8,"","3","0","RB Leipzig","3-4-3",0,1.3,"","4","0","https://fbref.com/en/matches/7e5eb5e7/Koln-RB-Leipzig-February-4-2023-Bundesliga","Köln","Home","Tim Lemperle",25,"GER","FW","20-364",6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,33.3,0,2,0,0,0
"Fußball-Bundesliga","2023-02-04","Fußball-Bundesliga (Matchweek 19)","Köln","4-2-2-2",0,0.8,"","3","0","RB Leipzig","3-4-3",0,1.3,"","4","0","https://fbref.com/en/matches/7e5eb5e7/Koln-RB-Leipzig-February-4-2023-Bundesliga","Köln","Home","Linton Maina",37,"GER","FW,LW","23-226",84,0,0,0,0,2,0,0,0,42,0,0,0,0.5,0.5,0,1,0,19,34,55.9,4,28,5,0,0
"Fußball-Bundesliga","2023-02-04","Fußball-Bundesliga (Matchweek 19)","Köln","4-2-2-2",0,0.8,"","3","0","RB Leipzig","3-4-3",0,1.3,"","4","0","https://fbref.com/en/matches/7e5eb5e7/Koln-RB-Leipzig-February-4-2023-Bundesliga","Köln","Home","Sargis Adamyan",23,"ARM","LW","29-257",6,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,2,2,100,1,2,0,0,0
"Fußball-Bundesliga","2023-02-04","Fußball-Bundesliga (Matchweek 19)","Köln","4-2-2-2",0,0.8,"","3","0","RB Leipzig","3-4-3",0,1.3,"","4","0","https://fbref.com/en/matches/7e5eb5e7/Koln-RB-Leipzig-February-4-2023-Bundesliga","Köln","Home","Florian Kainz",11,"AUT","AM","30-103",72,0,0,0,0,1,0,0,0,44,0,1,3,0,0,0.1,3,0,19,32,59.4,5,22,1,5,0
"Fußball-Bundesliga","2023-02-04","Fußball-Bundesliga (Matchweek 19)","Köln","4-2-2-2",0,0.8,"","3","0","RB Leipzig","3-4-3",0,1.3,"","4","0","https://fbref.com/en/matches/7e5eb5e7/Koln-RB-Leipzig-February-4-2023-Bundesliga","Köln","Home","Jan Thielmann",29,"GER","RW","20-254",18,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,2,5,40,0,4,0,1,1
"Fußball-Bundesliga","2023-02-04","Fußball-Bundesliga (Matchweek 19)","Köln","4-2-2-2",0,0.8,"","3","0","RB Leipzig","3-4-3",0,1.3,"","4","0","https://fbref.com/en/matches/7e5eb5e7/Koln-RB-Leipzig-February-4-2023-Bundesliga","Köln","Home","Dejan Ljubicic",7,"AUT","AM","25-119",54,0,0,0,0,1,0,0,0,27,0,0,1,0.1,0.1,0,2,0,12,20,60,0,16,0,3,1
"Fußball-Bundesliga","2023-02-04","Fußball-Bundesliga (Matchweek 19)","Köln","4-2-2-2",0,0.8,"","3","0","RB Leipzig","3-4-3",0,1.3,"","4","0","https://fbref.com/en/matches/7e5eb5e7/Koln-RB-Leipzig-February-4-2023-Bundesliga","Köln","Home","Denis Huseinbasic",8,"GER","AM","21-216",36,0,0,0,0,1,0,0,0,23,1,0,1,0.1,0.1,0,0,0,9,14,64.3,1,11,0,3,0
"Fußball-Bundesliga","2023-02-04","Fußball-Bundesliga (Matchweek 19)","Köln","4-2-2-2",0,0.8,"","3","0","RB Leipzig","3-4-3",0,1.3,"","4","0","https://fbref.com/en/matches/7e5eb5e7/Koln-RB-Leipzig-February-4-2023-Bundesliga","Köln","Home","Eric Martel",6,"GER","DM","20-281",90,0,0,0,0,1,0,1,0,59,2,3,3,0.1,0.1,0,0,0,30,39,76.9,3,29,0,0,0
