"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Köln","4-2-3-1",0,0.6,"Luca Kilian · 81&rsquor;","5","1","Union Berlin","3-5-2",1,1.5,"Timo Hübers (OG) · 3&rsquor;","1","0","https://fbref.com/en/matches/8871407b/Koln-Union-Berlin-September-11-2022-Bundesliga","Köln","Home","Florian Dietz",33,"GER","FW","24-039",45,0,0,0,0,1,0,0,0,23,0,0,0,0.1,0.1,0.1,3,0,5,13,38.5,1,6,0,1,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Köln","4-2-3-1",0,0.6,"Luca Kilian · 81&rsquor;","5","1","Union Berlin","3-5-2",1,1.5,"Timo Hübers (OG) · 3&rsquor;","1","0","https://fbref.com/en/matches/8871407b/Koln-Union-Berlin-September-11-2022-Bundesliga","Köln","Home","Steffen Tigges",21,"GER","FW","24-042",45,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0.1,0,0,2,9,22.2,0,6,0,1,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Köln","4-2-3-1",0,0.6,"Luca Kilian · 81&rsquor;","5","1","Union Berlin","3-5-2",1,1.5,"Timo Hübers (OG) · 3&rsquor;","1","0","https://fbref.com/en/matches/8871407b/Koln-Union-Berlin-September-11-2022-Bundesliga","Köln","Home","Florian Kainz",11,"AUT","LW","29-322",74,0,0,0,0,1,0,0,0,34,0,0,0,0.1,0.1,0.3,3,0,15,27,55.6,3,12,1,2,1
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Köln","4-2-3-1",0,0.6,"Luca Kilian · 81&rsquor;","5","1","Union Berlin","3-5-2",1,1.5,"Timo Hübers (OG) · 3&rsquor;","1","0","https://fbref.com/en/matches/8871407b/Koln-Union-Berlin-September-11-2022-Bundesliga","Köln","Home","Jan Thielmann",29,"GER","LW","20-108",16,0,0,0,0,0,0,0,0,13,0,1,1,0,0,0,0,0,6,7,85.7,0,6,0,1,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Köln","4-2-3-1",0,0.6,"Luca Kilian · 81&rsquor;","5","1","Union Berlin","3-5-2",1,1.5,"Timo Hübers (OG) · 3&rsquor;","1","0","https://fbref.com/en/matches/8871407b/Koln-Union-Berlin-September-11-2022-Bundesliga","Köln","Home","Linton Maina",37,"GER","RW","23-080",84,0,0,0,0,2,2,0,0,28,0,1,2,0.2,0.2,0,0,0,5,14,35.7,1,11,2,1,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Köln","4-2-3-1",0,0.6,"Luca Kilian · 81&rsquor;","5","1","Union Berlin","3-5-2",1,1.5,"Timo Hübers (OG) · 3&rsquor;","1","0","https://fbref.com/en/matches/8871407b/Koln-Union-Berlin-September-11-2022-Bundesliga","Köln","Home","Sargis Adamyan",23,"ARM","RW","29-111",6,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Köln","4-2-3-1",0,0.6,"Luca Kilian · 81&rsquor;","5","1","Union Berlin","3-5-2",1,1.5,"Timo Hübers (OG) · 3&rsquor;","1","0","https://fbref.com/en/matches/8871407b/Koln-Union-Berlin-September-11-2022-Bundesliga","Köln","Home","Jonas Hector",14,"GER","AM,LB","32-107",90,0,0,0,0,1,0,0,0,51,0,0,3,0,0,0.1,1,0,27,41,65.9,3,23,0,1,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Köln","4-2-3-1",0,0.6,"Luca Kilian · 81&rsquor;","5","1","Union Berlin","3-5-2",1,1.5,"Timo Hübers (OG) · 3&rsquor;","1","0","https://fbref.com/en/matches/8871407b/Koln-Union-Berlin-September-11-2022-Bundesliga","Köln","Home","Eric Martel",6,"GER","DM,CB","20-135",90,0,0,0,0,2,1,0,0,70,2,2,0,0.1,0.1,0,0,0,43,56,76.8,4,35,0,1,1
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Köln","4-2-3-1",0,0.6,"Luca Kilian · 81&rsquor;","5","1","Union Berlin","3-5-2",1,1.5,"Timo Hübers (OG) · 3&rsquor;","1","0","https://fbref.com/en/matches/8871407b/Koln-Union-Berlin-September-11-2022-Bundesliga","Köln","Home","Ellyes Skhiri",28,"TUN","DM","27-124",90,0,0,0,0,0,0,0,0,66,6,1,1,0,0,0,2,0,43,50,86,5,36,2,3,3
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Köln","4-2-3-1",0,0.6,"Luca Kilian · 81&rsquor;","5","1","Union Berlin","3-5-2",1,1.5,"Timo Hübers (OG) · 3&rsquor;","1","0","https://fbref.com/en/matches/8871407b/Koln-Union-Berlin-September-11-2022-Bundesliga","Köln","Home","Kristian Pedersen",3,"DEN","LB","28-038",61,0,0,0,0,1,0,1,0,44,1,0,1,0.1,0.1,0.1,1,0,25,38,65.8,2,17,2,1,0
