"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-05-07","Fußball-Bundesliga (Matchweek 33)","Köln","4-1-2-1-2",0,1.2,"","0","0","Wolfsburg","4-4-2",1,1.1,"Yannick Gerhardt · 43&rsquor;","2","0","https://fbref.com/en/matches/7e770cf7/Koln-Wolfsburg-May-7-2022-Bundesliga","Köln","Home","Anthony Modeste",27,"FRA","FW","34-023",90,0,0,0,0,4,3,0,0,23,0,0,0,0.6,0.6,0.1,3,0,11,14,78.6,1,13,0,0,0
"Fußball-Bundesliga","2022-05-07","Fußball-Bundesliga (Matchweek 33)","Köln","4-1-2-1-2",0,1.2,"","0","0","Wolfsburg","4-4-2",1,1.1,"Yannick Gerhardt · 43&rsquor;","2","0","https://fbref.com/en/matches/7e770cf7/Koln-Wolfsburg-May-7-2022-Bundesliga","Köln","Home","Jan Thielmann",29,"GER","FW","19-346",62,0,0,0,0,0,0,0,0,28,2,0,2,0,0,0.1,2,0,8,18,44.4,2,19,1,3,2
"Fußball-Bundesliga","2022-05-07","Fußball-Bundesliga (Matchweek 33)","Köln","4-1-2-1-2",0,1.2,"","0","0","Wolfsburg","4-4-2",1,1.1,"Yannick Gerhardt · 43&rsquor;","2","0","https://fbref.com/en/matches/7e770cf7/Koln-Wolfsburg-May-7-2022-Bundesliga","Köln","Home","Dejan Ljubicic",7,"AUT","FW","24-211",28,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,1,0,6,8,75,1,2,0,0,0
"Fußball-Bundesliga","2022-05-07","Fußball-Bundesliga (Matchweek 33)","Köln","4-1-2-1-2",0,1.2,"","0","0","Wolfsburg","4-4-2",1,1.1,"Yannick Gerhardt · 43&rsquor;","2","0","https://fbref.com/en/matches/7e770cf7/Koln-Wolfsburg-May-7-2022-Bundesliga","Köln","Home","Mark Uth",13,"GER","AM","30-256",86,0,0,0,0,1,1,0,0,46,1,0,0,0,0,0,5,0,25,42,59.5,5,27,1,1,0
"Fußball-Bundesliga","2022-05-07","Fußball-Bundesliga (Matchweek 33)","Köln","4-1-2-1-2",0,1.2,"","0","0","Wolfsburg","4-4-2",1,1.1,"Yannick Gerhardt · 43&rsquor;","2","0","https://fbref.com/en/matches/7e770cf7/Koln-Wolfsburg-May-7-2022-Bundesliga","Köln","Home","Ondrej Duda",18,"SVK","AM","27-153",4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.1,2,0,4,4,100,0,3,0,0,0
"Fußball-Bundesliga","2022-05-07","Fußball-Bundesliga (Matchweek 33)","Köln","4-1-2-1-2",0,1.2,"","0","0","Wolfsburg","4-4-2",1,1.1,"Yannick Gerhardt · 43&rsquor;","2","0","https://fbref.com/en/matches/7e770cf7/Koln-Wolfsburg-May-7-2022-Bundesliga","Köln","Home","Florian Kainz",11,"AUT","LM","29-195",80,0,0,0,0,3,1,0,0,66,0,2,1,0.1,0.1,0.1,3,0,34,55,61.8,14,42,4,3,0
"Fußball-Bundesliga","2022-05-07","Fußball-Bundesliga (Matchweek 33)","Köln","4-1-2-1-2",0,1.2,"","0","0","Wolfsburg","4-4-2",1,1.1,"Yannick Gerhardt · 43&rsquor;","2","0","https://fbref.com/en/matches/7e770cf7/Koln-Wolfsburg-May-7-2022-Bundesliga","Köln","Home","Louis Schaub",21,"AUT","LM","27-129",10,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,5,40,1,6,0,2,0
"Fußball-Bundesliga","2022-05-07","Fußball-Bundesliga (Matchweek 33)","Köln","4-1-2-1-2",0,1.2,"","0","0","Wolfsburg","4-4-2",1,1.1,"Yannick Gerhardt · 43&rsquor;","2","0","https://fbref.com/en/matches/7e770cf7/Koln-Wolfsburg-May-7-2022-Bundesliga","Köln","Home","Salih Özcan",6,"TUR","RM","24-116",90,0,0,0,0,3,1,0,0,80,1,1,3,0.2,0.2,0.1,5,0,57,69,82.6,7,49,1,0,0
"Fußball-Bundesliga","2022-05-07","Fußball-Bundesliga (Matchweek 33)","Köln","4-1-2-1-2",0,1.2,"","0","0","Wolfsburg","4-4-2",1,1.1,"Yannick Gerhardt · 43&rsquor;","2","0","https://fbref.com/en/matches/7e770cf7/Koln-Wolfsburg-May-7-2022-Bundesliga","Köln","Home","Ellyes Skhiri",28,"TUN","DM","26-362",90,0,0,0,0,1,0,0,0,62,2,1,1,0,0,0,4,0,46,53,86.8,6,28,1,0,0
"Fußball-Bundesliga","2022-05-07","Fußball-Bundesliga (Matchweek 33)","Köln","4-1-2-1-2",0,1.2,"","0","0","Wolfsburg","4-4-2",1,1.1,"Yannick Gerhardt · 43&rsquor;","2","0","https://fbref.com/en/matches/7e770cf7/Koln-Wolfsburg-May-7-2022-Bundesliga","Köln","Home","Jonas Hector",14,"GER","LB","31-345",90,0,0,0,0,1,1,0,0,91,4,3,2,0,0,0.2,4,0,55,76,72.4,7,43,1,2,0
