"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Mainz 05","4-1-2-1-2",0,NA,"","3","0","Bayer Leverkusen","4-2-3-1",1,NA,"Renato Augusto · 82&rsquor;","3","0","https://fbref.com/en/matches/572a036c/Mainz-05-Bayer-Leverkusen-March-13-2011-Bundesliga","Mainz 05","Home","André Schürrle",NA,"GER","FW,MF","20-127",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Mainz 05","4-1-2-1-2",0,NA,"","3","0","Bayer Leverkusen","4-2-3-1",1,NA,"Renato Augusto · 82&rsquor;","3","0","https://fbref.com/en/matches/572a036c/Mainz-05-Bayer-Leverkusen-March-13-2011-Bundesliga","Mainz 05","Home","Marcel Risse",NA,"GER","DF,FW","21-086",79,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Mainz 05","4-1-2-1-2",0,NA,"","3","0","Bayer Leverkusen","4-2-3-1",1,NA,"Renato Augusto · 82&rsquor;","3","0","https://fbref.com/en/matches/572a036c/Mainz-05-Bayer-Leverkusen-March-13-2011-Bundesliga","Mainz 05","Home","Florian Heller",NA,"GER","FW,MF","29-003",11,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Mainz 05","4-1-2-1-2",0,NA,"","3","0","Bayer Leverkusen","4-2-3-1",1,NA,"Renato Augusto · 82&rsquor;","3","0","https://fbref.com/en/matches/572a036c/Mainz-05-Bayer-Leverkusen-March-13-2011-Bundesliga","Mainz 05","Home","Andreas Ivanschitz",NA,"AUT","MF","27-149",60,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Mainz 05","4-1-2-1-2",0,NA,"","3","0","Bayer Leverkusen","4-2-3-1",1,NA,"Renato Augusto · 82&rsquor;","3","0","https://fbref.com/en/matches/572a036c/Mainz-05-Bayer-Leverkusen-March-13-2011-Bundesliga","Mainz 05","Home","Sami Allagui",NA,"TUN","FW,MF","24-289",30,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Mainz 05","4-1-2-1-2",0,NA,"","3","0","Bayer Leverkusen","4-2-3-1",1,NA,"Renato Augusto · 82&rsquor;","3","0","https://fbref.com/en/matches/572a036c/Mainz-05-Bayer-Leverkusen-March-13-2011-Bundesliga","Mainz 05","Home","Elkin Soto",NA,"COL","MF","30-221",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Mainz 05","4-1-2-1-2",0,NA,"","3","0","Bayer Leverkusen","4-2-3-1",1,NA,"Renato Augusto · 82&rsquor;","3","0","https://fbref.com/en/matches/572a036c/Mainz-05-Bayer-Leverkusen-March-13-2011-Bundesliga","Mainz 05","Home","Eugen Polanski",NA,"POL","MF","24-361",50,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Mainz 05","4-1-2-1-2",0,NA,"","3","0","Bayer Leverkusen","4-2-3-1",1,NA,"Renato Augusto · 82&rsquor;","3","0","https://fbref.com/en/matches/572a036c/Mainz-05-Bayer-Leverkusen-March-13-2011-Bundesliga","Mainz 05","Home","Jan Kirchhoff",NA,"GER","DF,MF","20-163",40,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Mainz 05","4-1-2-1-2",0,NA,"","3","0","Bayer Leverkusen","4-2-3-1",1,NA,"Renato Augusto · 82&rsquor;","3","0","https://fbref.com/en/matches/572a036c/Mainz-05-Bayer-Leverkusen-March-13-2011-Bundesliga","Mainz 05","Home","Malik Fathi",NA,"GER","DF","27-135",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Mainz 05","4-1-2-1-2",0,NA,"","3","0","Bayer Leverkusen","4-2-3-1",1,NA,"Renato Augusto · 82&rsquor;","3","0","https://fbref.com/en/matches/572a036c/Mainz-05-Bayer-Leverkusen-March-13-2011-Bundesliga","Mainz 05","Home","Christian Fuchs",NA,"AUT","DF,MF","24-340",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
