"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Mainz 05","3-4-3",0,0.5,"","4","0","Bayer Leverkusen","3-4-3",3,1.1,"Sepp van den Berg (OG) · 18&rsquor; Álex Grimaldo · 59&rsquor; Jonas Hofmann · 65&rsquor;","1","0","https://fbref.com/en/matches/d16559ab/Mainz-05-Bayer-Leverkusen-September-30-2023-Bundesliga","Mainz 05","Home","Karim Onisiwo",9,"AUT","FW","31-197",83,0,0,0,0,3,2,0,0,33,0,0,2,0.2,0.2,0,4,0,16,24,66.7,2,22,2,1,1
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Mainz 05","3-4-3",0,0.5,"","4","0","Bayer Leverkusen","3-4-3",3,1.1,"Sepp van den Berg (OG) · 18&rsquor; Álex Grimaldo · 59&rsquor; Jonas Hofmann · 65&rsquor;","1","0","https://fbref.com/en/matches/d16559ab/Mainz-05-Bayer-Leverkusen-September-30-2023-Bundesliga","Mainz 05","Home","Marco Richter",10,"GER","FW","25-310",7,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,3,7,42.9,1,4,2,0,0
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Mainz 05","3-4-3",0,0.5,"","4","0","Bayer Leverkusen","3-4-3",3,1.1,"Sepp van den Berg (OG) · 18&rsquor; Álex Grimaldo · 59&rsquor; Jonas Hofmann · 65&rsquor;","1","0","https://fbref.com/en/matches/d16559ab/Mainz-05-Bayer-Leverkusen-September-30-2023-Bundesliga","Mainz 05","Home","Lee Jae-sung",7,"KOR","AM","31-051",68,0,0,0,0,0,0,0,0,36,2,3,1,0,0,0,1,0,19,27,70.4,2,10,1,2,2
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Mainz 05","3-4-3",0,0.5,"","4","0","Bayer Leverkusen","3-4-3",3,1.1,"Sepp van den Berg (OG) · 18&rsquor; Álex Grimaldo · 59&rsquor; Jonas Hofmann · 65&rsquor;","1","0","https://fbref.com/en/matches/d16559ab/Mainz-05-Bayer-Leverkusen-September-30-2023-Bundesliga","Mainz 05","Home","Aymen Barkok",4,"MAR","AM","25-132",22,0,0,0,0,1,0,0,0,21,1,0,0,0,0,0,0,0,15,18,83.3,1,16,0,0,0
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Mainz 05","3-4-3",0,0.5,"","4","0","Bayer Leverkusen","3-4-3",3,1.1,"Sepp van den Berg (OG) · 18&rsquor; Álex Grimaldo · 59&rsquor; Jonas Hofmann · 65&rsquor;","1","0","https://fbref.com/en/matches/d16559ab/Mainz-05-Bayer-Leverkusen-September-30-2023-Bundesliga","Mainz 05","Home","Brajan Gruda",43,"GER","AM","19-122",75,0,0,0,0,1,1,1,0,39,0,0,0,0,0,0,3,0,23,33,69.7,5,22,2,7,3
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Mainz 05","3-4-3",0,0.5,"","4","0","Bayer Leverkusen","3-4-3",3,1.1,"Sepp van den Berg (OG) · 18&rsquor; Álex Grimaldo · 59&rsquor; Jonas Hofmann · 65&rsquor;","1","0","https://fbref.com/en/matches/d16559ab/Mainz-05-Bayer-Leverkusen-September-30-2023-Bundesliga","Mainz 05","Home","Ludovic Ajorque",17,"FRA","AM","29-217",15,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0.1,1,0,9,12,75,2,5,0,0,0
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Mainz 05","3-4-3",0,0.5,"","4","0","Bayer Leverkusen","3-4-3",3,1.1,"Sepp van den Berg (OG) · 18&rsquor; Álex Grimaldo · 59&rsquor; Jonas Hofmann · 65&rsquor;","1","0","https://fbref.com/en/matches/d16559ab/Mainz-05-Bayer-Leverkusen-September-30-2023-Bundesliga","Mainz 05","Home","Dominik Kohr",31,"GER","CM","29-242",68,0,0,0,0,1,0,0,0,44,4,2,0,0,0,0,0,0,37,38,97.4,2,22,1,0,0
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Mainz 05","3-4-3",0,0.5,"","4","0","Bayer Leverkusen","3-4-3",3,1.1,"Sepp van den Berg (OG) · 18&rsquor; Álex Grimaldo · 59&rsquor; Jonas Hofmann · 65&rsquor;","1","0","https://fbref.com/en/matches/d16559ab/Mainz-05-Bayer-Leverkusen-September-30-2023-Bundesliga","Mainz 05","Home","Tom Krauß",14,"GER","CM","22-100",22,0,0,0,0,1,0,0,0,20,0,1,0,0,0,0,0,0,12,16,75,1,10,1,0,0
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Mainz 05","3-4-3",0,0.5,"","4","0","Bayer Leverkusen","3-4-3",3,1.1,"Sepp van den Berg (OG) · 18&rsquor; Álex Grimaldo · 59&rsquor; Jonas Hofmann · 65&rsquor;","1","0","https://fbref.com/en/matches/d16559ab/Mainz-05-Bayer-Leverkusen-September-30-2023-Bundesliga","Mainz 05","Home","Leandro Barreiro Martins",8,"LUX","CM","23-270",90,0,0,0,0,0,0,1,0,55,1,1,0,0,0,0,1,0,43,49,87.8,3,29,1,0,0
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Mainz 05","3-4-3",0,0.5,"","4","0","Bayer Leverkusen","3-4-3",3,1.1,"Sepp van den Berg (OG) · 18&rsquor; Álex Grimaldo · 59&rsquor; Jonas Hofmann · 65&rsquor;","1","0","https://fbref.com/en/matches/d16559ab/Mainz-05-Bayer-Leverkusen-September-30-2023-Bundesliga","Mainz 05","Home","Anthony Caci",19,"FRA","WB","26-091",90,0,0,0,0,0,0,0,0,62,1,3,2,0,0,0,0,0,39,52,75,3,19,1,1,0
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Mainz 05","3-4-3",0,0.5,"","4","0","Bayer Leverkusen","3-4-3",3,1.1,"Sepp van den Berg (OG) · 18&rsquor; Álex Grimaldo · 59&rsquor; Jonas Hofmann · 65&rsquor;","1","0","https://fbref.com/en/matches/d16559ab/Mainz-05-Bayer-Leverkusen-September-30-2023-Bundesliga","Mainz 05","Home","Danny da Costa",21,"GER","WB","30-079",68,0,0,0,0,0,0,0,0,38,0,0,2,0,0,0,1,0,24,35,68.6,2,16,1,0,0
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Mainz 05","3-4-3",0,0.5,"","4","0","Bayer Leverkusen","3-4-3",3,1.1,"Sepp van den Berg (OG) · 18&rsquor; Álex Grimaldo · 59&rsquor; Jonas Hofmann · 65&rsquor;","1","0","https://fbref.com/en/matches/d16559ab/Mainz-05-Bayer-Leverkusen-September-30-2023-Bundesliga","Mainz 05","Home","Anwar El Ghazi",34,"NED","WB","28-150",22,0,0,0,0,1,0,0,0,10,0,0,0,0.1,0.1,0,1,0,5,7,71.4,0,7,1,1,1
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Mainz 05","3-4-3",0,0.5,"","4","0","Bayer Leverkusen","3-4-3",3,1.1,"Sepp van den Berg (OG) · 18&rsquor; Álex Grimaldo · 59&rsquor; Jonas Hofmann · 65&rsquor;","1","0","https://fbref.com/en/matches/d16559ab/Mainz-05-Bayer-Leverkusen-September-30-2023-Bundesliga","Mainz 05","Home","Edimilson Fernandes",20,"SUI","CB","27-168",90,0,0,0,0,1,0,1,0,70,1,2,0,0.1,0.1,0.1,2,0,56,64,87.5,7,33,1,1,1
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Mainz 05","3-4-3",0,0.5,"","4","0","Bayer Leverkusen","3-4-3",3,1.1,"Sepp van den Berg (OG) · 18&rsquor; Álex Grimaldo · 59&rsquor; Jonas Hofmann · 65&rsquor;","1","0","https://fbref.com/en/matches/d16559ab/Mainz-05-Bayer-Leverkusen-September-30-2023-Bundesliga","Mainz 05","Home","Stefan Bell",16,"GER","CB","32-037",90,0,0,0,0,1,0,0,0,60,0,0,0,0,0,0,0,0,47,54,87,2,35,0,1,1
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Mainz 05","3-4-3",0,0.5,"","4","0","Bayer Leverkusen","3-4-3",3,1.1,"Sepp van den Berg (OG) · 18&rsquor; Álex Grimaldo · 59&rsquor; Jonas Hofmann · 65&rsquor;","1","0","https://fbref.com/en/matches/d16559ab/Mainz-05-Bayer-Leverkusen-September-30-2023-Bundesliga","Mainz 05","Home","Sepp van den Berg",3,"NED","CB","21-284",90,0,0,0,0,0,0,0,0,67,2,1,4,0,0,0,1,0,45,53,84.9,3,21,1,2,1
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Mainz 05","3-4-3",0,0.5,"","4","0","Bayer Leverkusen","3-4-3",3,1.1,"Sepp van den Berg (OG) · 18&rsquor; Álex Grimaldo · 59&rsquor; Jonas Hofmann · 65&rsquor;","1","0","https://fbref.com/en/matches/d16559ab/Mainz-05-Bayer-Leverkusen-September-30-2023-Bundesliga","Mainz 05","Home","Robin Zentner",27,"GER","GK","28-337",90,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,26,34,76.5,0,15,0,0,0
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Mainz 05","3-4-3",0,0.5,"","4","0","Bayer Leverkusen","3-4-3",3,1.1,"Sepp van den Berg (OG) · 18&rsquor; Álex Grimaldo · 59&rsquor; Jonas Hofmann · 65&rsquor;","1","0","https://fbref.com/en/matches/d16559ab/Mainz-05-Bayer-Leverkusen-September-30-2023-Bundesliga","Bayer Leverkusen","Away","Victor Boniface",22,"NGA","FW","22-281",78,0,0,0,0,1,1,0,0,26,0,0,0,0.7,0.7,0,1,1,8,13,61.5,2,17,1,5,2
"Fußball-Bundesliga","2023-09-30","Fußball-Bundesliga (Matchweek 6)","Mainz 05","3-4-3",0,0.5,"","4","0","Bayer Leverkusen","3-4-3",3,1.1,"Sepp van den Berg (OG) · 18&rsquor; Álex Grimaldo · 59&rsquor; Jonas Hofmann · 65&rsquor;","1","0","https://fbref.com/en/matches/d16559ab/Mainz-05-Bayer-Leverkusen-September-30-2023-Bundesliga","Bayer Leverkusen","Away","Adam Hložek",23,"CZE","FW","21-067",12,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,2,5,40,2,4,1,1,1
