"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Mainz 05","4-1-4-1",2,NA,"Andreas Ivanschitz · 25&rsquor; Aristide Bancé · 37&rsquor;","0","0","Bayern Munich","4-4-1-1",1,NA,"Nikolče Noveski (OG) · 47&rsquor;","0","0","https://fbref.com/en/matches/abb7117e/Mainz-05-Bayern-Munich-August-22-2009-Bundesliga","Mainz 05","Home","Aristide Bancé",NA,"BFA","FW","24-337",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Mainz 05","4-1-4-1",2,NA,"Andreas Ivanschitz · 25&rsquor; Aristide Bancé · 37&rsquor;","0","0","Bayern Munich","4-4-1-1",1,NA,"Nikolče Noveski (OG) · 47&rsquor;","0","0","https://fbref.com/en/matches/abb7117e/Mainz-05-Bayern-Munich-August-22-2009-Bundesliga","Mainz 05","Home","André Schürrle",NA,"GER","FW,MF","18-289",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Mainz 05","4-1-4-1",2,NA,"Andreas Ivanschitz · 25&rsquor; Aristide Bancé · 37&rsquor;","0","0","Bayern Munich","4-4-1-1",1,NA,"Nikolče Noveski (OG) · 47&rsquor;","0","0","https://fbref.com/en/matches/abb7117e/Mainz-05-Bayern-Munich-August-22-2009-Bundesliga","Mainz 05","Home","Andreas Ivanschitz",NA,"AUT","MF","25-311",80,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Mainz 05","4-1-4-1",2,NA,"Andreas Ivanschitz · 25&rsquor; Aristide Bancé · 37&rsquor;","0","0","Bayern Munich","4-4-1-1",1,NA,"Nikolče Noveski (OG) · 47&rsquor;","0","0","https://fbref.com/en/matches/abb7117e/Mainz-05-Bayern-Munich-August-22-2009-Bundesliga","Mainz 05","Home","Jahmir Hyka",NA,"ALB","MF","21-167",10,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Mainz 05","4-1-4-1",2,NA,"Andreas Ivanschitz · 25&rsquor; Aristide Bancé · 37&rsquor;","0","0","Bayern Munich","4-4-1-1",1,NA,"Nikolče Noveski (OG) · 47&rsquor;","0","0","https://fbref.com/en/matches/abb7117e/Mainz-05-Bayern-Munich-August-22-2009-Bundesliga","Mainz 05","Home","Miroslav Karhan",NA,"SVK","MF","33-062",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Mainz 05","4-1-4-1",2,NA,"Andreas Ivanschitz · 25&rsquor; Aristide Bancé · 37&rsquor;","0","0","Bayern Munich","4-4-1-1",1,NA,"Nikolče Noveski (OG) · 47&rsquor;","0","0","https://fbref.com/en/matches/abb7117e/Mainz-05-Bayern-Munich-August-22-2009-Bundesliga","Mainz 05","Home","Tim Hoogland",NA,"GER","DF,MF","24-072",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Mainz 05","4-1-4-1",2,NA,"Andreas Ivanschitz · 25&rsquor; Aristide Bancé · 37&rsquor;","0","0","Bayern Munich","4-4-1-1",1,NA,"Nikolče Noveski (OG) · 47&rsquor;","0","0","https://fbref.com/en/matches/abb7117e/Mainz-05-Bayern-Munich-August-22-2009-Bundesliga","Mainz 05","Home","Bo Svensson",NA,"DEN","DF","30-018",60,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Mainz 05","4-1-4-1",2,NA,"Andreas Ivanschitz · 25&rsquor; Aristide Bancé · 37&rsquor;","0","0","Bayern Munich","4-4-1-1",1,NA,"Nikolče Noveski (OG) · 47&rsquor;","0","0","https://fbref.com/en/matches/abb7117e/Mainz-05-Bayern-Munich-August-22-2009-Bundesliga","Mainz 05","Home","Milorad Peković",NA,"MNE","MF","32-017",30,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Mainz 05","4-1-4-1",2,NA,"Andreas Ivanschitz · 25&rsquor; Aristide Bancé · 37&rsquor;","0","0","Bayern Munich","4-4-1-1",1,NA,"Nikolče Noveski (OG) · 47&rsquor;","0","0","https://fbref.com/en/matches/abb7117e/Mainz-05-Bayern-Munich-August-22-2009-Bundesliga","Mainz 05","Home","Peter Van der Heyden",NA,"BEL","DF","33-037",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Mainz 05","4-1-4-1",2,NA,"Andreas Ivanschitz · 25&rsquor; Aristide Bancé · 37&rsquor;","0","0","Bayern Munich","4-4-1-1",1,NA,"Nikolče Noveski (OG) · 47&rsquor;","0","0","https://fbref.com/en/matches/abb7117e/Mainz-05-Bayern-Munich-August-22-2009-Bundesliga","Mainz 05","Home","Nikolče Noveski",NA,"MKD","DF","30-116",65,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA
