"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-2-3-1",1,NA,"Sami Allagui · 84&rsquor;","2","0","Bayern Munich","4-2-3-1",3,NA,"Bastian Schweinsteiger · 9&rsquor; Thomas Müller · 50&rsquor; Mario Gómez · 76&rsquor;","1","0","https://fbref.com/en/matches/3efa70f4/Mainz-05-Bayern-Munich-February-19-2011-Bundesliga","Mainz 05","Home","Petar Slišković",NA,"CRO","FW","19-363",54,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-2-3-1",1,NA,"Sami Allagui · 84&rsquor;","2","0","Bayern Munich","4-2-3-1",3,NA,"Bastian Schweinsteiger · 9&rsquor; Thomas Müller · 50&rsquor; Mario Gómez · 76&rsquor;","1","0","https://fbref.com/en/matches/3efa70f4/Mainz-05-Bayern-Munich-February-19-2011-Bundesliga","Mainz 05","Home","Lewis Holtby",NA,"GER","MF","20-154",36,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-2-3-1",1,NA,"Sami Allagui · 84&rsquor;","2","0","Bayern Munich","4-2-3-1",3,NA,"Bastian Schweinsteiger · 9&rsquor; Thomas Müller · 50&rsquor; Mario Gómez · 76&rsquor;","1","0","https://fbref.com/en/matches/3efa70f4/Mainz-05-Bayern-Munich-February-19-2011-Bundesliga","Mainz 05","Home","André Schürrle",NA,"GER","FW,MF","20-105",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-2-3-1",1,NA,"Sami Allagui · 84&rsquor;","2","0","Bayern Munich","4-2-3-1",3,NA,"Bastian Schweinsteiger · 9&rsquor; Thomas Müller · 50&rsquor; Mario Gómez · 76&rsquor;","1","0","https://fbref.com/en/matches/3efa70f4/Mainz-05-Bayern-Munich-February-19-2011-Bundesliga","Mainz 05","Home","Marcel Risse",NA,"GER","DF,FW","21-064",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-2-3-1",1,NA,"Sami Allagui · 84&rsquor;","2","0","Bayern Munich","4-2-3-1",3,NA,"Bastian Schweinsteiger · 9&rsquor; Thomas Müller · 50&rsquor; Mario Gómez · 76&rsquor;","1","0","https://fbref.com/en/matches/3efa70f4/Mainz-05-Bayern-Munich-February-19-2011-Bundesliga","Mainz 05","Home","Sami Allagui",NA,"TUN","FW,MF","24-267",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-2-3-1",1,NA,"Sami Allagui · 84&rsquor;","2","0","Bayern Munich","4-2-3-1",3,NA,"Bastian Schweinsteiger · 9&rsquor; Thomas Müller · 50&rsquor; Mario Gómez · 76&rsquor;","1","0","https://fbref.com/en/matches/3efa70f4/Mainz-05-Bayern-Munich-February-19-2011-Bundesliga","Mainz 05","Home","Eugen Polanski",NA,"POL","MF","24-339",84,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-2-3-1",1,NA,"Sami Allagui · 84&rsquor;","2","0","Bayern Munich","4-2-3-1",3,NA,"Bastian Schweinsteiger · 9&rsquor; Thomas Müller · 50&rsquor; Mario Gómez · 76&rsquor;","1","0","https://fbref.com/en/matches/3efa70f4/Mainz-05-Bayern-Munich-February-19-2011-Bundesliga","Mainz 05","Home","Malik Fathi",NA,"GER","DF","27-113",6,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-2-3-1",1,NA,"Sami Allagui · 84&rsquor;","2","0","Bayern Munich","4-2-3-1",3,NA,"Bastian Schweinsteiger · 9&rsquor; Thomas Müller · 50&rsquor; Mario Gómez · 76&rsquor;","1","0","https://fbref.com/en/matches/3efa70f4/Mainz-05-Bayern-Munich-February-19-2011-Bundesliga","Mainz 05","Home","Marco Caligiuri",NA,"GER","DF,MF","26-311",62,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-2-3-1",1,NA,"Sami Allagui · 84&rsquor;","2","0","Bayern Munich","4-2-3-1",3,NA,"Bastian Schweinsteiger · 9&rsquor; Thomas Müller · 50&rsquor; Mario Gómez · 76&rsquor;","1","0","https://fbref.com/en/matches/3efa70f4/Mainz-05-Bayern-Munich-February-19-2011-Bundesliga","Mainz 05","Home","Elkin Soto",NA,"COL","MF","30-199",28,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-2-3-1",1,NA,"Sami Allagui · 84&rsquor;","2","0","Bayern Munich","4-2-3-1",3,NA,"Bastian Schweinsteiger · 9&rsquor; Thomas Müller · 50&rsquor; Mario Gómez · 76&rsquor;","1","0","https://fbref.com/en/matches/3efa70f4/Mainz-05-Bayern-Munich-February-19-2011-Bundesliga","Mainz 05","Home","Radoslav Zabavník",NA,"SVK","DF,MF","30-156",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
