"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-3-3",0,NA,"","2","0","Bochum","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/ef606cee/Mainz-05-Bochum-February-20-2010-Bundesliga","Mainz 05","Home","Aristide Bancé",NA,"BFA","FW","25-154",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-3-3",0,NA,"","2","0","Bochum","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/ef606cee/Mainz-05-Bochum-February-20-2010-Bundesliga","Mainz 05","Home","André Schürrle",NA,"GER","FW,MF","19-106",82,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-3-3",0,NA,"","2","0","Bochum","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/ef606cee/Mainz-05-Bochum-February-20-2010-Bundesliga","Mainz 05","Home","Jan Šimák",NA,"CZE","MF","31-130",8,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-3-3",0,NA,"","2","0","Bochum","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/ef606cee/Mainz-05-Bochum-February-20-2010-Bundesliga","Mainz 05","Home","Filip Trojan",NA,"CZE","MF","26-364",66,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-3-3",0,NA,"","2","0","Bochum","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/ef606cee/Mainz-05-Bochum-February-20-2010-Bundesliga","Mainz 05","Home","Andreas Ivanschitz",NA,"AUT","MF","26-128",24,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-3-3",0,NA,"","2","0","Bochum","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/ef606cee/Mainz-05-Bochum-February-20-2010-Bundesliga","Mainz 05","Home","Elkin Soto",NA,"COL","MF","29-200",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-3-3",0,NA,"","2","0","Bochum","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/ef606cee/Mainz-05-Bochum-February-20-2010-Bundesliga","Mainz 05","Home","Miroslav Karhan",NA,"SVK","MF","33-244",66,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-3-3",0,NA,"","2","0","Bochum","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/ef606cee/Mainz-05-Bochum-February-20-2010-Bundesliga","Mainz 05","Home","Ádám Szalai",NA,"HUN","FW","22-073",24,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-3-3",0,NA,"","2","0","Bochum","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/ef606cee/Mainz-05-Bochum-February-20-2010-Bundesliga","Mainz 05","Home","Eugen Polanski",NA,"POL","MF","23-340",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-3-3",0,NA,"","2","0","Bochum","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/ef606cee/Mainz-05-Bochum-February-20-2010-Bundesliga","Mainz 05","Home","Malik Fathi",NA,"GER","DF","26-114",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-3-3",0,NA,"","2","0","Bochum","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/ef606cee/Mainz-05-Bochum-February-20-2010-Bundesliga","Mainz 05","Home","Nikolče Noveski",NA,"MKD","DF","30-298",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-3-3",0,NA,"","2","0","Bochum","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/ef606cee/Mainz-05-Bochum-February-20-2010-Bundesliga","Mainz 05","Home","Bo Svensson",NA,"DEN","DF","30-200",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-3-3",0,NA,"","2","0","Bochum","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/ef606cee/Mainz-05-Bochum-February-20-2010-Bundesliga","Mainz 05","Home","Florian Heller",NA,"GER","FW,MF","27-347",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-3-3",0,NA,"","2","0","Bochum","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/ef606cee/Mainz-05-Bochum-February-20-2010-Bundesliga","Mainz 05","Home","Heinz Müller",NA,"GER","GK","31-266",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-3-3",0,NA,"","2","0","Bochum","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/ef606cee/Mainz-05-Bochum-February-20-2010-Bundesliga","Bochum","Away","Stanislav Šesták",NA,"SVK","FW,MF","27-066",78,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Mainz 05","4-3-3",0,NA,"","2","0","Bochum","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/ef606cee/Mainz-05-Bochum-February-20-2010-Bundesliga","Bochum","Away","Vahid Hashemian",NA,"IRN","FW,MF","33-214",12,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
