"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Mainz 05","4-2-3-1",3,NA,"Aristide Bancé · 45&rsquor; Jan Šimák · 56&rsquor; Aristide Bancé · 86&rsquor;","2","0","Eintracht Frankfurt","4-4-1-1",3,NA,"Alexander Meier · 13&rsquor; Alexander Meier · 20&rsquor; Ümit Korkmaz · 62&rsquor;","2","0","https://fbref.com/en/matches/a2a89ccf/Mainz-05-Eintracht-Frankfurt-April-24-2010-Bundesliga","Mainz 05","Home","Aristide Bancé",NA,"BFA","FW","25-217",90,2,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Mainz 05","4-2-3-1",3,NA,"Aristide Bancé · 45&rsquor; Jan Šimák · 56&rsquor; Aristide Bancé · 86&rsquor;","2","0","Eintracht Frankfurt","4-4-1-1",3,NA,"Alexander Meier · 13&rsquor; Alexander Meier · 20&rsquor; Ümit Korkmaz · 62&rsquor;","2","0","https://fbref.com/en/matches/a2a89ccf/Mainz-05-Eintracht-Frankfurt-April-24-2010-Bundesliga","Mainz 05","Home","Ádám Szalai",NA,"HUN","FW","22-136",78,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Mainz 05","4-2-3-1",3,NA,"Aristide Bancé · 45&rsquor; Jan Šimák · 56&rsquor; Aristide Bancé · 86&rsquor;","2","0","Eintracht Frankfurt","4-4-1-1",3,NA,"Alexander Meier · 13&rsquor; Alexander Meier · 20&rsquor; Ümit Korkmaz · 62&rsquor;","2","0","https://fbref.com/en/matches/a2a89ccf/Mainz-05-Eintracht-Frankfurt-April-24-2010-Bundesliga","Mainz 05","Home","André Schürrle",NA,"GER","FW,MF","19-169",12,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Mainz 05","4-2-3-1",3,NA,"Aristide Bancé · 45&rsquor; Jan Šimák · 56&rsquor; Aristide Bancé · 86&rsquor;","2","0","Eintracht Frankfurt","4-4-1-1",3,NA,"Alexander Meier · 13&rsquor; Alexander Meier · 20&rsquor; Ümit Korkmaz · 62&rsquor;","2","0","https://fbref.com/en/matches/a2a89ccf/Mainz-05-Eintracht-Frankfurt-April-24-2010-Bundesliga","Mainz 05","Home","Florian Heller",NA,"GER","FW,MF","28-045",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Mainz 05","4-2-3-1",3,NA,"Aristide Bancé · 45&rsquor; Jan Šimák · 56&rsquor; Aristide Bancé · 86&rsquor;","2","0","Eintracht Frankfurt","4-4-1-1",3,NA,"Alexander Meier · 13&rsquor; Alexander Meier · 20&rsquor; Ümit Korkmaz · 62&rsquor;","2","0","https://fbref.com/en/matches/a2a89ccf/Mainz-05-Eintracht-Frankfurt-April-24-2010-Bundesliga","Mainz 05","Home","Andreas Ivanschitz",NA,"AUT","MF","26-191",36,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Mainz 05","4-2-3-1",3,NA,"Aristide Bancé · 45&rsquor; Jan Šimák · 56&rsquor; Aristide Bancé · 86&rsquor;","2","0","Eintracht Frankfurt","4-4-1-1",3,NA,"Alexander Meier · 13&rsquor; Alexander Meier · 20&rsquor; Ümit Korkmaz · 62&rsquor;","2","0","https://fbref.com/en/matches/a2a89ccf/Mainz-05-Eintracht-Frankfurt-April-24-2010-Bundesliga","Mainz 05","Home","Filip Trojan",NA,"CZE","MF","27-062",9,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Mainz 05","4-2-3-1",3,NA,"Aristide Bancé · 45&rsquor; Jan Šimák · 56&rsquor; Aristide Bancé · 86&rsquor;","2","0","Eintracht Frankfurt","4-4-1-1",3,NA,"Alexander Meier · 13&rsquor; Alexander Meier · 20&rsquor; Ümit Korkmaz · 62&rsquor;","2","0","https://fbref.com/en/matches/a2a89ccf/Mainz-05-Eintracht-Frankfurt-April-24-2010-Bundesliga","Mainz 05","Home","Jan Šimák",NA,"CZE","MF","31-193",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Mainz 05","4-2-3-1",3,NA,"Aristide Bancé · 45&rsquor; Jan Šimák · 56&rsquor; Aristide Bancé · 86&rsquor;","2","0","Eintracht Frankfurt","4-4-1-1",3,NA,"Alexander Meier · 13&rsquor; Alexander Meier · 20&rsquor; Ümit Korkmaz · 62&rsquor;","2","0","https://fbref.com/en/matches/a2a89ccf/Mainz-05-Eintracht-Frankfurt-April-24-2010-Bundesliga","Mainz 05","Home","Eugen Polanski",NA,"POL","MF","24-038",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Mainz 05","4-2-3-1",3,NA,"Aristide Bancé · 45&rsquor; Jan Šimák · 56&rsquor; Aristide Bancé · 86&rsquor;","2","0","Eintracht Frankfurt","4-4-1-1",3,NA,"Alexander Meier · 13&rsquor; Alexander Meier · 20&rsquor; Ümit Korkmaz · 62&rsquor;","2","0","https://fbref.com/en/matches/a2a89ccf/Mainz-05-Eintracht-Frankfurt-April-24-2010-Bundesliga","Mainz 05","Home","Miroslav Karhan",NA,"SVK","MF","33-307",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Mainz 05","4-2-3-1",3,NA,"Aristide Bancé · 45&rsquor; Jan Šimák · 56&rsquor; Aristide Bancé · 86&rsquor;","2","0","Eintracht Frankfurt","4-4-1-1",3,NA,"Alexander Meier · 13&rsquor; Alexander Meier · 20&rsquor; Ümit Korkmaz · 62&rsquor;","2","0","https://fbref.com/en/matches/a2a89ccf/Mainz-05-Eintracht-Frankfurt-April-24-2010-Bundesliga","Mainz 05","Home","Malik Fathi",NA,"GER","DF","26-177",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
