"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-05-14","Fußball-Bundesliga (Matchweek 34)","Mainz 05","3-4-3",2,1.3,"Marcus Ingvartsen · 10&rsquor; Marcus Ingvartsen · 49&rsquor;","2","0","Eintracht Frankfurt","3-4-3",2,1.6,"Tuta · 25&rsquor; Rafael Borré · 35&rsquor;","0","0","https://fbref.com/en/matches/976cf786/Mainz-05-Eintracht-Frankfurt-May-14-2022-Bundesliga","Mainz 05","Home","Marcus Ingvartsen",11,"DEN","FW","26-130",69,2,0,0,0,3,2,0,0,35,0,2,2,0.4,0.4,0,3,1,15,20,75,2,16,0,3,1
"Fußball-Bundesliga","2022-05-14","Fußball-Bundesliga (Matchweek 34)","Mainz 05","3-4-3",2,1.3,"Marcus Ingvartsen · 10&rsquor; Marcus Ingvartsen · 49&rsquor;","2","0","Eintracht Frankfurt","3-4-3",2,1.6,"Tuta · 25&rsquor; Rafael Borré · 35&rsquor;","0","0","https://fbref.com/en/matches/976cf786/Mainz-05-Eintracht-Frankfurt-May-14-2022-Bundesliga","Mainz 05","Home","Lee Jae-sung",7,"KOR","FW","29-277",7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"Fußball-Bundesliga","2022-05-14","Fußball-Bundesliga (Matchweek 34)","Mainz 05","3-4-3",2,1.3,"Marcus Ingvartsen · 10&rsquor; Marcus Ingvartsen · 49&rsquor;","2","0","Eintracht Frankfurt","3-4-3",2,1.6,"Tuta · 25&rsquor; Rafael Borré · 35&rsquor;","0","0","https://fbref.com/en/matches/976cf786/Mainz-05-Eintracht-Frankfurt-May-14-2022-Bundesliga","Mainz 05","Home","Paul Nebel",26,"GER","AM","19-216",14,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,5,6,83.3,0,6,0,1,1
"Fußball-Bundesliga","2022-05-14","Fußball-Bundesliga (Matchweek 34)","Mainz 05","3-4-3",2,1.3,"Marcus Ingvartsen · 10&rsquor; Marcus Ingvartsen · 49&rsquor;","2","0","Eintracht Frankfurt","3-4-3",2,1.6,"Tuta · 25&rsquor; Rafael Borré · 35&rsquor;","0","0","https://fbref.com/en/matches/976cf786/Mainz-05-Eintracht-Frankfurt-May-14-2022-Bundesliga","Mainz 05","Home","Jonathan Burkardt",29,"GER","AM,FW","21-307",90,0,0,0,0,2,1,0,0,33,0,0,3,0.4,0.4,0.2,4,0,12,18,66.7,0,19,2,3,1
"Fußball-Bundesliga","2022-05-14","Fußball-Bundesliga (Matchweek 34)","Mainz 05","3-4-3",2,1.3,"Marcus Ingvartsen · 10&rsquor; Marcus Ingvartsen · 49&rsquor;","2","0","Eintracht Frankfurt","3-4-3",2,1.6,"Tuta · 25&rsquor; Rafael Borré · 35&rsquor;","0","0","https://fbref.com/en/matches/976cf786/Mainz-05-Eintracht-Frankfurt-May-14-2022-Bundesliga","Mainz 05","Home","Anton Stach",6,"GER","AM","23-180",63,0,1,0,0,4,0,0,0,40,0,1,1,0.3,0.3,0.1,4,2,19,27,70.4,5,29,1,3,0
"Fußball-Bundesliga","2022-05-14","Fußball-Bundesliga (Matchweek 34)","Mainz 05","3-4-3",2,1.3,"Marcus Ingvartsen · 10&rsquor; Marcus Ingvartsen · 49&rsquor;","2","0","Eintracht Frankfurt","3-4-3",2,1.6,"Tuta · 25&rsquor; Rafael Borré · 35&rsquor;","0","0","https://fbref.com/en/matches/976cf786/Mainz-05-Eintracht-Frankfurt-May-14-2022-Bundesliga","Mainz 05","Home","Leandro Barreiro Martins",8,"LUX","CM","22-131",27,0,0,0,0,0,0,0,0,11,1,1,0,0,0,0,0,0,6,9,66.7,1,6,0,0,0
"Fußball-Bundesliga","2022-05-14","Fußball-Bundesliga (Matchweek 34)","Mainz 05","3-4-3",2,1.3,"Marcus Ingvartsen · 10&rsquor; Marcus Ingvartsen · 49&rsquor;","2","0","Eintracht Frankfurt","3-4-3",2,1.6,"Tuta · 25&rsquor; Rafael Borré · 35&rsquor;","0","0","https://fbref.com/en/matches/976cf786/Mainz-05-Eintracht-Frankfurt-May-14-2022-Bundesliga","Mainz 05","Home","Jean-Paul Boëtius",5,"NED","CM","28-053",63,0,0,0,0,1,0,0,0,63,1,2,2,0,0,0,2,0,34,48,70.8,1,45,0,3,3
"Fußball-Bundesliga","2022-05-14","Fußball-Bundesliga (Matchweek 34)","Mainz 05","3-4-3",2,1.3,"Marcus Ingvartsen · 10&rsquor; Marcus Ingvartsen · 49&rsquor;","2","0","Eintracht Frankfurt","3-4-3",2,1.6,"Tuta · 25&rsquor; Rafael Borré · 35&rsquor;","0","0","https://fbref.com/en/matches/976cf786/Mainz-05-Eintracht-Frankfurt-May-14-2022-Bundesliga","Mainz 05","Home","Kevin Stöger",22,"AUT","AM","28-260",27,0,0,0,0,1,0,0,0,15,0,1,0,0.1,0.1,0,1,0,8,10,80,2,11,0,0,0
"Fußball-Bundesliga","2022-05-14","Fußball-Bundesliga (Matchweek 34)","Mainz 05","3-4-3",2,1.3,"Marcus Ingvartsen · 10&rsquor; Marcus Ingvartsen · 49&rsquor;","2","0","Eintracht Frankfurt","3-4-3",2,1.6,"Tuta · 25&rsquor; Rafael Borré · 35&rsquor;","0","0","https://fbref.com/en/matches/976cf786/Mainz-05-Eintracht-Frankfurt-May-14-2022-Bundesliga","Mainz 05","Home","Dominik Kohr",31,"GER","CM","28-103",90,0,0,0,0,0,0,0,0,51,2,2,0,0,0,0,2,0,31,47,66,5,37,2,1,1
"Fußball-Bundesliga","2022-05-14","Fußball-Bundesliga (Matchweek 34)","Mainz 05","3-4-3",2,1.3,"Marcus Ingvartsen · 10&rsquor; Marcus Ingvartsen · 49&rsquor;","2","0","Eintracht Frankfurt","3-4-3",2,1.6,"Tuta · 25&rsquor; Rafael Borré · 35&rsquor;","0","0","https://fbref.com/en/matches/976cf786/Mainz-05-Eintracht-Frankfurt-May-14-2022-Bundesliga","Mainz 05","Home","Aarón Martín",3,"ESP","WB","25-022",90,0,0,0,0,1,1,1,0,47,2,0,1,0.1,0.1,0,1,0,31,38,81.6,2,24,0,2,1
