"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-08-28","Fußball-Bundesliga (Matchweek 3)","Mainz 05","3-5-2",3,2.7,"Anderson Lucoqui · 15&rsquor; Ádám Szalai · 18&rsquor; Kevin Stöger · 90+2&rsquor;","2","0","Greuther Fürth","4-1-2-1-2",0,0.2,"","2","0","https://fbref.com/en/matches/359314e5/Mainz-05-Greuther-Furth-August-28-2021-Bundesliga","Mainz 05","Home","Ádám Szalai",28,"HUN","FW","33-262",88,1,0,0,0,3,2,0,0,40,1,0,2,0.8,0.8,0.5,4,0,16,23,69.6,0,31,0,3,2
"Fußball-Bundesliga","2021-08-28","Fußball-Bundesliga (Matchweek 3)","Mainz 05","3-5-2",3,2.7,"Anderson Lucoqui · 15&rsquor; Ádám Szalai · 18&rsquor; Kevin Stöger · 90+2&rsquor;","2","0","Greuther Fürth","4-1-2-1-2",0,0.2,"","2","0","https://fbref.com/en/matches/359314e5/Mainz-05-Greuther-Furth-August-28-2021-Bundesliga","Mainz 05","Home","Kevin Stöger",22,"AUT","FW","28-001",2,1,0,0,0,1,1,0,0,4,0,0,0,0.5,0.5,0,1,1,3,3,100,1,3,1,0,0
"Fußball-Bundesliga","2021-08-28","Fußball-Bundesliga (Matchweek 3)","Mainz 05","3-5-2",3,2.7,"Anderson Lucoqui · 15&rsquor; Ádám Szalai · 18&rsquor; Kevin Stöger · 90+2&rsquor;","2","0","Greuther Fürth","4-1-2-1-2",0,0.2,"","2","0","https://fbref.com/en/matches/359314e5/Mainz-05-Greuther-Furth-August-28-2021-Bundesliga","Mainz 05","Home","Jonathan Burkardt",29,"GER","FW","21-048",75,0,0,0,0,3,2,0,0,24,0,0,1,0.4,0.4,0,5,1,10,14,71.4,1,17,3,2,1
"Fußball-Bundesliga","2021-08-28","Fußball-Bundesliga (Matchweek 3)","Mainz 05","3-5-2",3,2.7,"Anderson Lucoqui · 15&rsquor; Ádám Szalai · 18&rsquor; Kevin Stöger · 90+2&rsquor;","2","0","Greuther Fürth","4-1-2-1-2",0,0.2,"","2","0","https://fbref.com/en/matches/359314e5/Mainz-05-Greuther-Furth-August-28-2021-Bundesliga","Mainz 05","Home","Karim Onisiwo",9,"AUT","FW","29-164",15,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0.5,1,1,4,4,100,0,4,1,1,0
"Fußball-Bundesliga","2021-08-28","Fußball-Bundesliga (Matchweek 3)","Mainz 05","3-5-2",3,2.7,"Anderson Lucoqui · 15&rsquor; Ádám Szalai · 18&rsquor; Kevin Stöger · 90+2&rsquor;","2","0","Greuther Fürth","4-1-2-1-2",0,0.2,"","2","0","https://fbref.com/en/matches/359314e5/Mainz-05-Greuther-Furth-August-28-2021-Bundesliga","Mainz 05","Home","Jean-Paul Boëtius",5,"NED","CM","27-159",82,0,0,0,0,2,1,0,0,62,1,2,3,0.2,0.2,0.2,7,1,28,49,57.1,7,32,0,1,0
"Fußball-Bundesliga","2021-08-28","Fußball-Bundesliga (Matchweek 3)","Mainz 05","3-5-2",3,2.7,"Anderson Lucoqui · 15&rsquor; Ádám Szalai · 18&rsquor; Kevin Stöger · 90+2&rsquor;","2","0","Greuther Fürth","4-1-2-1-2",0,0.2,"","2","0","https://fbref.com/en/matches/359314e5/Mainz-05-Greuther-Furth-August-28-2021-Bundesliga","Mainz 05","Home","Lee Jae-sung",7,"KOR","CM","29-018",8,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,3,4,75,0,5,0,1,0
"Fußball-Bundesliga","2021-08-28","Fußball-Bundesliga (Matchweek 3)","Mainz 05","3-5-2",3,2.7,"Anderson Lucoqui · 15&rsquor; Ádám Szalai · 18&rsquor; Kevin Stöger · 90+2&rsquor;","2","0","Greuther Fürth","4-1-2-1-2",0,0.2,"","2","0","https://fbref.com/en/matches/359314e5/Mainz-05-Greuther-Furth-August-28-2021-Bundesliga","Mainz 05","Home","Dominik Kohr",31,"GER","CM","27-209",75,0,0,0,0,1,0,1,0,33,1,1,1,0.2,0.2,0,1,0,22,30,73.3,4,18,1,1,1
"Fußball-Bundesliga","2021-08-28","Fußball-Bundesliga (Matchweek 3)","Mainz 05","3-5-2",3,2.7,"Anderson Lucoqui · 15&rsquor; Ádám Szalai · 18&rsquor; Kevin Stöger · 90+2&rsquor;","2","0","Greuther Fürth","4-1-2-1-2",0,0.2,"","2","0","https://fbref.com/en/matches/359314e5/Mainz-05-Greuther-Furth-August-28-2021-Bundesliga","Mainz 05","Home","Anton Stach",6,"GER","CM","22-286",15,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,7,10,70,4,10,0,0,0
"Fußball-Bundesliga","2021-08-28","Fußball-Bundesliga (Matchweek 3)","Mainz 05","3-5-2",3,2.7,"Anderson Lucoqui · 15&rsquor; Ádám Szalai · 18&rsquor; Kevin Stöger · 90+2&rsquor;","2","0","Greuther Fürth","4-1-2-1-2",0,0.2,"","2","0","https://fbref.com/en/matches/359314e5/Mainz-05-Greuther-Furth-August-28-2021-Bundesliga","Mainz 05","Home","Leandro Barreiro Martins",8,"LUX","CM","21-237",90,0,1,0,0,1,0,0,0,30,3,2,3,0,0,0.1,2,0,12,18,66.7,4,13,0,1,0
"Fußball-Bundesliga","2021-08-28","Fußball-Bundesliga (Matchweek 3)","Mainz 05","3-5-2",3,2.7,"Anderson Lucoqui · 15&rsquor; Ádám Szalai · 18&rsquor; Kevin Stöger · 90+2&rsquor;","2","0","Greuther Fürth","4-1-2-1-2",0,0.2,"","2","0","https://fbref.com/en/matches/359314e5/Mainz-05-Greuther-Furth-August-28-2021-Bundesliga","Mainz 05","Home","Anderson Lucoqui",23,"ANG","WB","24-053",88,1,0,0,0,3,3,0,0,41,5,4,3,0.5,0.5,0,3,0,12,22,54.5,1,18,1,2,1
