"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mainz 05","4-2-3-1",0,NA,"","0","0","Hannover 96","4-4-1-1",1,NA,"Sérgio Pinto · 44&rsquor; Steve Cherundolo · 68&rsquor;","4","1","https://fbref.com/en/matches/2bca35f1/Mainz-05-Hannover-96-November-13-2010-Bundesliga","Mainz 05","Home","Ádám Szalai",NA,"HUN","FW","22-339",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mainz 05","4-2-3-1",0,NA,"","0","0","Hannover 96","4-4-1-1",1,NA,"Sérgio Pinto · 44&rsquor; Steve Cherundolo · 68&rsquor;","4","1","https://fbref.com/en/matches/2bca35f1/Mainz-05-Hannover-96-November-13-2010-Bundesliga","Mainz 05","Home","Lewis Holtby",NA,"GER","MF","20-056",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mainz 05","4-2-3-1",0,NA,"","0","0","Hannover 96","4-4-1-1",1,NA,"Sérgio Pinto · 44&rsquor; Steve Cherundolo · 68&rsquor;","4","1","https://fbref.com/en/matches/2bca35f1/Mainz-05-Hannover-96-November-13-2010-Bundesliga","Mainz 05","Home","André Schürrle",NA,"GER","FW,MF","20-007",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mainz 05","4-2-3-1",0,NA,"","0","0","Hannover 96","4-4-1-1",1,NA,"Sérgio Pinto · 44&rsquor; Steve Cherundolo · 68&rsquor;","4","1","https://fbref.com/en/matches/2bca35f1/Mainz-05-Hannover-96-November-13-2010-Bundesliga","Mainz 05","Home","Haruna Babangida",NA,"NGA","FW,MF","28-043",71,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mainz 05","4-2-3-1",0,NA,"","0","0","Hannover 96","4-4-1-1",1,NA,"Sérgio Pinto · 44&rsquor; Steve Cherundolo · 68&rsquor;","4","1","https://fbref.com/en/matches/2bca35f1/Mainz-05-Hannover-96-November-13-2010-Bundesliga","Mainz 05","Home","Duncan",NA,"DEN","FW","25-286",19,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mainz 05","4-2-3-1",0,NA,"","0","0","Hannover 96","4-4-1-1",1,NA,"Sérgio Pinto · 44&rsquor; Steve Cherundolo · 68&rsquor;","4","1","https://fbref.com/en/matches/2bca35f1/Mainz-05-Hannover-96-November-13-2010-Bundesliga","Mainz 05","Home","Andreas Ivanschitz",NA,"AUT","MF","27-029",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mainz 05","4-2-3-1",0,NA,"","0","0","Hannover 96","4-4-1-1",1,NA,"Sérgio Pinto · 44&rsquor; Steve Cherundolo · 68&rsquor;","4","1","https://fbref.com/en/matches/2bca35f1/Mainz-05-Hannover-96-November-13-2010-Bundesliga","Mainz 05","Home","Elkin Soto",NA,"COL","MF","30-101",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mainz 05","4-2-3-1",0,NA,"","0","0","Hannover 96","4-4-1-1",1,NA,"Sérgio Pinto · 44&rsquor; Steve Cherundolo · 68&rsquor;","4","1","https://fbref.com/en/matches/2bca35f1/Mainz-05-Hannover-96-November-13-2010-Bundesliga","Mainz 05","Home","Miroslav Karhan",NA,"SVK","MF","34-145",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mainz 05","4-2-3-1",0,NA,"","0","0","Hannover 96","4-4-1-1",1,NA,"Sérgio Pinto · 44&rsquor; Steve Cherundolo · 68&rsquor;","4","1","https://fbref.com/en/matches/2bca35f1/Mainz-05-Hannover-96-November-13-2010-Bundesliga","Mainz 05","Home","Christian Fuchs",NA,"AUT","DF,MF","24-220",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mainz 05","4-2-3-1",0,NA,"","0","0","Hannover 96","4-4-1-1",1,NA,"Sérgio Pinto · 44&rsquor; Steve Cherundolo · 68&rsquor;","4","1","https://fbref.com/en/matches/2bca35f1/Mainz-05-Hannover-96-November-13-2010-Bundesliga","Mainz 05","Home","Nikolče Noveski",NA,"MKD","DF","31-199",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mainz 05","4-2-3-1",0,NA,"","0","0","Hannover 96","4-4-1-1",1,NA,"Sérgio Pinto · 44&rsquor; Steve Cherundolo · 68&rsquor;","4","1","https://fbref.com/en/matches/2bca35f1/Mainz-05-Hannover-96-November-13-2010-Bundesliga","Mainz 05","Home","Bo Svensson",NA,"DEN","DF","31-101",63,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mainz 05","4-2-3-1",0,NA,"","0","0","Hannover 96","4-4-1-1",1,NA,"Sérgio Pinto · 44&rsquor; Steve Cherundolo · 68&rsquor;","4","1","https://fbref.com/en/matches/2bca35f1/Mainz-05-Hannover-96-November-13-2010-Bundesliga","Mainz 05","Home","Florian Heller",NA,"GER","FW,MF","28-248",27,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mainz 05","4-2-3-1",0,NA,"","0","0","Hannover 96","4-4-1-1",1,NA,"Sérgio Pinto · 44&rsquor; Steve Cherundolo · 68&rsquor;","4","1","https://fbref.com/en/matches/2bca35f1/Mainz-05-Hannover-96-November-13-2010-Bundesliga","Mainz 05","Home","Radoslav Zabavník",NA,"SVK","DF,MF","30-058",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
