"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-12-14","Fußball-Bundesliga (Matchweek 16)","Mainz 05","3-5-2",4,2.9,"Lee Jae-sung · 19&rsquor; Alexander Hack · 41&rsquor; Silvan Widmer · 49&rsquor; Jean-Paul Boëtius · 79&rsquor;","0","0","Hertha BSC","4-4-2",0,0.4,"","2","0","https://fbref.com/en/matches/80fb0b90/Mainz-05-Hertha-BSC-December-14-2021-Bundesliga","Mainz 05","Home","Karim Onisiwo",9,"AUT","FW","29-272",62,0,0,0,0,1,1,0,0,27,1,1,1,0.5,0.5,0,2,0,14,20,70,2,14,1,3,2
"Fußball-Bundesliga","2021-12-14","Fußball-Bundesliga (Matchweek 16)","Mainz 05","3-5-2",4,2.9,"Lee Jae-sung · 19&rsquor; Alexander Hack · 41&rsquor; Silvan Widmer · 49&rsquor; Jean-Paul Boëtius · 79&rsquor;","0","0","Hertha BSC","4-4-2",0,0.4,"","2","0","https://fbref.com/en/matches/80fb0b90/Mainz-05-Hertha-BSC-December-14-2021-Bundesliga","Mainz 05","Home","Marcus Ingvartsen",11,"DEN","FW","25-344",28,0,0,0,0,1,1,0,0,10,0,0,0,0.3,0.3,0,1,0,3,7,42.9,1,4,0,0,0
"Fußball-Bundesliga","2021-12-14","Fußball-Bundesliga (Matchweek 16)","Mainz 05","3-5-2",4,2.9,"Lee Jae-sung · 19&rsquor; Alexander Hack · 41&rsquor; Silvan Widmer · 49&rsquor; Jean-Paul Boëtius · 79&rsquor;","0","0","Hertha BSC","4-4-2",0,0.4,"","2","0","https://fbref.com/en/matches/80fb0b90/Mainz-05-Hertha-BSC-December-14-2021-Bundesliga","Mainz 05","Home","Jonathan Burkardt",29,"GER","FW","21-156",74,0,0,0,0,1,0,0,0,26,0,0,1,0.1,0.1,0.3,3,0,11,16,68.8,3,15,1,1,1
"Fußball-Bundesliga","2021-12-14","Fußball-Bundesliga (Matchweek 16)","Mainz 05","3-5-2",4,2.9,"Lee Jae-sung · 19&rsquor; Alexander Hack · 41&rsquor; Silvan Widmer · 49&rsquor; Jean-Paul Boëtius · 79&rsquor;","0","0","Hertha BSC","4-4-2",0,0.4,"","2","0","https://fbref.com/en/matches/80fb0b90/Mainz-05-Hertha-BSC-December-14-2021-Bundesliga","Mainz 05","Home","Paul Nebel",26,"GER","FW","19-065",16,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0.1,2,1,8,10,80,2,5,1,1,0
"Fußball-Bundesliga","2021-12-14","Fußball-Bundesliga (Matchweek 16)","Mainz 05","3-5-2",4,2.9,"Lee Jae-sung · 19&rsquor; Alexander Hack · 41&rsquor; Silvan Widmer · 49&rsquor; Jean-Paul Boëtius · 79&rsquor;","0","0","Hertha BSC","4-4-2",0,0.4,"","2","0","https://fbref.com/en/matches/80fb0b90/Mainz-05-Hertha-BSC-December-14-2021-Bundesliga","Mainz 05","Home","Lee Jae-sung",7,"KOR","CM","29-126",62,1,0,0,0,2,2,0,0,35,0,1,0,0.9,0.9,0,1,0,21,27,77.8,4,15,0,0,0
"Fußball-Bundesliga","2021-12-14","Fußball-Bundesliga (Matchweek 16)","Mainz 05","3-5-2",4,2.9,"Lee Jae-sung · 19&rsquor; Alexander Hack · 41&rsquor; Silvan Widmer · 49&rsquor; Jean-Paul Boëtius · 79&rsquor;","0","0","Hertha BSC","4-4-2",0,0.4,"","2","0","https://fbref.com/en/matches/80fb0b90/Mainz-05-Hertha-BSC-December-14-2021-Bundesliga","Mainz 05","Home","Jean-Paul Boëtius",5,"NED","CM","27-267",28,1,0,0,0,2,1,0,0,24,1,0,1,0.2,0.2,0,2,1,14,19,73.7,3,13,1,0,0
"Fußball-Bundesliga","2021-12-14","Fußball-Bundesliga (Matchweek 16)","Mainz 05","3-5-2",4,2.9,"Lee Jae-sung · 19&rsquor; Alexander Hack · 41&rsquor; Silvan Widmer · 49&rsquor; Jean-Paul Boëtius · 79&rsquor;","0","0","Hertha BSC","4-4-2",0,0.4,"","2","0","https://fbref.com/en/matches/80fb0b90/Mainz-05-Hertha-BSC-December-14-2021-Bundesliga","Mainz 05","Home","Anton Stach",6,"GER","CM","23-029",90,0,1,0,0,1,0,0,0,104,0,10,1,0,0,0,2,1,68,89,76.4,6,39,0,1,0
"Fußball-Bundesliga","2021-12-14","Fußball-Bundesliga (Matchweek 16)","Mainz 05","3-5-2",4,2.9,"Lee Jae-sung · 19&rsquor; Alexander Hack · 41&rsquor; Silvan Widmer · 49&rsquor; Jean-Paul Boëtius · 79&rsquor;","0","0","Hertha BSC","4-4-2",0,0.4,"","2","0","https://fbref.com/en/matches/80fb0b90/Mainz-05-Hertha-BSC-December-14-2021-Bundesliga","Mainz 05","Home","Leandro Barreiro Martins",8,"LUX","CM","21-345",76,0,0,0,0,4,1,0,0,48,4,1,1,0.5,0.5,0.6,4,1,23,30,76.7,2,12,1,0,0
"Fußball-Bundesliga","2021-12-14","Fußball-Bundesliga (Matchweek 16)","Mainz 05","3-5-2",4,2.9,"Lee Jae-sung · 19&rsquor; Alexander Hack · 41&rsquor; Silvan Widmer · 49&rsquor; Jean-Paul Boëtius · 79&rsquor;","0","0","Hertha BSC","4-4-2",0,0.4,"","2","0","https://fbref.com/en/matches/80fb0b90/Mainz-05-Hertha-BSC-December-14-2021-Bundesliga","Mainz 05","Home","Kevin Stöger",22,"AUT","CM","28-109",14,0,0,0,0,2,1,0,0,20,0,0,0,0,0,0,1,0,15,18,83.3,4,11,1,0,0
"Fußball-Bundesliga","2021-12-14","Fußball-Bundesliga (Matchweek 16)","Mainz 05","3-5-2",4,2.9,"Lee Jae-sung · 19&rsquor; Alexander Hack · 41&rsquor; Silvan Widmer · 49&rsquor; Jean-Paul Boëtius · 79&rsquor;","0","0","Hertha BSC","4-4-2",0,0.4,"","2","0","https://fbref.com/en/matches/80fb0b90/Mainz-05-Hertha-BSC-December-14-2021-Bundesliga","Mainz 05","Home","Aarón Martín",3,"ESP","WB","24-236",90,0,1,0,0,2,1,0,0,87,1,1,0,0.1,0.1,0.2,4,1,61,80,76.3,5,40,5,2,1
