"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Mainz 05","3-5-2",2,2.2,"Lee Jae-sung · 79&rsquor; Moussa Niakhate (P) · 83&rsquor;","0","0","Hoffenheim","3-4-3",0,1.6,"","2","0","https://fbref.com/en/matches/ba42179b/Mainz-05-Hoffenheim-February-5-2022-Bundesliga","Mainz 05","Home","Karim Onisiwo",9,"AUT","FW","29-325",86,0,1,0,0,2,0,0,0,27,0,0,2,0.4,0.4,0.6,3,1,5,9,55.6,1,16,1,3,0
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Mainz 05","3-5-2",2,2.2,"Lee Jae-sung · 79&rsquor; Moussa Niakhate (P) · 83&rsquor;","0","0","Hoffenheim","3-4-3",0,1.6,"","2","0","https://fbref.com/en/matches/ba42179b/Mainz-05-Hoffenheim-February-5-2022-Bundesliga","Mainz 05","Home","Ádám Szalai",28,"HUN","FW","34-058",4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,2,100,0,0,0,0,0
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Mainz 05","3-5-2",2,2.2,"Lee Jae-sung · 79&rsquor; Moussa Niakhate (P) · 83&rsquor;","0","0","Hoffenheim","3-4-3",0,1.6,"","2","0","https://fbref.com/en/matches/ba42179b/Mainz-05-Hoffenheim-February-5-2022-Bundesliga","Mainz 05","Home","Jonathan Burkardt",29,"GER","FW","21-209",86,0,0,0,0,2,1,0,0,25,0,0,1,0.4,0.4,0,0,0,8,15,53.3,0,18,2,2,1
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Mainz 05","3-5-2",2,2.2,"Lee Jae-sung · 79&rsquor; Moussa Niakhate (P) · 83&rsquor;","0","0","Hoffenheim","3-4-3",0,1.6,"","2","0","https://fbref.com/en/matches/ba42179b/Mainz-05-Hoffenheim-February-5-2022-Bundesliga","Mainz 05","Home","Delano Burgzorg",37,"NED","CM,RM","23-090",4,0,0,0,0,1,0,0,0,5,0,0,0,0.1,0.1,0,1,0,0,0,NA,0,3,0,3,1
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Mainz 05","3-5-2",2,2.2,"Lee Jae-sung · 79&rsquor; Moussa Niakhate (P) · 83&rsquor;","0","0","Hoffenheim","3-4-3",0,1.6,"","2","0","https://fbref.com/en/matches/ba42179b/Mainz-05-Hoffenheim-February-5-2022-Bundesliga","Mainz 05","Home","Jean-Paul Boëtius",5,"NED","CM","27-320",66,0,0,0,0,0,0,0,0,38,3,0,2,0,0,0,2,0,25,31,80.6,5,22,2,2,2
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Mainz 05","3-5-2",2,2.2,"Lee Jae-sung · 79&rsquor; Moussa Niakhate (P) · 83&rsquor;","0","0","Hoffenheim","3-4-3",0,1.6,"","2","0","https://fbref.com/en/matches/ba42179b/Mainz-05-Hoffenheim-February-5-2022-Bundesliga","Mainz 05","Home","Lee Jae-sung",7,"KOR","CM,LM","29-179",24,1,0,0,0,1,1,0,0,17,0,1,1,0.4,0.4,0,1,0,7,9,77.8,1,10,1,2,0
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Mainz 05","3-5-2",2,2.2,"Lee Jae-sung · 79&rsquor; Moussa Niakhate (P) · 83&rsquor;","0","0","Hoffenheim","3-4-3",0,1.6,"","2","0","https://fbref.com/en/matches/ba42179b/Mainz-05-Hoffenheim-February-5-2022-Bundesliga","Mainz 05","Home","Anton Stach",6,"GER","CM","23-082",88,0,0,0,0,2,1,0,0,50,1,2,1,0.1,0.1,0,3,1,33,41,80.5,4,33,1,4,2
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Mainz 05","3-5-2",2,2.2,"Lee Jae-sung · 79&rsquor; Moussa Niakhate (P) · 83&rsquor;","0","0","Hoffenheim","3-4-3",0,1.6,"","2","0","https://fbref.com/en/matches/ba42179b/Mainz-05-Hoffenheim-February-5-2022-Bundesliga","Mainz 05","Home","Kevin Stöger",22,"AUT","RM","28-162",2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,6,66.7,0,3,0,0,0
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Mainz 05","3-5-2",2,2.2,"Lee Jae-sung · 79&rsquor; Moussa Niakhate (P) · 83&rsquor;","0","0","Hoffenheim","3-4-3",0,1.6,"","2","0","https://fbref.com/en/matches/ba42179b/Mainz-05-Hoffenheim-February-5-2022-Bundesliga","Mainz 05","Home","Leandro Barreiro Martins",8,"LUX","CM","22-033",66,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0.4,1,0,17,24,70.8,2,16,2,0,0
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Mainz 05","3-5-2",2,2.2,"Lee Jae-sung · 79&rsquor; Moussa Niakhate (P) · 83&rsquor;","0","0","Hoffenheim","3-4-3",0,1.6,"","2","0","https://fbref.com/en/matches/ba42179b/Mainz-05-Hoffenheim-February-5-2022-Bundesliga","Mainz 05","Home","Dominik Kohr",31,"GER","CM","28-005",24,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,8,11,72.7,1,7,0,0,0
